rank	username	minecraft:used/minecraft:melon
1	diggydog67	3492
2	eitanzaki	1059
3	Ezekson	778
4	Smoke____	777
5	NameGenerat0r	670
6	Werbe	627
6	AssEatrAndLicker	627
8	ProfessorBee	488
9	slkiey	420
10	OtariCharlie	352
11	Freak_Genius	315
12	Fullut	269
13	Blackberry1310	203
14	Corbsman	199
15	xxPipperDipperxx	156
16	Mahoose	152
17	noam464	133
18	cichy096	130
19	Kkanot	99
20	thescout7	95
20	Hyp3rion_	95
22	YungMaki	84
23	claivin	80
24	thewindmillman	79
25	The_slideV3	74
26	_Virify_	70
27	Omar_Alone	66
28	elicobnoah	64
28	Gundam_Steven	64
28	Tolhart	64
28	Fast_Turtle	64
28	Earlesstrain4	64
33	Frnjokl	63
34	KingMatthew506	61
35	Faart	59
36	stahouo	57
37	Merv__	55
38	Inbefour	51
38	Dogcorn69420	51
40	301851	49
40	_Bguette_	49
40	JESS_THE_RERE	49
43	diamondgolem35	47
43	Historical_Sand	47
45	Kakolbus	46
46	EveryonesUncle	44
47	TechnoNinja64	43
48	q_wq	41
48	Soplight	41
50	PigDab	38
51	jnp_gaming	35
52	dabloons	34
52	TheShyPig	34
54	NatrixxddxYT	33
54	Di_infiri	33
54	Akoot_	33
57	Ssor69	32
57	gcaisawesome	32
59	John6970	31
60	SwiftyPlayz__	30
60	ApophisNova	30
60	ImagineRamen	30
60	MyNamaSheff	30
64	Onennon	29
65	TheSeismicDuck	28
66	rarrq	27
66	kekhon	27
68	Kamflame10	26
68	SkateboardR6	26
70	_stets	24
70	Fildyr	24
72	0nly_sn1per	23
72	DarlaMeow	23
72	Frozil12	23
75	Euclidoris	21
75	Ikea_Worker_1	21
75	lillips	21
75	Skippeh	21
79	Huga_Muga	19
79	Incinere	19
79	Prodiginus	19
82	eiC_	18
82	Sheldor097	18
84	Hpdinosaur	17
84	HellsSponge	17
86	I_snowy_I	16
86	HesDemonPants	16
88	Comma__	15
88	MonitorLizards	15
88	XxCookiequeenxX	15
91	ibarker21	14
91	jonathanwilson18	14
93	joethahobo	13
93	UncreativeArtist	13
93	lordpipe	13
93	brofrickcheaters	13
93	EcksDofficial	13
98	TheBiggestFeller	12
98	oxfordschool	12
100	Tommhh	11
100	Snowflowe	11
102	Diavri	10
102	ItsAki_	10
102	Kubeusz2010	10
105	pintsizedrogue	9
105	beeperbeeper5	9
105	loveseeker	9
105	Jackattack53	9
105	Blaiku	9
105	stellarjay	9
111	TildaAndrea	8
111	toj__	8
111	El_Jalapeno	8
111	Cocoamallows	8
115	KarlKaek	7
115	RebelAndroid	7
115	500am	7
115	theonlymagikarp	7
115	Spacewardharpy7	7
115	Nicserso	7
121	6king6colt6	6
121	Houstonion	6
121	sebastiensaborio	6
121	Hermanni__	6
121	_AAZAR	6
126	SaucyDark	5
126	ShedJr_	5
126	NotMeanttoChange	5
126	SuperPooch06	5
126	_3Stump_	5
126	Legendosh	5
126	Zoeyfortnite	5
133	Drlzyy	4
133	H72l9w	4
133	Cryptacity	4
133	SlayerCrypto	4
133	bee_gorl	4
133	Deathkob	4
133	chipklip	4
133	MightyWertu	4
133	MakeHistory157	4
133	starbits140	4
133	Winston_Ingram	4
144	BodaciousCake	3
144	CoffeeNoir	3
144	Sky_light_KING	3
144	fkGrim	3
144	silverpopcorn	3
144	Pickel_Lord	3
144	Wenceslavs	3
144	RadarHz	3
144	kinas45y5	3
153	Matemaks2137	2
153	PhantomsGhost_	2
153	Ailmast	2
153	ImpavidArcher	2
153	ManyVoices	2
153	MSK__	2
153	TheSecondLord	2
153	bloodbiter	2
153	m_be9	2
153	12Magner05	2
153	Xalithia	2
153	burbankbuilder28	2
153	Lord_Jord	2
153	Joestra	2
153	Deodorante	2
153	TheDumbHuman	2
153	sp00ky_ghost977	2
153	djancak	2
153	PortlyPete69	2
153	tadees	2
153	Lowjinx	2
153	Enderslayerxz3	2
153	Northernrabbit	2
153	trexgb	2
177	funeralhome	1
177	Biomatrix93	1
177	I_Am_Mushkin	1
177	jimintyy	1
177	T045RTY	1
177	youhjjhhhjj	1
177	MangoTango82	1
177	ZaneABrain	1
177	heckface	1
177	jushykins	1
177	BobDeBouwer1337	1
177	SteveCraftBlocks	1
177	Awyrlas	1
177	emrekn	1
177	SpicyMeatballs	1
177	nitram49b	1
177	Rumpletaezer	1
177	Donutt	1
177	Hiryu27	1
177	Voxin2K	1
177	seramalen	1
177	fred870d	1
177	MinerDec	1
177	_naturell	1
177	Toiton	1
177	Shogunite	1
177	Xclax101	1
177	Hisiste	1
177	Dusk_95	1
177	KG1999	1
177	07shiny	1
177	pixelviolin	1
177	Deguns123	1
177	KingJamBanana1	1
177	FelixPSY375	1
177	adiccting01	1
177	UrbanPlanner1978	1
177	WYFYoyo	1
177	FishisTTV	1
