rank	username	minecraft:used/minecraft:oxeye_daisy
1	beeperbeeper5	270
2	lordpipe	235
3	ReSynced	152
4	EveryonesUncle	123
5	LordSpeed37	117
6	SpacesickPrism	112
7	Mahoose	107
8	xxPipperDipperxx	84
9	pintsizedrogue	77
10	El_Jalapeno	75
11	AnnieBathory	67
12	500am	63
13	Blackberry1310	62
14	TheShyPig	59
15	Legendosh	54
16	eitanzaki	53
17	Fullut	49
17	Enderxz3	49
19	jnp_gaming	48
20	FishisTTV	44
20	diggydog67	44
22	kekhon	43
22	FreakGenius	43
24	DarkS0L	40
24	MightyWertu	40
26	intropass	39
26	Lord_Jord	39
28	YungMaki	36
29	MyNameIsDakar	30
29	PlasticOtari	30
31	Smoke____	29
32	Hyp3rion_	27
32	XxCookiequeenxX	27
32	00000000-0000-0000-0009-01ff0c3e5e4f	27
35	thewindmillman	24
35	Lutres_Torane	24
37	Bandito_Roamer	23
37	Akoot_	23
39	groofles	22
39	wezzzi	22
41	Steelynan	21
42	LavenderBi1ch	20
42	Di_infiri	20
44	PortlyPete69	19
45	SaucyDark	18
45	burbankbuilder28	18
45	Kryktal	18
45	sufjanlover	18
49	DinoDoctor_	16
49	titanlax	16
49	Chromary	16
49	Onennon	16
53	Sebaschan__	15
53	masskedman	15
55	LeDuctTape	14
55	ImpavidArcher	14
55	CollinMH06	14
55	07shiny	14
59	Merv__	13
59	Huwulling	13
59	MousePlays	13
59	Racengan	13
59	__tomato	13
59	Hermanni__	13
65	CoffeeNoir	12
65	Skylord_Luke	12
65	Blaiku	12
65	Lirael42	12
65	Kowcio_	12
70	Cowison	11
70	Motsaro	11
70	Arceus1975	11
70	EngagedGrub41	11
74	Xalithia	10
74	ougstur	10
74	KeruNatsema	10
74	_Karmaa	10
74	Deguns123	10
74	cichy096	10
80	RoskobiOne	9
80	KarlKaek	9
80	T045RTY	9
80	ShedJr_	9
80	Lez_	9
80	Ozixar	9
80	Scathra	9
80	orxngejuice	9
80	Stiar	9
80	Leyna3	9
80	Elastiq	9
80	sp00ky_ghost977	9
92	Groovy_MoonBird	8
92	seanitoo	8
92	Myszoaz	8
92	InfernalMound	8
92	LeauVox4921	8
92	claivin	8
92	UCP_TheKingK	8
92	djancak	8
92	TechnoNinja64	8
101	dabloons	7
101	6king6colt6	7
101	M_Patata	7
101	Windo_licker	7
101	DJenthousiast	7
101	Dusk_95	7
101	MasterNueve	7
101	WyngGoy	7
101	Meeerkat	7
101	Glumb0	7
101	KingMatthew506	7
112	squigglybones	6
112	Franco093	6
112	bloodbiter	6
112	noam464	6
112	ooga47	6
112	dezxalo	6
112	Inbefour	6
112	MinuteMira	6
112	DarlaMeow	6
112	monky_irl	6
112	SammiWolfGirl	6
112	Vellu21	6
112	MissCeleste7	6
112	Quotary	6
112	smogfrog	6
127	eiC_	5
127	Marbz_	5
127	Rumpletaezer	5
127	SaintJosie	5
127	jewishnoselong	5
127	MilleGrug	5
127	ZoomieZoomie	5
127	BreadBacon	5
127	2bolx_	5
127	Jimb0nat0r	5
127	xolstoi	5
127	Kateesaur	5
139	TooManyDuck	4
139	joethahobo	4
139	Mimiir345	4
139	Cryptacity	4
139	12Magner05	4
139	prizm_	4
139	icehorse	4
139	ApophisNova	4
139	Kouridragon	4
139	natajimi	4
139	luseis	4
139	LeEricc	4
139	Luigipunch989	4
139	MyNamaSheff	4
153	_stets	3
153	Sleek_Storm_721	3
153	RatatJuice	3
153	Reamdin	3
153	picardred	3
153	Malorn_Aetherius	3
153	Kubelz	3
153	Zaridey	3
153	epiksk8erduck	3
153	LeGold	3
153	LilLizardWizard	3
153	binman420	3
153	audiocracked	3
153	GoofySilly	3
153	Groundler	3
153	xzvu	3
153	h2p_emrld	3
170	MixerDixer	2
170	Foof13	2
170	Frozil20	2
170	neurotic_a	2
170	Incinere	2
170	Caystelly	2
170	Hormones	2
170	spaece	2
170	MOSS000	2
170	Ssor69	2
170	rarrq	2
170	heckface	2
170	Nicky_H225	2
170	Smashic	2
170	ROY4LE	2
170	TableTim	2
170	SirMeowsMucho	2
170	Kakolbus	2
170	Karetoko	2
170	toj__	2
170	legal_tax_evader	2
170	LAVA129	2
170	l3x07	2
170	Fast_Turtle	2
170	kars0n	2
170	Rebytre	2
170	TheWildMateo	2
170	The11thDoctor	2
170	RobotMinion101	2
170	cedric72	2
170	thgrocks	2
170	Maenara	2
170	TheTrueClipse	2
170	NomadicRobin_	2
170	SpouHn	2
170	NoChumpChange	2
170	Russiancat1	2
170	Fuhrer_Teemo	2
170	lillips	2
170	_p1ta_	2
170	Shogunite	2
170	Blu3beast	2
170	censorsheep	2
170	fluddd	2
170	Toriankel	2
170	Yahir091	2
170	MakeHistory157	2
170	GalactiusX4	2
170	babyjimmyneutron	2
170	bloomkieren	2
170	lcvezra	2
170	Poppy235	2
170	Dogcorn69420	2
170	CalebDHawk	2
170	LeeMcGee30	2
170	Kubeusz2010	2
170	Skippeh	2
170	ConnorDanky_	2
170	satuern	2
229	rats_life	1
229	Jovaphobic	1
229	Mr_Byzantine	1
229	PhantomsGhost_	1
229	AuroraValkyrie	1
229	teslawolf38	1
229	EMC_	1
229	I_Am_Mushkin	1
229	xXTheWolfmanXx	1
229	Gemstuff	1
229	bigstankyy	1
229	IrateGamer	1
229	Esme_1	1
229	Paleshield	1
229	tuckerdoodle	1
229	Wooptey	1
229	RebelAndroid	1
229	BoraMC	1
229	Batman922	1
229	No_u4	1
229	ccormacs	1
229	MrMattyPatt	1
229	featherflyy	1
229	Misato_0	1
229	Mercadies	1
229	roxycherry	1
229	NieToksikpl	1
229	Crowman1	1
229	ratglock	1
229	Comma__	1
229	jushykins	1
229	jacxhadow	1
229	Tsuki95	1
229	MattieHD	1
229	SoftSix	1
229	GingerNeutron	1
229	Secret_Canary	1
229	SteveCraftBlocks	1
229	_Dean_123	1
229	Pelbo	1
229	G1ldor	1
229	slkiey	1
229	paranoid_plant	1
229	thescout7	1
229	nipohc015	1
229	eviltunix	1
229	SellyZ	1
229	hcb238	1
229	phatrob	1
229	gcaisawesome	1
229	r123moore	1
229	olliebollie48	1
229	Bolete	1
229	XboxPanda	1
229	drunkeeez	1
229	RocketRidge	1
229	whoaluv	1
229	Snowflowe	1
229	Silvo614	1
229	_Boipl_	1
229	Parcc	1
229	Shiirazu	1
229	Skomo	1
229	Ender_Souls	1
229	Huic_ostiarius	1
229	Rasmanden	1
229	TJawesome09	1
229	IamCL4SSY	1
229	Pootis11	1
229	NoobSlayerPro	1
229	fkGrim	1
229	privatemeekly	1
