rank	username	minecraft:used/minecraft:dirt
1	EveryonesUncle	274703
2	TheShyPig	192941
3	ThiccExotic	163620
4	LordSpeed37	106543
5	Skylord_Luke	105374
6	Spacewardharpy7	103825
7	Smoke____	95809
8	Di_infiri	94735
9	Ezekson	76804
10	beeperbeeper5	74899
11	HellsSponge	65601
12	FreakGenius	64477
13	El_Jalapeno	63844
14	Steelynan	62377
15	burbankbuilder28	60370
16	Shogunite	60206
17	Legendosh	59686
18	Werbe	58170
19	eitanzaki	54708
20	EMC_	54369
21	Enderxz3	54271
22	PigDab	53053
23	pintsizedrogue	49569
24	gcaisawesome	48040
25	Blaiku	46788
26	thescout7	45991
27	Frozil20	45518
28	Fuad_R	44280
29	noam464	43944
30	kekhon	42290
31	fffMike	42283
32	joethahobo	41985
33	rarrq	40084
34	Huwulling	37803
35	Arceus1975	37454
36	NatalieTW	33705
37	Onennon	33685
38	Blu3beast	31679
39	CoffeeNoir	30753
40	Merv__	30264
41	Kakolbus	29620
42	Lord_Jord	29341
43	YungMaki	28790
44	iSammael	28342
45	BlancoFlaco	28011
46	ApophisNova	27818
47	MyNamaSheff	27814
48	ImpavidArcher	27101
49	m_be9	26680
50	Blackberry1310	26369
51	500am	26196
52	q_wq	26104
53	chimpmunker	23544
54	cedric72	22448
55	TechnoNinja64	22200
56	Mahoose	22121
57	wwwwinnebagoooo	21992
58	mwrty	21972
59	PlasticOtari	21469
60	00000000-0000-0000-0009-01ff0c3e5e4f	20771
61	lcvezra	20630
62	xxPipperDipperxx	20326
63	_Dean_123	19777
64	Racengan	19116
65	Jovaphobic	18652
66	jnp_gaming	17701
67	Hyp3rion_	17661
68	Historical_Sand	17306
69	TheSecondLord	17283
70	Inchef	17217
71	hcb238	17015
72	lordpipe	16973
73	RoskobiOne	16541
74	Mr_Byzantine	16372
75	Snowflowe	15997
76	ROY4LE	15991
77	Jackattack53	15661
78	Fullut	15363
79	ProfessorBee	15297
80	ExtraDumb	14976
81	Cowison	14894
82	thewindmillman	14487
83	Inbefour	14388
84	luseis	14103
85	Lutres_Torane	13992
86	SkateboardR6	13862
87	Hoid_the_Roamer	13794
88	Eraxa	13563
89	Bumpy419	13488
90	Kowcio_	13310
91	Bandito_Roamer	13099
92	Rumpletaezer	13035
93	SuperPooch06	13032
94	TooManyDuck	13030
94	MightyWertu	13030
96	ZeroAbyssTTV	12204
97	Warlord324	12112
98	Wooptey	12006
99	EcksD	11953
100	SammiWolfGirl	11751
101	RoofTyler	11421
102	MyNameIsJobo	11260
103	PazinGaming	11131
104	teslawolf38	11097
105	Zythose	10981
106	Groovy_MoonBird	10872
107	Soplight	10738
108	sp00ky_ghost977	10707
109	WET_WET_WET	10543
110	SpacesickPrism	10533
111	Jimb0nat0r	10417
112	Mattesco	10348
113	vandmanden	10340
114	SSytex_X	10178
115	wezzzi	10080
116	KarlKaek	9957
117	radioactv_jelly	9942
118	xolstoi	9911
119	Touched_Bread	9595
120	RebelAndroid	9493
121	PortlyPete69	9361
122	claivin	9166
123	corvidpartyfor6	9109
124	Prodiginus	9081
125	MyNameIsDakar	8854
126	titanlax	8823
127	Rebytre	8734
128	_Karmaa	8687
129	CalebDHawk	8680
130	himak1	8568
131	LordAurum	8518
132	CaptainDeadBread	8462
133	Akoot_	8107
134	Quotary	8042
135	non089	7994
136	Malorn_Aetherius	7910
137	6king6colt6	7784
138	Ssor69	7778
139	12Magner05	7747
140	M_Patata	7731
141	Marbz_	7654
142	PhantomsGhost_	7538
143	Nicserso	7488
144	MasterNueve	7466
145	gusstationwerker	7462
146	Xalithia	7403
147	Kubelz	7350
148	RadarHz	7207
149	_Bguette_	7172
149	Sheldor097	7172
151	xzvu	7170
152	crying_wolf_13	7101
153	Russiancat1	6972
154	eviltunix	6971
155	SaintJosie	6886
156	Paintz	6860
157	Hisiste	6826
158	ZoomieZoomie	6803
159	NebulousBadger	6783
160	H72l9w	6769
161	_Boipl_	6743
162	youhjjhhhjj	6696
163	Xclax101	6669
164	TheDankPlatypus	6615
165	F_Uhre	6608
166	Euclidoris	6602
167	AuroraValkyrie	6597
168	Njensen7	6594
169	SpouHn	6519
170	BumbleBeever	6420
171	_Cloverbelle_	6393
172	Esme_1	6367
173	Awyrlas	6347
174	Hermanni__	6260
175	Deodorante	6252
176	Comma__	6221
177	DarkS0L	6169
178	StinkyDiplomat	6165
179	jcool7	6127
180	NieToksikpl	6106
181	Meatlaugh	6099
182	Deathkob	6076
183	Soul_Atreus	6003
184	TheWildMateo	5808
184	Elastiq	5808
186	fkGrim	5786
187	anbbang	5773
188	NoChumpChange	5766
189	bloodbiter	5728
190	lorpus	5624
191	weabis	5619
192	KlausVonStiglitz	5591
193	Hpdinosaur	5589
194	NomadicRobin_	5584
195	picardred	5530
196	Natty	5451
197	Zaridey	5409
198	2bolx_	5392
199	OfficerAnvil	5368
200	ShedJr_	5334
201	Dusk_95	5294
202	whoaluv	5250
203	_stets	5146
204	EngagedGrub41	5136
205	T045RTY	5106
206	Luigipunch989	5100
207	Crowman1	5084
208	The11thDoctor	5002
209	Sral7	4976
210	tsitrawhy	4898
211	Jackster03	4889
212	set67	4870
213	AuroraSkies	4834
214	groofles	4822
215	stuy9	4819
216	__tomato	4775
217	Lez_	4756
218	bigstankyy	4745
219	MinuteMira	4694
220	seanitoo	4683
221	RedcatVII	4647
222	diggydog67	4624
223	_Virify_	4564
224	Barlycorn	4534
225	Zoeyfortnite	4529
226	Simon_Lowell	4512
227	ConnorDanky_	4504
228	Nycteus_	4502
229	ogoa	4500
230	Mewar	4479
231	iElijah	4379
232	_TCARREIRA_	4373
233	IdeallyGrey	4365
234	censorsheep	4345
235	pixelviolin	4317
236	Swexti	4316
236	Maenara	4316
238	DanTheBuilderino	4307
239	PeteO1995	4293
240	Jimi7hits	4238
241	GLLogan2	4196
242	KeruNatsema	4174
243	GingerNeutron	4163
244	Voxin2K	4150
245	starbits140	4137
246	NinjaKnifeKill	4134
247	Cryptacity	4076
248	Tyrannosplart	4045
249	_8man	4027
250	diamondgolem35	4011
251	KingMatthew506	4003
252	CrookedKaptain	3955
253	shineh10	3952
254	Fildyr	3932
255	Base_Tempest	3923
256	platinumzero	3901
257	EfficientC52	3891
258	Rasmanden	3884
259	r123moore	3881
260	Smashic	3876
261	MissCeleste7	3840
262	Covalents	3835
263	andy_rex	3824
264	livingdaydreams	3804
265	Winklepicker279	3799
266	CharlieButt	3793
267	Alteriity	3769
268	SyntheticSurgeon	3762
269	epiksk8erduck	3748
270	MilleGrug	3727
271	jacxhadow	3717
272	XboxPanda	3701
273	Optiprimus	3688
274	ooga47	3672
275	WyngGoy	3654
276	RatatJuice	3644
277	the_fireminer	3610
278	Fakiuss	3580
279	IamCL4SSY	3573
280	Mistruth	3537
281	hanaryheatwave	3530
282	h2p_emrld	3455
283	mihimihimihi	3440
284	XxCookiequeenxX	3438
285	RealGroot	3410
286	FishyBoy3811	3406
287	TheBiggestFeller	3386
287	Iamthejo	3386
289	Katsuragi0243218	3383
290	AlphaWolfPlaysMC	3316
291	Sleek_Storm_721	3281
292	Killercatty78	3266
293	Motsaro	3264
294	07shiny	3253
295	MAns_44	3238
296	SellyZ	3237
297	ibarker21	3216
298	The_slideV3	3201
299	FelixPSY375	3193
300	2Stout	3163
