rank	username	minecraft:used/minecraft:dark_oak_log
1	burbankbuilder28	16755
2	EveryonesUncle	15749
3	Shogunite	14016
4	500am	12671
5	Euclidoris	10793
6	gcaisawesome	9137
7	ImpavidArcher	6508
8	pintsizedrogue	5908
9	El_Jalapeno	5427
10	TheSecondLord	5282
11	Mr_Byzantine	5106
12	kekhon	4820
13	TheShyPig	4598
14	RatatJuice	4238
15	CattSoup	4220
16	stuy9	4078
17	Manaateee	4064
18	luseis	3897
19	Archsam	3584
20	paranoid_plant	3426
21	Mahoose	3396
22	m_be9	3345
23	Legendosh	3119
24	SvenskaHugo	2814
25	k_ce	2761
26	Enderxz3	2744
27	Yamdalorian	2672
28	Russiancat1	2625
29	Merv__	2570
30	Mattesco	2537
31	pixelviolin	2533
32	beeperbeeper5	2420
33	Deguns123	2257
34	_Huge_Male_	2226
35	Blackberry1310	2214
36	joethahobo	2084
37	Frozil20	1956
38	Biites	1947
39	PazinGaming	1938
40	YungMaki	1886
41	eitanzaki	1847
42	TheDankPlatypus	1844
43	NomadicRobin_	1741
44	NieToksikpl	1680
45	Eraxa	1584
46	12Magner05	1558
47	Steelynan	1526
48	wezzzi	1511
49	Krowuss	1472
50	Kakolbus	1441
51	XxCookiequeenxX	1440
52	Ezekson	1437
53	Notta	1327
54	Touched_Bread	1292
55	_i_ERROR_i_	1289
56	H0UNDFRMH3LL	1272
57	Hahaa_0	1264
58	Stiar	1259
58	Elastiq	1259
60	Nicserso	1257
61	Kowcio_	1248
62	Blu3beast	1219
63	Fullut	1198
64	teslawolf38	1195
65	KarlKaek	1192
66	TechnoNinja64	1176
67	Werbe	1136
68	avalan64	1126
69	Soplight	1100
70	RebelAndroid	1068
71	RebytreGT	1064
72	Akoot_	1061
72	xzvu	1061
74	AngalexikCZ	987
75	emreknugrlu	972
76	EcksD	971
77	h2p_emrld	943
78	NameGenerat0r	929
79	DarkS0L	917
80	Jakobo1337	916
81	SpacesickPrism	906
82	Winklepicker279	883
83	prizm_	878
84	CalebDHawk	864
85	SuperPooch06	855
86	Groovy_MoonBird	837
87	ConnorDanky_	836
88	LeauVox4921	824
89	MattieHD	818
90	ROY4LE	813
91	Alteriity	803
92	PlasticOtari	800
93	taengoos	787
93	2blox_	787
95	ZoomieZoomie	774
96	ImDisconnected_	762
97	shrimp_flips	752
98	U_Mos_	727
99	ProfessorBee	721
100	lorywithay	712
101	Bandito_Roamer	698
102	Huwulling	697
103	PortlyPete69	693
104	hermmm_	690
105	Segotep999	689
106	Historical_Sand	682
107	q_wq	680
107	Barlycorn	680
109	rarrq	676
109	Sorry_Arey	676
111	LilyNova	661
111	IamCL4SSY	661
113	TheKingK_	655
114	chlorinex	642
115	censorsheep	641
116	Zythose	640
117	PabloGonza02	634
118	Motsaro	630
119	tsitrawhy	627
120	skitzxo	618
121	seramalen	610
122	Paint	609
123	_Razaria	602
124	Chromary	582
125	thgrocks	575
126	KeruNatsema	548
127	6king6colt6	547
127	SDMNAEK	547
129	SexcMf	534
130	madderfall	529
131	Saucepeh	521
132	Lez_	518
133	Spacewardharpy7	517
134	dudcreeper	506
135	Spenduh	505
136	Ravenbie	500
136	SellyZ	500
138	Dakar_	498
139	Sleek_Storm_721	496
140	weabis	491
141	Secret_Canary	486
142	AnnieBathory	485
143	Reneedium	448
144	MightyWertu	443
144	__hinterland__	443
146	MyNameIsJobo	440
147	Natty	437
148	EMC_	435
149	Myntsys	428
150	HellsSponge	425
151	LeeMcGee30	421
152	xxPipperDipperxx	413
152	Di_infiri	413
154	SammiWolfGirl	404
155	Meatlaugh	390
156	The_SlideV5	388
157	ooga47	387
158	Typadopoulos	378
159	Cortexia	376
160	theofiel	374
161	oscminus	369
162	Lord_Zacler	358
163	thewindmillman	354
164	Skippeh	350
165	_Cloverbelle_	348
166	Skylord_Luke	339
166	Maenara	339
168	blackeemperor	333
169	jnp_gaming	323
170	BlancoFlaco	316
170	Malorn_Aetherius	316
172	Hiryu27	311
173	dartwaffle	308
173	sp00ky_ghost977	308
175	Tobinator_007	306
176	r123moore	303
177	Jimb0nat0r	301
178	Cowison	298
179	MakeHistory157	296
180	yheece	295
180	DarlaMeow	295
182	groofles	292
183	Snowflowe	284
183	GoofyBread	284
185	goldyx	272
186	lordpipe	259
187	Racengan	258
188	Cryptacity	255
189	CoffeeNoir	253
190	claivin	252
191	hanaryheatwave	250
192	Olib3ar	248
193	DinoDoctor_	244
194	Warlord324	243
195	IdeallyGrey	228
196	Onennon	227
197	LazySupport00	226
198	olliebollie48	225
199	MusicMe1005	223
200	miramyu	221
201	GeromeMerris	216
201	annoyingenderman	216
203	Pofen	213
203	fkGrim	213
205	MilleGrug	204
206	StarCookiees_	203
207	hollowww	199
207	Mobstr	199
207	selectrix	199
210	The_slideV3	198
211	Hisiste	197
212	Deathkob	194
213	fw3xy74	193
213	FreakGenius	193
215	Quotary	191
216	Inbefour	189
217	SquadMonster	188
218	Lotheburgh	185
219	DebbieBrunswick	184
220	Ze_BaronKrigler	183
221	Ch4osDoom64	182
221	Optiprimus	182
223	Pumpkin_P_Patch	181
223	EtherealEspresso	181
225	MAns_44	180
226	_Dri_	178
227	Alphanzt99	172
228	thescout7	171
229	skroobiez	169
229	benediktine1	169
229	Kijiki	169
232	Eraza	167
233	SaucyDark	165
234	cheerytomato	158
235	Sheellky	157
235	Zetsey	157
237	fragrantmonke444	153
237	Lord_Jord	153
239	tobinwilliams	149
240	lorpus	143
241	Azmodan_246	142
241	bloomkieren	142
243	LAVA129	141
243	TheEnderMan548	141
245	LeEricc	140
246	PegLegPete93	139
246	tompup	139
246	CrazyPotater	139
249	Foof13	138
249	OfficerAnvil	138
251	SmashingPump	137
252	crashomon	136
253	Nicky_H225	134
254	Norrhede	133
254	Armattillo	133
254	the__Reaper4999	133
257	Astronicky	130
257	livingdaydreams	130
259	Scathra	129
260	RobotMinion101	128
261	AlexxO_o	127
262	2Stout	126
262	KlausVonStiglitz	126
264	iSammael	124
265	stellarjay	122
265	smogfrog	122
267	e_hernandez57	121
268	titanlax	120
268	The11thDoctor	120
270	diamondgolem35	118
270	G1ldor	118
270	fffMike	118
273	MSK__	117
273	Hannah_Banana_69	117
275	_Dean_123	116
275	Pickel_Lord	116
277	Blaiku	115
278	Napoleonpancake	114
278	fastPREDATOR	114
280	JayToe	113
281	Wowful	112
282	Hydro___________	109
283	joppen12	108
283	Cruncy_	108
285	LittleBug562	107
285	Saltymart	107
287	Smashic	106
288	WORLDENDVALHALLA	103
289	Blazebit	101
