rank	username	minecraft:used/minecraft:mud_brick_slab
1	Pumpkin_P_Patch	1947
2	_Huge_Male_	1447
3	EMC_	1127
4	TheSecondLord	817
5	Manaateee	647
6	12Magner05	340
7	Mr_Byzantine	253
8	PazinGaming	206
9	Kowcio_	200
10	k_ce	180
11	Juansinmiedo18	172
12	Iamthejo	155
13	Legendosh	117
14	TheWickedBird	115
15	Lez_	91
16	Jimb0nat0r	87
17	Merv__	80
18	Roenfire	64
19	luseis	63
20	GooseWithin	50
21	Mattesco	43
22	Steelynan	34
23	thewindmillman	33
24	skroobiez	16
25	pixelviolin	10
25	Soplight	10
27	Mahoose	7
28	KarlKaek	1
28	Smashic	1
28	CarryLine	1
28	Dakar_	1
