rank	username	minecraft:used/minecraft:lingering_potion
1	Akoot_	405
2	DAD_1996	21
3	Eraxa	20
3	_Mythic____	20
5	TheSecondLord	14
6	eitanzaki	12
7	PhantomsGhost_	7
7	ECstardust	7
7	kekhon	7
10	MattieHD	6
11	Inchef	5
11	Hyp3rion_	5
11	Rebytre	5
14	k_ce	4
14	beeperbeeper5	4
14	Secret_Canary	4
14	oscminus	4
14	PigDab	4
19	Kakolbus	2
19	Chromary	2
19	EdGalbraith	2
19	Steelynan	2
19	00000000-0000-0000-0009-01fe065167f0	2
24	robertsnose	1
24	yuuxxii	1
24	noam464	1
24	mimbo1211	1
24	Blaiku	1
24	EcksD	1
24	Spaghettatron	1
24	FishisTTV	1
