rank	username	minecraft:used/minecraft:polished_andesite_slab
1	joethahobo	30197
2	El_Jalapeno	4460
3	burbankbuilder28	3891
4	Ezekson	3468
5	Hyp3rion_	2362
6	Spacewardharpy7	2157
7	EcksDofficial	1960
8	Lord_Jord	1904
9	OtariCharlie	1861
10	Di_infiri	1792
11	valkam13	1414
12	12Magner05	1389
13	Smoke____	1298
14	Mahoose	1262
15	500am	1191
16	titanlax	1075
17	_TCARREIRA_	921
18	noam464	884
19	EveryonesUncle	856
20	Inchef	843
21	TheShyPig	754
22	beeperbeeper5	751
23	Xclax101	744
24	NomadicRobin_	742
25	Jackster03	730
26	Dedalus36	711
27	CalebDHawk	708
28	Merv__	669
29	oxfordschool	647
30	m_be9	556
31	the_fireminer	533
32	mawileite	532
33	HellsSponge	520
34	Natty	514
35	CharlieButt	498
36	Skylord_Luke	487
37	Comma__	479
38	fluddd	425
39	awesomeoneme	399
40	Quotary	377
41	Motsaro	353
42	Jackattack53	352
43	rarrq	306
44	ItsAki_	298
45	Ssor69	285
46	eitanzaki	262
47	Kijiki	249
48	_Karmaa	238
49	Arceus1975	237
50	2Stout	223
51	Onennon	215
52	kekhon	205
53	xxPipperDipperxx	202
54	The_slideV3	199
55	Maenara	190
55	Shogunite	190
57	Groovy_MoonBird	179
58	Bazongoman	176
58	Drewen24	176
60	Hpdinosaur	173
61	Soplight	158
62	Frozil12	151
63	youhjjhhhjj	150
64	DarkS0L	139
65	Historical_Sand	136
66	TheThomas69	131
67	Groundler	128
68	VentiHilton	126
68	Legendosh	126
70	sebastiensaborio	120
71	6king6colt6	112
71	xX_Stalin69_Xx	112
73	HyperCave	110
73	07shiny	110
75	Spenduh	106
76	Sleek_Storm_721	101
76	Sral7	101
78	Tommhh	87
79	FirsTimeGamingTV	84
80	Zythose	79
81	censorsheep	75
82	teslawolf38	74
82	obzii	74
84	Eraxa	73
85	Blu3beast	72
86	impossibleteapot	71
87	CrookedKaptain	69
88	Racengan	68
89	SamZombie	67
89	Chaotic1s	67
91	dendydoom	66
92	ShedJr_	58
93	jimintyy	55
94	AlphaWolfPlaysMC	50
95	dedgt	48
96	Sloths_Ender	46
97	DemTechAlpha	45
98	RoyalDorrr	42
99	pintsizedrogue	39
99	Inbefour	39
101	G1ldor	37
101	SellyZ	37
103	Chromary	36
104	TechnoNinja64	35
105	Werbe	34
105	AssEatrAndLicker	34
107	Cryptacity	33
108	Stiar	29
108	Princesse_Louise	29
110	himak1	28
110	Jamstroxian	28
112	proxivitoid	27
112	YoshikageBites	27
114	DermeinUser	26
115	Incinere	25
115	tramizu	25
115	yulgur1	25
118	seanitoo	24
119	SquadMonster	23
120	masskedman	22
121	MrExplorer	21
121	NotMeanttoChange	21
121	NoxxxxiS	21
121	SuperPooch06	21
125	audiocracked	20
125	Skippeh	20
127	GravitySaint	19
127	Matorz	19
129	Meatlaugh	18
129	underscore_2	18
131	Sky_light_KING	16
131	claivin	16
133	Snowflowe	15
133	lcvezra	15
135	T045RTY	12
135	lilsay	12
135	Hoid_the_Roamer	12
135	cog	12
139	Akoot_	11
140	KingMatthew506	10
141	Myszoaz	9
141	Lowjinx	9
143	TheSecondLord	8
143	Warlord324	8
145	ooga47	7
145	Enderslayerxz3	7
147	Soap_Bender	6
148	diamondgolem35	5
148	The_SlideV5	5
150	ATrojansLegend	4
150	Ardennes	4
150	mwrty	4
150	thescout7	4
150	r123moore	4
150	chipklip	4
150	DanTheBuilderino	4
150	LetsDoItLive	4
150	jcool7	4
159	susbakaimpostor	3
159	ssleepless	3
159	IWorkAtIkea	3
159	shdesolt	3
159	jacxhadow	3
159	thewindmillman	3
159	BumbleBeever	3
166	Dogbound	2
166	Blackberry1310	2
166	Hisiste	2
166	WyngGoy	2
166	Nicserso	2
166	Zoeyfortnite	2
166	h2p_emrld	2
173	fanofbands101	1
173	dabloons	1
173	Swexti	1
173	SDMNAEK	1
173	MinttyFressh	1
173	Mariopreeet	1
173	ROY4LE	1
173	Diavri	1
173	loveseeker	1
173	HAIRYCLOUD626	1
173	MightyWertu	1
173	Blaiku	1
173	lordpipe	1
173	Kowcio_	1
173	Dogcorn69420	1
173	Hermanni__	1
173	anbbang	1
173	kinas45y5	1
