rank	username	minecraft:used/minecraft:warped_stairs
1	rarrq	2054
2	beeperbeeper5	1536
3	StarCookiees_	807
4	Fuad_R	570
5	Lutres_	550
6	kekhon	531
7	catandmoose	487
8	Manaateee	414
9	Akoot_	289
9	AdmiralSmoke	289
11	Jackattack53	276
12	Enderxz3	271
13	IgnoredBee	269
14	pintsizedrogue	264
15	Eraxa	257
16	weabis	244
17	Marbz_	215
18	Apollo_993	184
19	TheEnderMan548	180
20	Mr_Byzantine	168
21	Legendosh	162
22	Lez_	153
23	SpacesickPrism	139
24	Steelynan	133
25	Fullut	118
26	Biites	112
27	teslawolf38	111
28	Hpdinosaur	105
29	Historical_Sand	90
29	HolyVenom	90
31	PazinGaming	74
31	TheSecondLord	74
31	Dakar_	74
34	Xalithia	73
35	Jonafrog99	65
36	Lord_Jord	62
37	Kowcio_	58
38	Mahoose	56
38	Optiprimus	56
40	12Magner05	53
41	Decaying_Lotus	50
42	Hoid_the_Roamer	48
43	0Vyp_	46
44	diggydog67	41
45	00000000-0000-0000-0009-01ff0c3e5e4f	40
46	_Huge_Male_	36
46	joethahobo	36
48	thewindmillman	34
48	Ezekson	34
50	SvenskaHugo	33
51	noam464	23
51	Nicserso	23
53	Shogunite	21
54	TheDankPlatypus	18
54	CalebDHawk	18
56	PlasticOtari	14
57	luseis	13
58	BobDeBouwer1337	11
58	ConnorDanky_	11
58	Jimb0nat0r	11
61	Vegvisir	10
62	FreakGenius	9
63	SuperPooch06	8
63	Soplight	8
65	KarlKaek	7
65	Blackberry1310	7
65	EveryonesUncle	7
68	jessewegottacook	6
68	Sleepy_Time_	6
68	LexMakesHistory	6
71	Myszoaz	5
72	ITDV	4
72	500am	4
72	SammiWolfGirl	4
72	EngagedGrub41	4
76	BPTY4618	3
76	Wooptey	3
76	eitanzaki	3
76	SteveCraftBlocks	3
76	Werbe	3
76	ooga47	3
76	PigDab	3
83	CoffeeNoir	2
83	Huwulling	2
83	Alfred603	2
83	xxPipperDipperxx	2
83	Mattesco	2
83	Nycteus_	2
83	Quotary	2
90	Spacewardharpy7	1
90	YungMaki	1
