rank	username	minecraft:used/minecraft:stone_stairs
1	Smoke____	6690
2	Deathkob	2319
3	Merv__	2249
4	Legendosh	2212
5	_stets	2034
6	Onennon	1666
7	Spacewardharpy7	1579
8	EveryonesUncle	1541
9	Historical_Sand	1398
10	m_be9	1369
11	Mahoose	1296
12	Lord_Jord	1248
13	PlasticOtari	1201
14	Soplight	1194
15	Maenara	1149
16	ImpavidArcher	1089
17	Fuad_R	1064
18	cedric72	1048
19	RoskobiOne	938
20	Di_infiri	920
21	burbankbuilder28	808
22	CoffeeNoir	795
23	Winklepicker279	777
24	pintsizedrogue	761
25	FreakGenius	753
26	joethahobo	740
27	abramgray	690
28	eviltunix	659
29	EMC_	653
30	PigDab	625
31	TheSecondLord	557
32	Enderxz3	537
33	beeperbeeper5	518
34	TechnoNinja64	482
35	Dusk_95	478
36	Kowcio_	440
37	luseis	429
38	Inchef	416
39	Eczbek	375
40	Chromary	373
41	rarrq	369
42	WyngGoy	356
43	Fullut	345
44	Snowflowe	340
45	TheOnlyRake	331
46	Prismyst	329
47	500am	327
48	Skylord_Luke	315
49	Racengan	312
50	TheShyPig	311
51	ProbablyNick	282
51	Ezekson	282
53	BlankityMcBlank	280
54	Kouridragon	279
55	lcvezra	263
56	Aangezet	259
57	Frozil20	257
57	fkGrim	257
59	weabis	248
60	ExtraDumb	245
61	non089	240
62	NatalieTW	233
63	Meatlaugh	232
64	AltnumberF4	212
65	ssleepless	202
65	NameGenerat0r	202
67	Kubeusz2010	198
68	IamCL4SSY	190
69	MangoTheFish	179
69	little_dUki	179
71	cog	178
71	tartanboy	178
73	Meme25327	175
73	Jackattack53	175
75	07shiny	172
76	Hyp3rion_	171
77	M_Patata	170
78	DemTechAlpha	169
79	Mattesco	168
80	Wooptey	166
81	T045RTY	161
82	2bolx_	160
83	soundad	152
84	MyNameIsDakar	147
85	El_Jalapeno	144
86	ShedJr_	141
87	Shiirazu	140
87	XxCookiequeenxX	140
89	SuperPooch06	139
90	iTurbo	129
91	NieToksikpl	127
91	xolstoi	127
93	Deodorante	126
94	wiqor	123
95	Shogunite	122
95	ElectricDragon81	122
97	titanlax	121
98	geekbird	120
99	6king6colt6	119
99	Hisiste	119
101	ooga47	117
102	MinuteMira	111
103	Cryptacity	110
103	MasterNueve	110
105	Zythose	109
105	Genius4Hire	109
107	Smashic	107
108	drunkeeez	106
109	Malorn_Aetherius	105
110	SingedBread	104
111	RatatJuice	103
112	Sheldor097	102
113	jnp_gaming	97
114	PuFY	96
115	ApophisNova	92
115	MyNamaSheff	92
117	Drewen24	91
118	Blackberry1310	90
119	Hanselhoof	86
120	RohnJosin	83
121	BlueZabu	81
122	Notta	80
122	thescout7	80
122	Lutres_Torane	80
125	LeauVox4921	79
125	SexcMf	79
127	YungMaki	78
128	Groovy_MoonBird	76
129	NoxxxxiS	75
130	hollowww	74
130	Elastiq	74
132	Bandito_Roamer	73
132	Ssor69	73
132	Steelynan	73
135	Noah_Bez	70
135	RadarHz	70
137	Barjas	69
137	GoofySilly	69
137	Nargotah	69
140	Kakolbus	65
140	Blu3beast	65
142	Alteriity	62
143	DermeinUser	61
143	radioactv_jelly	61
145	Inbefour	60
145	MilleGrug	60
147	Ghemmah	59
148	theonlymagikarp	58
148	UCP_TheKingK	58
150	IWorkAtIkea	56
151	Sleek_Storm_721	55
151	kekhon	55
153	4774	54
153	Xalithia	54
153	valkam13	54
156	pappaberg	53
156	_Karmaa	53
158	Freeman666	52
159	ogoa	51
160	Vorlice	49
160	lordpipe	49
162	Kubelz	48
162	MyNameIsJobo	48
162	Eraxa	48
165	BlancoFlaco	47
165	KeruNatsema	47
165	AlphaWolfPlaysMC	47
168	SvenskaHugo	44
169	Sabby65	43
169	Werbe	43
171	EngagedGrub41	42
172	_Bguette_	41
173	SpaceGrenadier	40
174	PazinGaming	39
174	Esme_1	39
174	gcaisawesome	39
174	LazySupport00	39
174	Dogcorn69420	39
179	BobDeBouwer1337	38
179	RobotMinion101	38
179	ese_wn_po	38
182	DarkDescent2392	37
182	seramalen	37
182	RedcatVII	37
182	MineMaster0012	37
186	Avrelion	36
186	jaimshae	36
186	Skippeh	36
189	Mr_Byzantine	35
190	Hiryu27	34
190	FishisTTV	34
192	PegLegPete93	33
192	masskedman	33
194	PhantomsGhost_	32
195	KGTV	31
195	Bumpy419	31
195	CACTUSLAD	31
198	AshleeCW	30
198	Lez_	30
198	andy_rex	30
198	pixelviolin	30
202	ehunt54	29
202	BronkerBrum	29
202	The_slideV3	29
202	MakeHistory157	29
202	Luigipunch989	29
202	Soffbord	29
202	WYFYoyo	29
209	Cavetorch	28
209	GravitySaint	28
211	2Stout	27
211	Smussa	27
211	ElderRifken	27
214	eitanzaki	26
214	Tombo2004	26
214	CarltheCuck	26
214	Blaiku	26
214	Fizznut909	26
219	Mewar	25
219	CollinMH06	25
219	DTwenty	25
219	OffWithTheirHead	25
223	LordSpeed37	24
223	LordBlaze11	24
225	Huwulling	23
225	set67	23
225	StinkyDiplomat	23
225	Ze_BaronKrigler	23
225	CalebDHawk	23
230	LordlessAbyss	22
230	dabloons	22
230	groofles	22
233	PhantomBionic	21
233	CrookedKaptain	21
233	potatocan	21
233	Powowowow	21
233	Sral7	21
233	561cool	21
239	ZeroAbyssTTV	20
239	Nyxiom_	20
239	diggydog67	20
242	xyct	19
242	r123moore	19
242	jewbacaman	19
242	mawileite	19
246	Ailmast	18
246	TheMilkerOfCats	18
246	FishyBoy3811	18
246	Aezekial	18
250	Euclidoris	17
250	Ozixar	17
250	bloodbiter	17
250	AlexxO_o	17
250	Akoot_	17
250	__tomato	17
250	Teebone15	17
257	SyK7	16
257	jspwn	16
257	nattybears	16
257	ProfessorBee	16
257	Pootis11	16
257	LibertyMutual	16
257	Quaintster	16
257	layabout100	16
257	robotemo	16
257	smogfrog	16
267	Allanon1235	15
267	jcool7	15
267	Hermanni__	15
270	Sparky_KT	14
270	Rumpletaezer	14
270	TheWildMateo	14
270	Conrad139	14
270	PortlyPete69	14
275	Megarboh	13
275	Tyrannosplart	13
275	PabloGonza02	13
275	KingMatthew506	13
279	AlazelTheReal	12
279	H72l9w	12
279	Mimiir345	12
279	Kijiki	12
283	NotMeanttoChange	11
283	parodypatient	11
283	IdeallyGrey	11
286	jimintyy	10
286	Da_Boss_Rani	10
286	tramizu	10
286	sandmire	10
