rank	username	minecraft:used/minecraft:spruce_fence
1	beeperbeeper5	8530
2	Skylord_Luke	6246
3	_Dean_123	4778
4	rarrq	4226
5	Shogunite	3804
6	Mahoose	3125
7	TheShyPig	2841
8	pintsizedrogue	2762
9	MyNameIsJobo	2526
10	Onennon	2458
11	Steelynan	2304
12	El_Jalapeno	2199
13	500am	2078
14	Merv__	1839
15	m_be9	1776
16	burbankbuilder28	1759
17	Inchef	1743
18	Eraxa	1661
19	Dusk_95	1621
20	TheSecondLord	1547
21	_stets	1389
22	Legendosh	1344
23	PlasticOtari	1308
24	kekhon	1263
25	dopplexd	1102
26	LordSpeed37	1090
27	Bumpy419	1082
28	jacxhadow	1047
29	SvenskaHugo	1028
30	lcvezra	977
31	EveryonesUncle	967
32	diamondgolem35	929
33	Meatlaugh	912
34	Tommhh	898
34	Freak_Genius	898
36	EcksDofficial	863
37	Blackberry1310	859
38	Frozil12	792
39	Arceus1975	757
40	ewpunk	739
41	KarlKaek	727
42	ApophisNova	724
42	MyNamaSheff	724
44	Kakolbus	704
45	Smiguli_	687
46	Comma__	667
47	MinttyFressh	661
47	oxfordschool	661
49	Di_infiri	647
50	Enderslayerxz3	638
51	Historical_Sand	610
52	2Stout	594
53	Barlycorn	588
54	Soplight	567
55	Louiis123	539
56	awesomeoneme	538
57	KingMatthew506	536
58	Malorn_Aetherius	535
59	natajimi	526
60	fffMike	525
61	Kkanot	518
62	ROY4LE	517
63	RoskobiOne	512
64	Racengan	506
65	Unitas_isa	489
66	Groovy_MoonBird	473
67	Kowcio_	469
68	XxCookiequeenxX	431
69	Soap_Bender	412
70	q_wq	408
71	Jiminie	402
72	Lord_Jord	395
73	Deodorante	390
74	joethahobo	387
75	BlueZabu	381
76	TechnoNinja64	377
77	Werbe	372
78	Laykon	371
79	EMC_	360
80	Froste131	359
81	krutas2000	351
82	Mistruth	347
83	xxPipperDipperxx	344
84	NoChumpChange	337
85	HellsSponge	332
86	Fullut	322
86	John6970	322
88	MAns_44	315
89	Smoke____	307
90	Soffbord	304
91	Cortexia	302
91	YungMaki	302
93	Rumpletaezer	301
93	SkateboardR6	301
95	seramalen	297
96	eitanzaki	296
97	kyouma777	293
98	PortlyPete69	292
99	T045RTY	288
99	Deathkob	288
101	lolpoottoot	285
102	fkGrim	283
103	Blu3beast	280
104	_Karmaa	279
105	RodSerlingCringe	277
106	Studyhallsaver	274
107	Jimi7hits	271
108	Cowison	270
109	anbbang	269
110	Stiar	268
110	MyNameIsDakar	268
112	Chromary	264
112	Bloo2406	264
114	Cryptacity	260
115	MattieHD	258
116	whoaluv	256
117	Zythose	249
118	__Fanda__	247
119	r123moore	243
119	chipklip	243
121	fluddd	240
122	layabout100	233
123	Snowflowe	230
123	cytotoxaint	230
125	MixerDixer	227
126	Hyp3rion_	223
127	zorin123	220
127	NebulousBadger	220
129	SUN_DREAM	212
130	Typadopoulos	208
131	Spenduh	206
132	AuroraSkies	202
133	SammiWolfGirl	191
134	ZeroKraken	190
135	JustAWill_	185
136	FlashMigma	184
137	ogoa	183
138	livingdaydreams	181
139	Akoot_	179
140	Sleek_Storm_721	177
140	Ardennes	177
140	MightyWertu	177
143	AuroraValkyrie	174
143	selectrix	174
145	redikul	173
146	M_Patata	172
146	MasterNueve	172
148	Spacewardharpy7	170
149	monolu	169
150	Hermanni__	164
150	Lowjinx	164
152	Dedalus36	162
153	rats_life	158
154	fw3xywashere	157
155	pappaberg	156
156	SquadMonster	155
157	AvaRosey	154
158	Flores991	153
159	ibarker21	152
160	Quotary	149
161	MinuteMira	148
162	rotten_mango	147
163	Smashic	146
164	Jackattack53	144
164	Steven1282598	144
166	wobn	142
166	OfficerAnvil	142
168	SaucyDark	141
168	Fizznut909	141
170	SDMNAEK	139
170	thescout7	139
172	_Bguette_	138
173	The_Fulgurator	137
174	pixelviolin	135
175	Slapface522	132
176	RebelAndroid	131
176	titanlax	131
176	set67	131
179	Jackster03	127
180	Mr_Byzantine	126
180	Xclax101	126
180	Ezekson	126
183	Shavrin	124
184	KermitTheKripple	122
184	bloomkieren	122
184	Luigipunch989	122
187	Hanselhoof	121
188	_Boipl_	120
188	UCP_TheKingK	120
190	Natty	119
190	Deerfoot	119
192	Skippeh	117
193	wwwwinnebagoooo	116
194	Drlzyy	115
194	Groundler	115
194	_3Stump_	115
194	Yogscast_Manden	115
198	killmeiamtraitor	114
198	CarryLine	114
200	claivin	112
201	surfinggiraffejp	111
202	xo_Marren_xo	108
203	RobotMinion101	107
203	MeetTheWollo	107
205	FishyBoy3811	106
205	sleepdrifter_	106
207	Alphanzt99	102
207	TableTim	102
209	al626win52	101
209	Njensen7	101
211	marumochis	99
211	Fildyr	99
213	Crasswolf	97
213	IAmTheWalrus910	97
215	TakeThis2UrGrave	95
215	Powowowow	95
217	Matyyy15	93
217	Inbefour	93
217	JESS_THE_RERE	93
217	Lord_Doob	93
221	Xalithia	91
222	Megarboh	90
223	Tolhart	89
223	NoxxxxiS	89
225	toj__	88
226	IWorkAtIkea	87
226	roxycherry	87
228	PhantomsGhost_	83
228	HollieDaNugget	83
230	CoffeeNoir	82
231	wrinkledpiglet	81
232	Kamflame10	80
232	Zaridey	80
232	MineMaster0012	80
235	ImpavidArcher	79
235	Negriuke	79
235	yatsuta	79
238	Guillemet	78
239	RedcatVII	76
240	squigglybones	74
240	ColeSnyder	74
240	thgrocks	74
240	Wolverine4302	74
244	elleparo	73
244	Enigma0251	73
246	TheFlfthHorseman	72
246	breadbowlgamer	72
246	SlayerCrypto	72
246	Dragonlfw	72
250	bigstankyy	71
251	Vetral1	70
251	ADEXTV	70
253	Menthas	69
254	Bazongoman	68
254	Winklepicker279	68
254	__tomato	68
257	Bk2Lumby4You	67
257	Blaiku	67
259	Zoeyfortnite	66
260	FroggoTheDoggo	65
260	6king6colt6	65
260	Ryker	65
263	hm947	64
263	FirsTimeGamingTV	64
263	SpicyMeatballs	64
266	Harotio	63
267	Foof13	62
268	trexgb	61
269	bitsplease	60
270	SidorAlex	59
270	Sparky_KT	59
270	G1ldor	59
270	Quincannon	59
274	CSG_Haru	58
275	Paint	57
275	loveseeker	57
275	PartyPhoenix	57
275	CalebDHawk	57
279	Razzgriz	55
280	TheOuterCore	54
281	Kubelz	53
282	ProfessorBee	51
282	War_Time_Leader	51
282	Choco_Spy	51
282	Chuglyfe	51
286	robotemo	50
286	FGamerJ	50
286	HesDemonPants	50
289	Marbz_	49
289	Toasty_Tom	49
289	stahouo	49
292	teslawolf38	48
292	baboonlord400	48
294	intropass	47
294	silverpopcorn	47
294	Ze_BaronKrigler	47
294	MelodyGaysharks	47
298	_Gabae	46
298	EfficientC52	46
300	_Razar	45
