rank	username	minecraft:used/minecraft:blue_dye
1	Archsam	49
2	_witch_craft_	37
3	Mattesco	20
4	TheSecondLord	14
5	12Magner05	13
6	PaperCanvas	11
6	sp00ky_ghost977	11
8	Hyp3rion_	10
8	Kowcio_	10
10	Fuad_R	7
10	PlasticOtari	7
12	TheWickedBird	6
13	KeruNatsema	5
13	GooseWithin	5
15	pintsizedrogue	4
15	U_Mos_	4
17	theonlymagikarp	3
17	Jackattack53	3
17	Luminad3	3
17	Veillax135	3
17	MAns_44	3
17	Invintic	3
23	CLG_Kata	2
23	ECstardust	2
23	craaaash	2
23	Arceus1975	2
23	Mr_Sun15	2
23	wwwwinnebagoooo	2
23	Pumpkin_P_Patch	2
23	Ezekson	2
31	k_ce	1
31	q_wq	1
31	ZaneABrain	1
31	beeperbeeper5	1
31	Crowman1	1
31	MattieHD	1
31	SteveCraftBlocks	1
31	Awyrlas	1
31	KartivGal	1
31	Hahaa_0	1
31	EdGalbraith	1
31	EveryonesUncle	1
31	luseis	1
31	StinkyDiplomat	1
31	weabis	1
31	Quaintster	1
31	Cache3	1
31	pixelviolin	1
31	Segotep999	1
31	2blox_	1
31	LuvLuvLove	1
