rank	username	minecraft:used/minecraft:mangrove_planks
1	Touched_Bread	14590
2	Jimb0nat0r	2416
3	Huwulling	2015
4	TheWickedBird	1955
5	Steelynan	1249
6	crashomon	1154
7	Nicserso	1037
8	Legendosh	995
9	k_ce	806
10	Yamdalorian	639
11	Segotep999	599
12	Mr_Byzantine	534
13	Lutres_	516
14	Olib3ar	391
15	Jackattack53	185
16	pintsizedrogue	181
17	Kondzik2008	174
18	fragrantmonke444	126
19	skitzxo	123
20	SvenskaHugo	106
20	00000000-0000-0000-0009-01fc3bb26159	106
22	TheKingK_	92
22	KamFurnace	92
22	Enderxz3	92
25	falcon244	86
26	bl1ss0	71
26	hanaryheatwave	71
28	Smashic	67
29	luseis	63
30	Manaateee	58
31	XxCookiequeenxX	51
32	oscminus	48
33	Werbe	36
33	FiguraDei	36
35	PlasticOtari	34
36	Sleepy_Time_	33
37	Apollo_993	26
37	Merv__	26
39	Mattesco	23
40	Soplight	19
41	Pumpkin_P_Patch	17
42	Lez_	16
42	xxPipperDipperxx	16
42	olliebollie48	16
45	Mahoose	7
46	EMC_	6
47	SmashingPump	4
47	thewindmillman	4
47	Spacewardharpy7	4
47	NATE_the_HALO	4
51	Fuad_R	3
51	MAns_44	3
51	SpacesickPrism	3
54	Napoleonpancake	2
54	PazinGaming	2
54	HUNTERmaun	2
54	12Magner05	2
54	Krowuss	2
54	Zeezap	2
54	pixelviolin	2
54	MrShojo	2
54	CalebDHawk	2
63	KarlKaek	1
63	Crizma_	1
63	MattieHD	1
63	pretty_pink_reno	1
63	lordpipe	1
