rank	username	minecraft:used/minecraft:target
1	Jackattack53	691
2	mihimihimihi	369
3	thewindmillman	342
3	Fuad_R	342
5	noam464	336
6	Manaateee	195
7	Yamdalorian	169
8	AstreaTSS	135
9	Hyp3rion_	130
9	EngagedGrub41	130
11	skitzxo	118
12	EMC_	89
13	Alteriity	85
14	Spacewardharpy7	73
15	j5ylim	65
16	beeperbeeper5	64
17	non089	61
18	TheSecondLord	58
19	lordpipe	55
20	Jimb0nat0r	53
21	Eczbek	45
22	Di_infiri	40
23	Eczbox	39
24	T045RTY	38
25	Niklas20114552	35
25	12Magner05	35
27	Awyrlas	33
28	tuckerdoodle	31
29	Pumpkin_P_Patch	29
30	PlasticOtari	24
31	Deathkob	23
32	eitanzaki	19
32	Inchef	19
34	Winston_Ingram	18
35	ConnorDanky_	17
36	fluddd	16
37	SteveCraftBlocks	15
38	q_wq	14
38	Jekyll	14
38	AlexxO_o	14
41	pixelviolin	13
42	M_Patata	12
43	MasterNueve	11
43	Eraxa	11
45	Blackberry1310	10
46	teslawolf38	9
46	Werbe	9
46	_Mythic____	9
49	k_ce	8
49	Historical_Sand	8
49	sp00ky_ghost977	8
49	EcksD	8
53	Jindong	7
53	ImpavidArcher	7
53	kekhon	7
53	Fullut	7
53	oscminus	7
53	SvenskaHugo	7
53	YungMaki	7
60	gcaisawesome	6
61	_Huge_Male_	5
61	censorsheep	5
61	Spenduh	5
64	RebelAndroid	4
64	Mahoose	4
64	Secret_Canary	4
64	luseis	4
64	Gus2005	4
64	tartanboy	4
70	PazinGaming	3
70	Huwulling	3
70	mwrty	3
70	r123moore	3
70	shadowthemonkey	3
75	pintsizedrogue	2
75	Sleek_Storm_721	2
75	DinoDoctor_	2
75	500am	2
75	pumpfonzo	2
75	Mattesco	2
75	Elastiq	2
75	EveryonesUncle	2
75	Hisiste	2
75	djancak	2
75	Enderxz3	2
75	HesDemonPants	2
87	Mr_Byzantine	1
87	ECstardust	1
87	CoffeeNoir	1
87	Archsam	1
87	joethahobo	1
87	excelsionprime	1
87	EdGalbraith	1
87	FreakGenius	1
87	blackeemperor	1
87	TheKingK_	1
87	Ezekson	1
87	DairyNickel756	1
