rank	username	minecraft:used/minecraft:red_stained_glass_pane
1	luseis	2734
2	beeperbeeper5	2113
3	Kowcio_	1421
4	Snowflowe	1350
5	Eraxa	1027
6	Optiprimus	907
7	k_ce	878
8	TheShyPig	736
9	r123moore	620
10	ROY4LE	529
11	El_Jalapeno	466
12	skitzxo	465
13	Lord_Jord	269
14	MinttyFressh	248
15	pintsizedrogue	242
16	rarrq	215
17	Spacewardharpy7	211
18	Groundler	175
19	VentiHilton	151
20	pixelviolin	144
21	TheSecondLord	141
22	IamCL4SSY	129
23	Yamdalorian	94
24	Lez_	88
25	Nicserso	87
26	olliebollie48	85
26	TheWickedBird	85
28	titanlax	82
29	Krowuss	76
30	TechnoNinja64	75
31	Jimi7hits	67
32	noam464	64
33	redikul	63
34	lordpipe	60
35	Merv__	55
36	Shogunite	54
37	DAD_1996	52
38	GoofyBread	51
38	jnp_gaming	51
40	jacxhadow	50
40	__tomato	50
42	MattieHD	49
42	wTXop	49
44	ZoomieZoomie	48
45	DizzleJay311	44
46	dopplexd	42
46	Onennon	42
48	SvenskaHugo	41
49	6king6colt6	40
49	Werbe	40
51	Soplight	39
52	Blackberry1310	38
52	MovingFish7	38
54	JitteryJared2	37
55	Solar_Power	34
55	annebolyn	34
57	F_Uhre	31
58	CoffeeNoir	30
59	FreakGenius	28
60	m_be9	25
60	crashomon	25
62	MrExplorer	24
62	AlexxO_o	24
64	Mattesco	23
64	Steelynan	23
66	EMC_	22
67	Mahoose	21
68	bl1ss0	20
68	MakeHistory157	20
70	AssFullaCum	19
70	tompup	19
72	TheTommyGun63	18
72	SexcMf	18
74	miramyu	17
75	SaucyDark	16
75	MoistMicrowave	16
75	The_SlideV5	16
78	PaperCanvas	15
78	Spenduh	15
80	thescout7	14
80	xxPipperDipperxx	14
80	hanaryheatwave	14
80	Quaintster	14
80	Blaiku	14
85	livingdaydreams	13
85	Blu3beast	13
87	YungMaki	12
88	emrekn	11
89	CLG_Kata	10
89	Frozil20	10
89	Hpdinosaur	10
89	joethahobo	10
89	Marbz_	10
89	Tyrannosplart	10
95	Rumpletaezer	9
96	QuiCreans	8
96	Crowman1	8
96	12Magner05	8
96	500am	8
96	drunkeeez	8
96	yheece	8
96	420BreadLizard	8
103	ItsAki_	7
103	YahooScreen9000	7
103	EveryonesUncle	7
103	Jimb0nat0r	7
107	nattybears	6
107	Druid95	6
107	ConnorDanky_	6
107	PlasticOtari	6
111	eitanzaki	5
111	UncreativeArtist	5
111	Chromary	5
111	NomadicRobin_	5
115	Huwulling	4
115	BobDeBouwer1337	4
115	SuperPooch06	4
115	oscminus	4
115	claivin	4
115	bluemage31	4
115	HesDemonPants	4
122	ZaneABrain	3
122	Arteriana	3
122	Drewen24	3
122	DarlaMeow	3
122	Lord_Doob	3
122	obzii	3
122	Winston_Ingram	3
122	Enderxz3	3
130	_Huge_Male_	2
130	BadenStayFly	2
130	PazinGaming	2
130	kekhon	2
130	surfinggiraffejp	2
130	Bumpy419	2
130	zToasty69z	2
130	Meatlaugh	2
130	NameGenerat0r	2
130	ElectricDragon81	2
130	EcksD	2
130	FelixPSY375	2
130	trexgb	2
143	ProbablyNick	1
143	TooManyDuck	1
143	Comma__	1
143	ApophisNova	1
143	ooga47	1
143	Racengan	1
143	mihimihimihi	1
143	_3Stump_	1
143	MyNamaSheff	1
