rank	username	minecraft:used/minecraft:sculk
1	Enderxz3	3090
2	hanaryheatwave	1961
3	luseis	1661
4	Smoke____	659
5	MineMaster0012	491
6	TheSecondLord	279
7	k_ce	237
8	RealGroot	206
9	noam464	192
10	thewindmillman	184
11	Wowful	174
12	Kowcio_	173
13	12Magner05	118
14	Lez_	100
15	Luminad3	94
16	Mahoose	71
17	Hyp3rion_	54
18	Merv__	48
19	Legendosh	46
20	H0UNDFRMH3LL	41
20	pintsizedrogue	41
22	Jackattack53	40
23	DinoDoctor_	36
24	eitanzaki	28
25	Rebytre	23
26	_Boipl_	20
27	MrKrabOnCoke	15
27	NATE_the_HALO	15
29	Da_Boss_Rani	12
30	EMC_	9
31	RoofTyler	8
31	iSammael	8
31	Eczbek	8
34	SmashingPump	7
35	00000000-0000-0000-0009-01ff0c3e5e4f	5
36	AverageGorg	4
36	Kakolbus	4
36	SvenskaHugo	4
39	nattybears	3
39	joethahobo	3
41	FazeObama69	2
41	beeperbeeper5	2
41	Soplight	2
44	Apollo_993	1
44	Snowflowe	1
44	ItsDeltaMC	1
44	Mythic1130	1
