rank	username	minecraft:used/minecraft:soul_campfire
1	EveryonesUncle	66
2	Masssonnn	48
3	oxfordschool	46
4	EcksD	34
5	jiggywraps	32
6	RebelAndroid	30
6	fw3xywashere	30
8	El_Jalapeno	24
9	kekhon	23
10	UncreativeArtist	22
11	Mahoose	21
12	12Magner05	16
12	Hisiste	16
14	CalebDHawk	15
15	Hyp3rion_	13
15	Airem_Core	13
17	Historical_Sand	11
18	joethahobo	10
19	MinttyFressh	9
19	_Dean_123	9
19	set67	9
19	Steelynan	9
19	Smoke____	9
24	ToastedGamingYT	8
25	Arceus1975	7
25	Dusk_95	7
27	TheShyPig	6
27	brofrickcheaters	6
29	PlasticOtari	5
30	TheSecondLord	4
30	Segotep999	4
30	ZeroKraken	4
33	beeperbeeper5	3
33	HesDemonPants	3
35	ShedJr_	2
35	rarrq	2
35	Fullut	2
35	noam464	2
35	Spacewardharpy7	2
35	Eraxa	2
41	ImpavidArcher	1
41	thewindmillman	1
41	seramalen	1
41	Leyna3	1
41	DTAI_	1
41	djancak	1
41	Enderslayerxz3	1
