rank	username	minecraft:used/minecraft:barrel
1	Lez_	2889
2	EveryonesUncle	2169
3	beeperbeeper5	1868
4	hanaryheatwave	1851
5	500am	1794
6	PlasticOtari	1563
7	EMC_	1519
8	pintsizedrogue	1492
9	Touched_Bread	1360
10	Hyp3rion_	1301
11	Zythose	1239
12	Spacewardharpy7	960
13	Inchef	925
14	Manaateee	912
15	thewindmillman	830
16	Mahoose	729
17	Krowuss	701
18	Merv__	682
19	Shogunite	657
20	TheShyPig	628
21	Kowcio_	626
22	AdmiralSmoke	616
23	EfficientC52	611
24	TheSecondLord	588
25	lordpipe	582
26	noam464	578
27	xolstoi	577
28	teslawolf38	566
29	Huwulling	549
30	luseis	519
31	FreakGenius	507
32	Mattesco	493
33	Onennon	491
34	ImpavidArcher	465
35	Snowflowe	456
36	Racengan	433
37	xxPipperDipperxx	426
38	Alteriity	391
39	m_be9	389
40	Historical_Sand	387
41	Soplight	385
42	Steelynan	372
43	valkam13	371
44	Kakolbus	368
45	12Magner05	359
46	Mr_Byzantine	356
46	Eraxa	356
48	RoskobiOne	342
49	Eczbek	339
50	Saucepeh	325
51	kekhon	318
52	SvenskaHugo	314
53	Skylord_Luke	300
54	ConnorDanky_	297
55	Rebytre	284
56	mihimihimihi	282
57	_Huge_Male_	269
58	jacxhadow	264
59	Legendosh	260
60	Blaiku	251
61	ApophisNova	234
61	MyNamaSheff	234
63	rarrq	231
64	joethahobo	229
65	Inbefour	227
66	H0UNDFRMH3LL	226
66	Ezekson	226
68	pixelviolin	225
69	Hermanni__	224
70	SpacesickPrism	214
71	Lord_Jord	209
72	_Dean_123	203
72	Xclax101	203
74	Awyrlas	201
75	DemTechAlpha	199
76	Enderxz3	190
77	Fullut	189
77	Jackattack53	189
79	Blackberry1310	175
80	Lutres_	174
81	Nicserso	166
82	k_ce	164
83	PazinGaming	163
84	SlayerCrypto	152
84	Werbe	152
84	KingMatthew506	152
87	T045RTY	151
88	diamondgolem35	150
89	PhantomsGhost_	149
89	NomadicRobin_	149
91	YungMaki	146
92	Prismyst	143
92	Smashic	143
94	RatatJuice	139
95	SammiWolfGirl	137
96	ShedJr_	136
97	Jackster03	133
97	Arceus1975	133
99	PigDab	127
100	MineMaster0012	124
101	Fuad_R	123
102	Sleek_Storm_721	121
103	bloodbiter	120
104	Druid95	118
105	fkGrim	115
105	Sheldor097	115
107	KarlKaek	112
107	jessewegottacook	112
107	Myntsys	112
110	IamCL4SSY	109
111	ehunt54	104
111	xzvu	104
113	Felenov	103
114	Ryan_GEMS	99
115	Di_infiri	98
115	Segotep999	98
117	Avocadogerms	94
118	LeauVox4921	93
118	_Bguette_	93
120	Dakar_	92
120	CalebDHawk	92
122	BPTY4618	91
123	soundad	90
124	Eczbox	89
124	Truckoss	89
126	lunathelemon	88
127	ECstardust	87
127	Rumpletaezer	87
127	Darkgon	87
127	Factoroni	87
131	prizm_	85
131	PaperCanvas	85
133	Quotary	84
134	Airem_Core	83
134	07shiny	83
136	MAns_44	82
137	UCP_TheKingK	81
137	CattSoup	81
139	Meatlaugh	80
140	TechnoNinja64	79
141	SaucyDark	78
141	GooseWithin	78
143	SmashingPump	77
143	Akoot_	77
145	Megarboh	76
146	eitanzaki	75
147	John6970	72
148	2Stout	71
148	yulgur1	71
148	Groundler	71
151	Myszoaz	70
151	Winklepicker279	70
151	MyNameIsJobo	70
151	Solar_Power	70
151	stellarjay	70
151	jnp_gaming	70
151	h2p_emrld	70
158	Cryptacity	68
159	Ryker	67
159	Jakobo1337	67
161	CoffeeNoir	66
161	Karetoko	66
163	ITDV	65
164	Deathkob	63
164	sp00ky_ghost977	63
166	Chromary	62
166	ItsJunoIGuess	62
168	ROY4LE	61
168	HyperCave	61
168	Jimb0nat0r	61
171	6king6colt6	60
171	fr0stss	60
171	thescout7	60
174	Kubeusz2010	59
175	titanlax	58
175	Luminad3	58
177	NameGenerat0r	57
177	Biites	57
179	Swexti	56
179	Kamflame10	56
179	DarkS0L	56
179	Skippeh	56
183	Archsam	54
183	PortlyPete69	54
185	_stets	53
186	q_wq	51
187	IgnoredBee	50
187	Bumpy419	50
189	Flores991	49
189	r123moore	49
189	wezzzi	49
192	Notta	48
192	El_Jalapeno	48
192	Slapface522	48
195	SOA1RR	47
195	bpmm	47
197	SuperPooch06	46
197	RobotMinion101	46
199	livingdaydreams	45
199	nut_e	45
199	OffWithTheirHead	45
199	tsitrawhy	45
203	heckface	44
203	MattieHD	44
203	Lord_Doob	44
203	JohnPrice	44
207	Apollo_993	43
207	Stiar	43
207	BronkerBrum	43
210	Crowman1	42
210	groofles	42
210	ogoa	42
213	Kim_Jong_eel	41
213	_Karmaa	41
213	ZoomieZoomie	41
213	skrongus	41
217	lcvezra	40
218	Bandito_Roamer	39
218	SkinnyBois	39
218	UltraZombie	39
221	TooManyDuck	38
221	the_russell1611	38
221	iSammael	38
221	StarCookiees_	38
225	Bazongoman	37
226	Cowison	36
226	Prodiginus	36
226	SDMNAEK	36
226	BlueZabu	36
226	burbankbuilder28	36
231	corvidpartyfor6	35
231	tobinwilliams	35
231	Maenara	35
234	_Razaria	34
234	FishisTTV	34
236	ThePoliteG	33
236	legal_tax_evader	33
236	EngagedGrub41	33
239	Tiberonus	32
239	Windo_licker	32
239	KeruNatsema	32
242	NieToksikpl	31
242	Ze_BaronKrigler	31
242	diggydog67	31
245	youhjjhhhjj	30
245	Base_Tempest	30
245	MadmanRaven	30
248	GLLogan2	29
248	Trixididntdie	29
248	MissCeleste7	29
251	MuffinManzz	28
251	hm947	28
251	Vizzoid	28
251	ZigzagLily43042	28
251	Blu3beast	28
251	the__Reaper4999	28
257	AuroraValkyrie	27
257	Z3braYTIL	27
257	Mr_Sun15	27
257	HellsSponge	27
257	Burge_r	27
257	FormulaNewt3627	27
263	rotten_mango	26
263	fluddd	26
263	Freedrik	26
266	CueMix	25
266	Zlatovlas	25
266	PegLegPete93	25
266	Kubelz	25
266	Hoid_the_Roamer	25
271	j5ylim	24
271	Gamergirl420628	24
271	Syropatathe	24
271	AvaRosey	24
275	Frozil20	23
275	Tolhart	23
275	Natty	23
275	Dblikstad	23
275	olliebollie48	23
275	The_slideV3	23
275	3_Solar_3	23
282	tuckerdoodle	22
282	surfinggiraffejp	22
282	Covalents	22
282	drompje	22
282	mawileite	22
287	ProbablyNick	21
287	Tommhh	21
287	UncreativeArtist	21
287	SSytex_X	21
287	non089	21
292	_Virify_	20
292	CLG_Kata	20
292	Samificator	20
292	audiocracked	20
292	Barlycorn	20
292	_TCARREIRA_	20
292	anbbang	20
299	oreee	19
299	Ozixar	19
