rank	username	minecraft:used/minecraft:yellow_glazed_terracotta
1	Legendosh	1661
2	500am	754
3	FreakGenius	672
4	Lutres_Torane	528
5	Merv__	222
6	lillips	198
7	kekhon	143
8	Prismyst	135
9	TheShyPig	99
10	Lord_Jord	92
11	xxPipperDipperxx	91
12	lordpipe	89
12	Hermanni__	89
14	Mahoose	87
15	Akoot_	73
16	_Virify_	66
17	Inbefour	50
18	Di_infiri	48
19	PlasticOtari	45
20	ImpavidArcher	44
20	YungMaki	44
22	ROY4LE	40
23	mihimihimihi	39
24	jnp_gaming	38
25	F_Uhre	36
26	eitanzaki	28
27	CarltheCuck	23
28	Steelynan	22
29	Lez_	21
29	Onennon	21
31	luseis	19
32	StinkyDiplomat	18
33	ooga47	13
34	Ezekson	12
35	Spacewardharpy7	11
36	El_Jalapeno	9
37	Hiryu27	7
37	Smoke____	7
39	Parcc	6
40	joethahobo	4
40	pixelviolin	4
42	pintsizedrogue	2
42	Cryptacity	2
42	noam464	2
42	Soplight	2
42	EcksD	2
47	ItsDeltaMC	1
47	Razzgriz	1
47	EngagedGrub41	1
47	Skippeh	1
47	h2p_emrld	1
