rank	username	minecraft:used/minecraft:cherry_fence
1	Lez_	457
2	skitzxo	204
3	Alteriity	159
4	Enderxz3	85
5	bl1ss0	70
6	oscminus	64
7	Mattesco	59
8	Reneedium	55
9	StarCookiees_	45
10	Nach0Bear	35
11	Krowuss	33
11	lordpipe	33
13	icim	30
14	MattieHD	29
14	OreTheBear	29
16	Mr_Byzantine	25
17	_Huge_Male_	21
18	TheSecondLord	20
19	Napoleonpancake	19
19	Kowcio_	19
21	pretty_pink_reno	18
22	FiguraDei	17
23	Werbe	14
24	k_ce	8
25	XxCookiequeenxX	7
26	PazinGaming	6
26	Archsam	6
26	PercivalCaduceus	6
29	pintsizedrogue	5
29	Mr_Sun15	5
31	RebytreGT	3
32	KamFurnace	2
