rank	username	minecraft:used/minecraft:tinted_glass
1	thewindmillman	3841
2	pintsizedrogue	2404
3	Ezekson	1342
4	beeperbeeper5	1256
5	ImpavidArcher	783
6	Hyp3rion_	665
7	500am	548
8	RebelAndroid	412
9	Kakolbus	377
10	Mahoose	314
11	PigDab	169
12	KeruNatsema	162
13	Flores991	104
14	joethahobo	90
15	T045RTY	79
16	Enderslayerxz3	73
17	Smoke____	53
18	Steelynan	51
19	Winklepicker279	50
20	YungMaki	32
21	SingedBread	29
22	_stets	23
23	Ryker	21
24	CharlieButt	16
25	Drlzyy	15
26	diamondgolem35	12
27	WYFYoyo	6
28	Spenduh	4
29	SquadMonster	3
30	The_Fulgurator	2
30	MeetTheWollo	2
32	Valoth	1
32	Inchef	1
32	Spacewardharpy7	1
32	pixelviolin	1
