rank	username	minecraft:used/minecraft:white_stained_glass
1	noam464	71382
2	Smoke____	38906
3	beeperbeeper5	28210
4	Hyp3rion_	23993
5	Spacewardharpy7	23082
6	Di_infiri	18724
7	Blaiku	14069
8	eitanzaki	13223
9	lordpipe	12327
10	stavgod	8417
11	Blu3beast	8034
12	Miko_Fullbuster	7821
13	XboxPanda	5118
14	Mewar	5011
15	PigDab	4875
16	Mahoose	4468
17	pintsizedrogue	4064
18	obzii	3945
19	ImpavidArcher	3857
20	thewindmillman	3355
21	m_be9	3125
22	T045RTY	2973
23	jnp_gaming	2940
24	Enderslayerxz3	2476
25	Arceus1975	2281
26	Racengan	1998
27	cog	1990
28	Xalithia	1868
29	Groundler	1846
30	Chromary	1758
31	__tomato	1689
32	Snowflowe	1626
33	_Virify_	1498
34	Sheldor097	1436
35	joethahobo	1430
35	Soplight	1430
37	BumbleBeever	1400
38	Incinere	1319
39	Kyrum2169	1294
40	emrekn	1246
41	Quincannon	1233
42	Skippeh	1217
43	CalebDHawk	1062
44	mawileite	1033
45	kekhon	965
46	EcksD	955
47	Jackattack53	876
47	MightyWertu	876
49	Werbe	862
49	AssEatrAndLicker	862
51	JESS_THE_RERE	813
52	Sral7	760
53	Marbz_	719
54	MakeHistory157	716
55	jimintyy	710
55	Zoeyfortnite	710
57	SellyZ	708
58	12Magner05	691
59	Inbefour	687
60	ApophisNova	679
60	MyNamaSheff	679
62	Merv__	639
62	RobotMinion101	639
64	Hpdinosaur	620
65	Akoot_	586
66	YungMaki	538
67	El_Jalapeno	532
68	Rumpletaezer	526
69	SpookyDraggin	491
70	anbbang	452
71	Ezekson	432
72	TheSecondLord	430
73	Sky_light_KING	429
74	_Karmaa	403
75	ROY4LE	388
76	NotMeanttoChange	387
77	Blackberry1310	351
78	CoffeeNoir	341
79	Eerini	337
80	Drlzyy	328
81	chipklip	313
82	ShedJr_	297
83	fluddd	267
84	ssleepless	264
85	Frozil12	253
86	thescout7	239
87	livingdaydreams	233
88	NameGenerat0r	228
89	h2p_emrld	218
90	PlasticOtari	217
91	Kowcio_	212
92	oxfordschool	206
93	_stets	205
94	titanlax	195
95	Barlycorn	190
96	Cocoamallows	186
97	eiC_	157
98	Hoid_the_Roamer	149
99	TheTrueClipse	144
100	q_wq	126
100	Freak_Genius	126
102	Sloths_Ender	125
103	DTwenty	121
104	KG1999	118
105	Warlord324	116
106	ExtraDumb	110
106	DAD_1996	110
106	sebastiensaborio	110
109	LexMakesHistory	99
110	rarrq	92
111	diamondgolem35	87
112	DanTheBuilderino	83
113	EcksDofficial	77
114	500am	70
115	gcaisawesome	69
115	Nicserso	69
117	_NieToksikpl_	68
118	jcool7	67
119	EMC_	65
120	tobinwilliams	64
121	M_Patata	63
121	MasterNueve	63
121	Jij0	63
124	nocturne78	60
125	r123moore	56
126	Lord_Jord	53
127	egglapras	47
128	Kubeusz2010	46
129	SharpDev	40
129	Afinnity	40
131	MyNameIsJobo	39
132	ProbsNotNova	37
133	Eraxa	34
134	PortlyPete69	33
135	Iagoku	29
135	xX_Stalin69_Xx	29
137	Zythose	28
137	SSytex_X	28
139	Winklepicker279	27
140	oreee	24
140	Parcc	24
140	UrbanPlanner1978	24
143	burbankbuilder28	22
144	kinas45y5	21
145	Myszoaz	20
146	Yatitay	19
146	Natty	19
148	ColeSnyder	17
148	Fullut	17
148	himak1	17
151	SokaOtaku	16
151	MyNameIsDakar	16
153	Firecracker320	15
154	_Dean_123	14
154	lillips	14
156	ayqq	13
156	Maenara	13
156	Dogcorn69420	13
159	The_slideV3	12
159	Shogunite	12
159	sp00ky_ghost977	12
159	Optiprimus	12
163	TheEnderman548	11
164	set67	10
164	TheShyPig	10
164	Airem_Core	10
167	Skylord_Luke	9
167	2blox	9
169	Enigma0251	8
169	yaboo88	8
169	cedric72	8
169	Xclax101	8
169	Quotary	8
174	claivin	7
175	Motsaro	6
175	SuperPooch06	6
175	Kijiki	6
175	Hermanni__	6
179	xxPipperDipperxx	5
180	CliffEmAll	4
180	fffMike	4
180	TechnoNinja64	4
183	SpaceGrenadier	3
183	Onennon	3
183	dezxalo	3
183	EveryonesUncle	3
183	CookTheChef3	3
183	Quaintster	3
189	nataliecool	2
189	Jorrdi	2
189	bigstankyy	2
189	SaucyDark	2
189	hm947	2
189	MattieHD	2
189	ProfessorBee	2
189	Wowful	2
189	Hisiste	2
189	Dusk_95	2
189	WyngGoy	2
189	SexcMf	2
201	teslawolf38	1
201	mwrty	1
201	Voxin2K	1
201	fred870d	1
201	HyperCave	1
201	Aangezet	1
201	Deathkob	1
201	Nycteus_	1
201	Steven1282598	1
201	MovingFish7	1
201	Spenduh	1
201	stahouo	1
201	lcvezra	1
201	SammiWolfGirl	1
201	ItsJunoIGuess	1
201	_3Stump_	1
201	tartanboy	1
