rank	username	minecraft:used/minecraft:chain
1	noam464	5315
2	beeperbeeper5	3273
3	Freak_Genius	1509
4	Lord_Jord	1061
5	pintsizedrogue	948
5	gcaisawesome	948
7	12Magner05	694
8	PlasticOtari	653
9	SammiWolfGirl	609
10	Mahoose	532
11	thewindmillman	515
12	jacxhadow	488
13	Enderslayerxz3	461
14	TheSecondLord	449
15	ImpavidArcher	440
16	PigDab	435
17	500am	433
18	Steelynan	407
19	Blaiku	385
20	SkateboardR6	377
21	burbankbuilder28	360
22	Smoke____	358
23	EveryonesUncle	353
24	Lutres_Torane	346
25	Frozil12	344
26	mwrty	303
27	Fullut	300
28	joethahobo	285
29	Werbe	256
30	Marbz_	237
30	TheShyPig	237
32	Inchef	232
32	Quotary	232
34	ogoa	197
35	SingedBread	178
36	Soplight	170
37	Dusk_95	167
38	Legendosh	160
39	Skylord_Luke	155
40	Blackberry1310	150
41	Jeteight	142
42	Jiminie	137
43	Spacewardharpy7	129
44	Shogunite	107
45	r123moore	104
46	Chromary	102
47	Winklepicker279	98
47	AlexxO_o	98
49	Merv__	94
50	RodSerlingCringe	92
51	Kakolbus	91
52	prizm_	88
53	xxPipperDipperxx	87
54	Fuad_R	86
55	kekhon	84
56	Historical_Sand	78
57	ROY4LE	76
58	Alteriity	72
59	Lez_	71
60	_Dean_123	70
61	rarrq	68
61	MrExplorer	68
61	KeruNatsema	68
61	UCP_TheKingK	68
65	Megarboh	66
66	TheDankPlatypus	64
67	_Karmaa	63
68	Akoot_	61
69	RoskobiOne	58
70	Racengan	56
71	eitanzaki	55
72	Mr_Byzantine	50
73	djancak	48
74	Erased_Identity	47
75	SvenskaHugo	45
76	Arceus1975	42
77	ApophisNova	40
77	CalebDHawk	40
77	MyNamaSheff	40
80	CharlieButt	39
81	Solar_Power	38
82	ShedJr_	37
82	HellsSponge	37
84	2Stout	36
85	Prismyst	35
86	NomadicRobin_	33
86	IdeallyGrey	33
88	drunkeeez	31
89	CoffeeNoir	30
89	Deathkob	30
91	Myszoaz	29
91	Awyrlas	29
91	ZoomieZoomie	29
94	2blox	28
95	MyNameIsDakar	24
95	EcksDofficial	24
97	Tommhh	23
98	bloodbiter	22
98	Hoid_the_Roamer	22
100	SpaceGrenadier	21
100	TheFlfthHorseman	21
100	Lord_Doob	21
100	pixelviolin	21
104	titanlax	20
104	Vorlice	20
106	purpolepickle	19
106	SlayerCrypto	19
106	YungMaki	19
109	BobDeBouwer1337	18
109	groofles	18
109	PortlyPete69	18
112	KarlKaek	17
112	Ze_BaronKrigler	17
114	Snowflowe	16
114	MousePlays	16
114	FishyBoy3811	16
117	Hyp3rion_	14
117	Winston_Ingram	14
117	Kubeusz2010	14
120	Dedalus36	13
120	Mimiir345	13
120	The_Quack_Dealer	13
120	diggydog67	13
124	benediktine1	12
124	Zythose	12
124	fred870d	12
124	Optiprimus	12
124	ElectricDragon81	12
124	anbbang	12
130	Cowison	11
130	AuroraValkyrie	11
130	Toriankel	11
130	GlitchyPlate810	11
130	ZeroKraken	11
135	Flores991	10
135	T045RTY	10
135	XxCookiequeenxX	10
135	CACTUSLAD	10
135	MineMaster0012	10
135	SpacesickPrism	10
141	Ryker	9
141	noodlepack	9
141	Smashic	9
141	himak1	9
141	StinkyDiplomat	9
146	SyntheticSurgeon	8
146	M_Patata	8
146	Di_infiri	8
146	seramalen	8
146	parodypatient	8
146	gustarbite	8
146	MightyWertu	8
146	lordpipe	8
146	MasterNueve	8
146	brofrickcheaters	8
146	Luigipunch989	8
146	Ezekson	8
146	jnp_gaming	8
159	WYFYoyo	7
160	_stets	6
160	q_wq	6
160	Swexti	6
160	IWorkAtIkea	6
160	SteveCraftBlocks	6
160	4774	6
166	fanofbands101	5
166	LexMakesHistory	5
166	Th6masss	5
166	00000000-0000-0000-0009-01ff0c3e5e4f	5
170	teslawolf38	4
170	EMC_	4
170	Prodiginus	4
170	CheifJumbo	4
170	Miko_Fullbuster	4
175	Travasaur	3
175	RatatJuice	3
175	RebelAndroid	3
175	NinjaKnifeKill	3
175	Sleepy_Time_	3
175	Gamergirl420628	3
175	dezxalo	3
175	MinuteMira	3
175	Razzgriz	3
175	Eraxa	3
175	RealDelver	3
186	Sleek_Storm_721	2
186	Chickenchaser2	2
186	egglapras	2
186	Felenov	2
186	Mattesco	2
186	Moofyman	2
186	LeGold	2
186	iMiszel	2
186	halfbakedlasagna	2
186	Airem_Core	2
186	Kowcio_	2
197	rachcl	1
197	Myrlewen	1
197	Khelvoryk	1
197	jiggywraps	1
197	LeauVox4921	1
197	smarticuno	1
197	SuperPooch06	1
197	_Boipl_	1
197	CarryLine	1
197	PuFY	1
197	fw3xywashere	1
197	DarkS0L	1
197	athereall	1
197	VentiHilton	1
197	cichy096	1
197	kinas45y5	1
197	YoshikageBites	1
