rank	username	minecraft:used/minecraft:coal_ore
1	gcaisawesome	14958
2	joethahobo	11658
3	Blaiku	7378
4	AdmiralSmoke	6881
5	Skippeh	6774
6	Werbe	6498
7	HellsSponge	6241
8	Kakolbus	6143
9	EveryonesUncle	5737
10	TheThomas69	5681
11	PlasticOtari	5537
12	Snowflowe	5507
13	Zythose	5309
14	Iamthejo	5227
15	thewindmillman	5085
16	EMC_	4900
17	Hyp3rion_	4863
18	PhantomsGhost_	4841
19	lordpipe	4748
20	Mewar	4390
21	pintsizedrogue	4388
22	Sral7	4288
23	Ezekson	3940
24	Nicserso	3502
25	Spacewardharpy7	3376
26	FreakGenius	3145
27	Lutres_	3142
28	kekhon	2760
29	YungMaki	2748
30	Enderxz3	2658
31	12Magner05	2593
32	ConnorDanky_	2563
33	Mahoose	2392
34	jnp_gaming	2087
35	Cowison	2082
35	RebelAndroid	2082
37	Akoot_	2050
38	NoChumpChange	1844
39	set67	1838
40	Steelynan	1828
41	obzii	1817
42	TheSecondLord	1749
43	Mattesco	1720
44	TechnoNinja64	1699
45	SpacesickPrism	1694
46	lillips	1682
47	hanaryheatwave	1607
48	Soap_Bender	1604
49	ApophisNova	1601
49	MyNamaSheff	1601
51	ProfessorBee	1591
52	Marbz_	1562
53	Megarboh	1510
54	Hisiste	1501
55	livingdaydreams	1483
56	MyNameIsJobo	1467
57	Crowman1	1448
58	Arceus1975	1443
59	Lord_Jord	1392
60	F_Uhre	1377
61	TheSeismicDuck	1360
62	Merv__	1319
63	masskedman	1316
64	TheShyPig	1315
65	Blackberry1310	1255
66	Fullut	1173
67	luseis	1144
68	Fuhrer_Teemo	1139
69	Frozil20	1134
70	audiocracked	1112
71	beeperbeeper5	1110
72	fade_emerge78823	1024
73	Inchef	1010
74	anbbang	997
75	Mr_Byzantine	947
76	Bumpy419	919
77	Deathkob	908
78	NatalieTW	893
79	Jovaphobic	884
80	500am	881
81	Corbsman	880
82	Groundler	848
83	Historical_Sand	845
84	EcksD	844
85	LeauVox4921	838
86	SpaceGrenadier	828
87	Blu3beast	822
88	ROY4LE	786
89	CoffeeNoir	778
90	_i_ERROR_i_	769
91	MinttyFressh	756
92	TheTrueClipse	754
93	Jimb0nat0r	737
94	SmashingPump	725
95	WyngGoy	696
96	07shiny	689
97	KartivGal	659
98	Di_infiri	648
98	SammiWolfGirl	648
100	OverallConcept	646
101	RefluxRatio	645
102	Shogunite	641
103	Lukeee33	634
103	ItsJunoIGuess	634
105	Rocco_Lane	623
106	Hoid_the_Roamer	618
107	Z3braYTIL	616
108	vandmanden	609
109	BodaciousCake	603
110	radioactv_jelly	596
111	Vetral1	595
111	ReSynced	595
113	Jackattack53	593
114	Huwulling	587
115	Segotep999	585
116	Jonafrog99	583
117	noam464	574
118	Kouridragon	566
119	T045RTY	565
120	Ssor69	558
121	Hermanni__	557
122	MilleGrug	556
123	Smiguli_	545
124	Barlycorn	542
125	ClemenPine	532
126	FirsTimeGamingTV	523
127	oscminus	519
127	claivin	519
129	PlzNoBM	501
130	Scathra	498
131	eviltunix	489
132	mariominejedi	488
133	ShedJr_	480
134	Iagoku	472
135	Nyxiom_	471
136	teslawolf38	467
137	MightyWertu	461
138	TheTommyGun63	448
139	Chromary	441
140	Inbefour	440
141	TooManyDuck	434
142	pixelviolin	433
143	H72l9w	432
144	soundad	425
145	Onennon	413
146	fw3xy74	404
147	Skylord_Luke	397
148	Leyna3	389
149	diamondgolem35	386
149	Soplight	386
151	SeverianOfUrth	369
151	Eczbek	369
151	Quotary	369
154	Eczbox	367
155	El_Jalapeno	358
156	JayToe	357
157	ProbablyNick	355
158	corvidpartyfor6	354
158	Hanselhoof	354
160	Legendosh	353
161	Racengan	339
162	Majonezzon	336
163	Sheldor097	333
164	titanlax	332
165	jcool7	329
166	Eraxa	328
167	MakeHistory157	327
168	Kamflame10	324
169	m_be9	323
170	ssleepless	321
170	Krowuss	321
172	Lil_Breadboy	320
172	Winston_Ingram	320
174	Jimi7hits	315
175	k_ce	312
176	Vorlice	307
177	Oxygen16	299
178	Kegradigm	296
179	Swexti	291
180	Pofen	285
181	Winklepicker279	278
182	ImpavidArcher	276
182	PigDab	276
184	hcb238	271
185	KingMatthew506	268
186	Dogcorn69420	266
187	r123moore	265
188	Zedducius	262
189	SDMNAEK	257
189	Cocoamallows	257
191	shineh10	256
192	6king6colt6	251
193	IamCL4SSY	250
194	Avocadogerms	248
195	SingedBread	245
196	gaziter10	244
197	rarrq	243
198	Ailmast	240
199	KGTV	239
200	Yatitay	238
201	ITDV	234
201	M_Patata	234
203	MattieHD	229
204	SUN_DREAM	225
205	WYFYoyo	220
206	Sharkbyte0	219
207	Euclidoris	218
208	MasterNueve	214
209	FishisTTV	213
210	_Mythic____	212
211	PegLegPete93	209
212	Drewen24	208
213	_stets	202
213	Kowcio_	202
215	Steve897	201
216	MrQuanQuan	199
217	diggydog67	194
218	mattybeewrapss	192
218	Jakobo1337	192
220	eitanzaki	191
221	MrExplorer	188
222	H0UNDFRMH3LL	187
222	Quincannon	187
222	little_dUki	187
225	Smashic	184
226	Healthing	179
227	Empresario	176
228	Creativebuilder2	175
228	NomadicRobin_	175
230	excelsionprime	171
231	eiC_	169
232	Airem_Core	168
233	mihimihimihi	167
234	Shin69	164
235	BumbleBeever	163
235	OG_Songsee	163
237	ExtraDumb	161
237	Malorn_Aetherius	161
237	legal_tax_evader	161
237	UrbanPlanningEx	161
241	SlayerCrypto	159
242	MissCeleste7	156
243	leaf26	155
244	ReflexCode	154
245	Xalithia	151
246	_darky1_	150
247	RatatJuice	148
248	emrekn	143
249	Hpdinosaur	142
250	tuckerdoodle	141
250	xxPipperDipperxx	141
252	EngagedGrub41	139
253	Kim_Jong_eel	136
254	Txeptsyip	135
255	MOSS000	133
255	andy_rex	133
257	Secret_Canary	131
258	gilesmcriles	130
258	NameGenerat0r	130
260	LazySupport00	129
261	Raltemoxitonica	128
261	Lord_Zacler	128
261	fluddd	128
261	hayesey11	128
265	laron58	127
266	Badenbeele	125
267	dartwaffle	124
268	ImNotYuqii	122
269	Incinere	120
270	XboxPanda	118
271	Shiirazu	117
271	FelixPSY375	117
273	tlustyCZARNY	116
273	SSytex_X	116
275	silverpopcorn	113
276	Crowvens	112
277	SaltineDream	109
277	MoistMicrowave	109
277	PortlyPete69	109
280	Kynigito	107
280	TheALV	107
282	PazinGaming	106
282	Silvo614	106
284	Ryan_GEMS	105
284	Vizzoid	105
284	Maenara	105
287	Jij0	103
287	UCP_TheKingK	103
289	Elastiq	102
290	Powowowow	101
291	weabis	100
291	iSammael	100
293	pappaberg	96
293	Cyntrical	96
