rank	username	minecraft:used/minecraft:dark_oak_hanging_sign
1	pixelviolin	60
2	Mattesco	29
3	MattieHD	24
4	Merv__	22
5	IlkeCookes_	18
6	_witch_craft_	13
7	HUNTERmaun	11
8	k_ce	7
8	Soplight	7
10	SnowfallUwU	6
11	TheRomanNoodles1	5
12	PazinGaming	3
13	Kronos42	2
13	TheSecondLord	2
13	bl1ss0	2
13	TheRealAndrin	2
13	Steelynan	2
18	skatch212	1
18	milltesco	1
18	cutelilreno	1
