rank	username	minecraft:used/minecraft:mangrove_fence
1	k_ce	668
2	Merv__	246
3	LuvLuvLove	150
4	Steelynan	103
5	Yamdalorian	84
6	pintsizedrogue	79
7	Galactic_Badger	68
7	Druid95	68
9	Mr_Byzantine	57
10	Jackattack53	37
11	Legendosh	28
12	Soplight	27
13	Werbe	24
14	xxPipperDipperxx	22
14	Jimb0nat0r	22
16	Kowcio_	19
17	Enderxz3	18
18	Segotep999	16
19	bl1ss0	15
20	Lez_	14
20	KamFurnace	14
22	Apollo_993	13
22	Kondzik2008	13
22	FiguraDei	13
25	KarlKaek	12
26	TheSecondLord	10
26	Secret_Canary	10
26	Mattesco	10
29	hanaryheatwave	9
30	oscminus	8
31	Pumpkin_P_Patch	7
32	00000000-0000-0000-0009-01ff0c3e5e4f	2
33	CLG_Kata	1
33	Mahoose	1
33	Manaateee	1
33	PlasticOtari	1
