rank	username	minecraft:used/minecraft:gray_shulker_box
1	TheShyPig	735
2	pintsizedrogue	714
3	Mahoose	523
4	Hyp3rion_	489
5	Enderxz3	479
6	Krowuss	368
7	oscminus	316
7	PlasticOtari	316
9	gcaisawesome	308
10	Skippeh	289
11	Jackattack53	276
12	rarrq	208
13	Lez_	197
14	Apollo_993	190
15	TheSecondLord	176
16	beeperbeeper5	173
17	Kowcio_	157
18	Jimi7hits	152
19	kekhon	150
20	500am	119
21	Mattesco	104
22	Segotep999	101
23	Jimb0nat0r	100
24	claivin	99
25	sp00ky_ghost977	96
26	mwrty	92
27	luseis	90
28	AdmiralSmoke	83
29	Inchef	82
30	hanaryheatwave	81
31	PazinGaming	80
32	teslawolf38	73
32	HellsSponge	73
34	ConnorDanky_	68
35	Manaateee	65
36	jessewegottacook	64
36	xolstoi	64
38	Merv__	63
39	Spacewardharpy7	60
40	pixelviolin	59
41	TheSeismicDuck	58
42	Huwulling	57
43	Auseawesome	56
44	ZoomieZoomie	55
45	fade_emerge78823	51
46	Alteriity	50
47	YungMaki	49
48	Akoot_	47
49	Elastiq	45
49	mihimihimihi	45
49	JayToe	45
52	ChronoSounds	44
53	Buuck_	43
53	Iamthejo	43
55	MattieHD	42
56	FirsTimeGamingTV	41
56	Eczbek	41
58	ImpavidArcher	40
59	bigstankyy	39
59	Deathkob	39
59	Soplight	39
62	Mr_Byzantine	38
62	SingedBread	38
64	noam464	35
64	MineMaster0012	35
66	Incinere	34
67	lordpipe	32
68	Historical_Sand	31
68	Groundler	31
70	joethahobo	29
70	Awyrlas	29
70	StinkyDiplomat	29
73	RoskobiOne	28
73	Frozil20	28
73	Werbe	28
73	Steelynan	28
73	vandmanden	28
78	OffWithTheirHead	27
79	jushykins	26
80	Smashic	25
80	Tyrannosplart	25
82	SoftSix	24
82	Rumpletaezer	24
82	NameGenerat0r	24
85	Hpdinosaur	23
85	Skylord_Luke	23
87	jimintyy	22
87	LeonelSalamanca	22
87	Ezekson	22
90	yheece	21
90	CattSoup	21
92	cedric72	20
92	Inbefour	20
94	titanlax	19
94	Kakolbus	19
94	_8man	19
94	RobotMinion101	19
94	Dogcorn69420	19
99	thatbeanyboi	18
99	zToasty69z	18
99	EngagedGrub41	18
99	EcksD	18
103	SpouHn	17
104	Crowman1	15
104	MightyWertu	15
106	Fuad_R	14
106	iSammael	14
106	Njensen7	14
109	ECstardust	13
110	Ggino0	12
110	H72l9w	12
110	Xalithia	12
110	Marbz_	12
110	Eczbox	12
110	UCP_TheKingK	12
116	TooManyDuck	11
116	emrekn	11
116	Stiar	11
116	thewindmillman	11
120	CollinMH06	10
120	King_Pancake1	10
120	The_Cruncy	10
120	_Karmaa	10
120	Blaiku	10
120	jnp_gaming	10
126	4774	9
126	OreTheBear	9
126	AlexxO_o	9
126	Lord_Jord	9
126	duqboy	9
126	LazySupport00	9
132	EMC_	8
132	Ssor69	8
132	Bumpy419	8
132	Truckoss	8
136	Healthing	7
136	pappaberg	7
136	Eraxa	7
139	lorywithay	6
139	SteveCraftBlocks	6
139	lorpus	6
139	DukeBoy1646	6
139	DarlaMeow	6
144	chipklip	5
144	TAKrules	5
144	Da_Boss_Rani	5
144	GooseWithin	5
144	lillips	5
144	FreakGenius	5
144	Razzgriz	5
144	lcvezra	5
144	_Wannabe_	5
144	anbbang	5
154	Houstonion	4
154	Fullut	4
154	TheDankPlatypus	4
154	SuperStreetCat	4
154	El_Jalapeno	4
154	StarCookiees_	4
154	SvenskaHugo	4
154	SpacesickPrism	4
162	_Huge_Male_	3
162	Creativebuilder2	3
162	ssleepless	3
162	Euclidoris	3
162	lunathelemon	3
162	KingEgg1	3
162	Jonafrog99	3
162	Rebytre	3
162	bearlystraight	3
162	IamCL4SSY	3
162	fw3xy74	3
162	weabis	3
162	TheBananaKat	3
162	Powowowow	3
162	FishisTTV	3
162	Faart	3
178	xfemboyx	2
178	dudcreeper	2
178	SaphLaseer	2
178	powercas_gamer	2
178	KarlKaek	2
178	eitanzaki	2
178	catandmoose	2
178	excelsionprime	2
178	surfinggiraffejp	2
178	Donutt	2
178	F_Uhre	2
178	DanielMmm	2
178	masskedman	2
178	Ma_name_alex	2
178	AssFullaCum	2
178	SammiWolfGirl	2
178	Nicserso	2
178	QueenHedwig9	2
196	j5ylim	1
196	PhantomsGhost_	1
196	AuroraValkyrie	1
196	ExtraDumb	1
196	ShedJr_	1
196	xxPipperDipperxx	1
196	crashomon	1
196	Itz_DuongVN	1
196	longappendage	1
196	Chromary	1
196	Zythose	1
196	_Boipl_	1
196	tobinwilliams	1
196	EtherealSilveon	1
196	CowOfTheNile	1
196	aldplaysmc	1
196	_Bguette_	1
196	Shogunite	1
196	Lord_Doob	1
196	OG_Songsee	1
196	laron58	1
196	UrbanPlanningEx	1
