rank	username	minecraft:used/minecraft:acacia_leaves
1	beeperbeeper5	2798
2	YungMaki	1278
3	gcaisawesome	1109
4	noam464	954
5	eitanzaki	696
6	Steelynan	592
7	Mahoose	533
8	Fullut	478
9	Meatlaugh	332
10	TheShyPig	327
11	FreakGenius	314
12	ImpavidArcher	292
13	12Magner05	240
14	Hoid_the_Roamer	228
15	CarltheCuck	214
16	Segotep999	211
17	r123moore	208
18	pintsizedrogue	201
19	kekhon	198
20	NameGenerat0r	194
20	Enderxz3	194
22	Hiryu27	184
23	andy_rex	171
24	PlasticOtari	169
25	Blackberry1310	166
26	AdmiralSmoke	164
27	shadowthemonkey	157
28	Groovy_MoonBird	149
29	SteveCraftBlocks	116
30	Merv__	109
31	Aneurysmas	92
32	fkGrim	90
33	Lez_	88
34	Legendosh	86
35	2Stout	84
36	jnp_gaming	82
37	Werbe	74
37	Spacewardharpy7	74
39	_3Stump_	63
40	Mowelan	50
41	mawileite	49
42	Kyrum2169	46
43	Di_infiri	44
44	JasmineGK	43
45	Blaiku	41
46	KarlKaek	40
46	Jimb0nat0r	40
48	Apollo_993	35
48	John6970	35
50	El_Jalapeno	31
51	Soplight	28
52	Kubeusz2010	27
52	calamariclam_I	27
54	Inbefour	26
55	erkada	24
56	SaucyDark	23
57	Frozil20	22
57	Rich_Kat	22
59	Hpdinosaur	20
60	xolstoi	15
61	yaboo88	14
62	legal_tax_evader	13
62	TechnoNinja64	13
64	Seindi	12
65	potatocan	11
66	Snowflowe	10
67	mariominejedi	9
67	NomadicRobin_	9
67	stellarjay	9
67	Ezekson	9
71	hanaryheatwave	8
72	Kakolbus	7
72	mihimihimihi	7
74	xzvu	6
74	smogfrog	6
76	TheSeismicDuck	5
76	Quaintster	5
76	MakeHistory157	5
76	Vellu21	5
80	LeauVox4921	4
80	SaintJosie	4
80	luseis	4
83	Skylord_Luke	3
83	Onennon	3
83	Barlycorn	3
86	RebelAndroid	2
86	corvidpartyfor6	2
86	_Dean_123	2
86	thewindmillman	2
86	Bumpy419	2
86	Akoot_	2
86	Shogunite	2
86	Eraxa	2
94	k_ce	1
94	Mr_Byzantine	1
94	xXTheWolfmanXx	1
94	Dipjol	1
94	Prodiginus	1
94	Lord_Jord	1
94	DemTechAlpha	1
94	JESS_THE_RERE	1
94	HellsSponge	1
94	StinkyDiplomat	1
94	geekbird	1
94	KingMatthew506	1
94	EcksD	1
94	MelodyGaysharks	1
94	h2p_emrld	1
