rank	username	minecraft:used/minecraft:waxed_exposed_copper_bulb
1	Buuck_	23
2	Mr_Byzantine	1
2	Secret_Canary	1
2	thewindmillman	1
2	oscminus	1
2	Spaghettatron	1
