rank	username	minecraft:used/minecraft:cyan_stained_glass
1	joethahobo	20808
2	beeperbeeper5	14933
3	Frozil20	8475
4	Hyp3rion_	5903
5	EngagedGrub41	4974
6	Jackattack53	4696
7	Yamdalorian	3929
8	Krowuss	3762
9	CattSoup	3760
10	Ezekson	3472
11	hanaryheatwave	3198
12	Jimb0nat0r	2798
13	ImpavidArcher	2730
14	Mattesco	2589
15	Alteriity	1908
16	Smashic	1904
17	TheSecondLord	1823
18	Huwulling	1776
19	Enderxz3	1744
20	NameGenerat0r	1689
21	Zythose	1533
22	Crowman1	1436
23	Fullut	1150
24	Quotary	1131
25	pintsizedrogue	1085
26	Shogunite	1075
27	SpacesickPrism	1033
28	j5ylim	855
29	Di_infiri	850
30	fragrantmonke444	559
31	noam464	488
32	OreTheBear	464
33	Inbefour	432
34	crashomon	427
35	DC_XII	363
36	r123moore	333
37	FishisTTV	285
38	eitanzaki	259
39	skitzxo	250
40	PhantomsGhost_	249
41	KingMatthew506	210
42	ROY4LE	194
43	stellarjay	186
44	lordpipe	178
45	Xalithia	171
46	TheShyPig	164
47	Mahoose	160
48	Merv__	147
49	Rumpletaezer	145
50	ConnorDanky_	143
51	rarrq	137
52	TechnoNinja64	132
53	The_slideV3	131
54	fluddd	88
55	Iagoku	84
56	Manaateee	80
57	kekhon	78
58	heckface	67
59	fw3xy74	61
60	CoffeeNoir	60
61	Marbz_	50
62	abramgray	44
62	Groundler	44
64	Lez_	39
64	YungMaki	39
66	Hyugo	38
67	mihimihimihi	36
68	jnp_gaming	35
69	thescout7	30
70	Ssor69	24
70	Chrisdeadeye	24
72	thewindmillman	22
72	luseis	22
74	Kowcio_	20
75	AlexxO_o	18
76	AuroraValkyrie	17
77	Legendosh	14
77	The_SlideV5	14
79	Werbe	10
80	mwrty	9
81	IamCL4SSY	8
81	xzvu	8
83	xxPipperDipperxx	6
83	SuperPooch06	6
83	XxCookiequeenxX	6
86	lunkuku	5
86	WyngGoy	5
86	Pumpkin_P_Patch	5
89	oscminus	4
89	Jiminbub	4
89	claivin	4
89	Spacewardharpy7	4
93	CLG_Kata	3
93	ECstardust	3
95	Gregward_Smith	2
95	Blackberry1310	2
95	Saucepeh	2
95	m_be9	2
95	U_Mos_	2
95	RobotMinion101	2
95	Xclax101	2
95	Blaiku	2
95	Eraxa	2
95	jcool7	2
95	hermmm_	2
95	FelixPSY375	2
95	TheWickedBird	2
108	skroobiez	1
108	MrKrabOnCoke	1
108	MinttyFressh	1
108	MattieHD	1
108	Secret_Canary	1
108	500am	1
108	Awyrlas	1
108	King_Pancake1	1
108	EdGalbraith	1
108	HellsSponge	1
108	Steelynan	1
108	Iamthejo	1
108	EcksD	1
108	annebolyn	1
