rank	username	minecraft:used/minecraft:brewing_stand
1	Lez_	1746
2	noam464	325
3	Vorlice	315
4	Di_infiri	258
5	diamondgolem35	182
6	pintsizedrogue	168
7	Hyp3rion_	165
8	eitanzaki	148
9	kekhon	111
10	SmashingPump	102
11	T045RTY	94
12	thewindmillman	88
13	HellsSponge	83
14	SammiWolfGirl	79
15	500am	75
16	Mythic1130	70
17	beeperbeeper5	68
18	Smoke____	65
19	Mahoose	64
20	Snowflowe	59
21	mwrty	57
22	Eraxa	56
23	luseis	54
24	EveryonesUncle	52
25	Historical_Sand	51
26	Groovy_MoonBird	49
26	Soplight	49
28	Blaiku	48
29	FreakGenius	47
29	djancak	47
31	Smashic	45
32	TheSecondLord	44
33	Winston_Ingram	43
34	LeauVox4921	42
34	Spacewardharpy7	42
36	joethahobo	39
37	PhantomsGhost_	38
37	Racengan	38
37	THEKINGLyric10	38
40	q_wq	36
41	binman420	35
42	EngagedGrub41	33
43	MattieHD	31
43	jnp_gaming	31
45	PlasticOtari	30
46	BunkeredTree	29
47	bloodbiter	28
47	SingedBread	28
49	claivin	27
49	MineMaster0012	27
49	h2p_emrld	27
52	_Bguette_	26
52	Blu3beast	26
52	GlitchyPlate810	26
52	EcksD	26
56	RoofTyler	24
56	fluddd	24
56	TechnoNinja64	24
59	fr0stss	23
59	Rumpletaezer	23
59	Skippeh	23
62	Apollo_993	22
63	Jovaphobic	21
63	Awyrlas	21
63	NotMeanttoChange	21
63	YungMaki	21
67	Merv__	20
67	ProfessorBee	20
67	ROY4LE	20
67	tobinwilliams	20
67	yulgur1	20
67	Xclax101	20
73	RoskobiOne	19
73	Hoid_the_Roamer	19
73	Werbe	19
73	Tyrannosplart	19
73	33sudo	19
73	Zoeyfortnite	19
79	EMC_	18
79	12Magner05	18
79	sp00ky_ghost977	18
82	m_be9	17
82	Felenov	17
84	Fullut	16
84	Inchef	16
84	TheShyPig	16
84	IamCL4SSY	16
84	Akoot_	16
84	PartyPhoenix	16
84	ConnorDanky_	16
91	H0UNDFRMH3LL	15
91	6king6colt6	15
91	r123moore	15
91	Fildyr	15
95	RebelAndroid	14
95	Chromary	14
95	Steelynan	14
98	__tomato	13
99	Prismyst	12
99	rarrq	12
99	jushykins	12
99	Guillemet	12
99	gcaisawesome	12
99	prizm_	12
99	Kakolbus	12
99	CollinMH06	12
99	gabriels543	12
99	_Karmaa	12
99	Hisiste	12
99	SvenskaHugo	12
99	pixelviolin	12
99	Hermanni__	12
113	seramalen	11
113	Onennon	11
113	LexMakesHistory	11
113	Iamthejo	11
113	2bolx_	11
113	Jimb0nat0r	11
119	ThiccExotic	10
119	legal_tax_evader	10
119	lordpipe	10
119	Kubeusz2010	10
119	Quotary	10
124	Bandito_Roamer	9
124	Frozil20	9
124	ratglock	9
124	4774	9
124	Arceus1975	9
124	Hiryu27	9
124	F_Uhre	9
124	Lord_Jord	9
124	Lutres_Torane	9
124	GoofyBread	9
124	Kowcio_	9
124	starbits140	9
124	stellarjay	9
124	Deguns123	9
124	laron58	9
139	titanlax	8
139	Donutt	8
139	ReflexCode	8
142	SaucyDark	7
142	youhjjhhhjj	7
142	ShedJr_	7
142	Secret_Canary	7
142	crying_wolf_13	7
142	M_Patata	7
142	hanaryheatwave	7
142	SaintJosie	7
142	AlphaWolfPlaysMC	7
142	MasterNueve	7
142	RealGroot	7
142	Dreamdbr14	7
142	Legendosh	7
142	xolstoi	7
156	teslawolf38	6
156	Esme_1	6
156	Wooptey	6
156	jacxhadow	6
156	Megarboh	6
156	surfinggiraffejp	6
156	walll	6
156	fallingemma	6
156	wezzzi	6
156	XxCookiequeenxX	6
156	El_Jalapeno	6
167	ZaneABrain	5
167	301851	5
167	Swexti	5
167	Stynxy	5
167	Blackberry1310	5
167	Kamflame10	5
167	Eraza	5
167	SharpDev	5
167	xxPipperDipperxx	5
167	mimbo1211	5
167	SlayerCrypto	5
167	SuperPooch06	5
167	Mattesco	5
167	Inbefour	5
167	JESS_THE_RERE	5
167	PortlyPete69	5
167	Ezekson	5
167	Enderxz3	5
167	bladeefan2009	5
186	Myszoaz	4
186	jessewegottacook	4
186	H72l9w	4
186	Crowman1	4
186	Auseawesome	4
186	ThePoliteG	4
186	eclipseboi	4
186	slkiey	4
186	UncreativeArtist	4
186	Blazebit	4
186	Covalents	4
186	CharlieButt	4
186	Zaridey	4
186	mariominejedi	4
186	Marbz_	4
186	PigDab	4
186	masskedman	4
186	StinkyDiplomat	4
186	Groundler	4
186	MakeHistory157	4
186	stavgod	4
186	Juh1s	4
186	_TCARREIRA_	4
186	Luigipunch989	4
186	Dogcorn69420	4
186	MilleGrug	4
186	BreadBacon	4
186	calamariclam_I	4
186	WYFYoyo	4
186	diggydog67	4
216	FazeObama69	3
216	dudcreeper	3
216	Sleek_Storm_721	3
216	RatatJuice	3
216	Incinere	3
216	Ssor69	3
216	FirsTimeGamingTV	3
216	Malorn_Aetherius	3
216	corvidpartyfor6	3
216	BilboBaggins23	3
216	thescout7	3
216	lorpus	3
216	TylerDupree	3
216	Paintz	3
216	ARandomHedge	3
216	TheDankPlatypus	3
216	whoaluv	3
216	corpsecity	3
216	Rebytre	3
216	Smussa	3
216	MonitorLizards	3
216	victorLIE	3
216	ougstur	3
216	Kim_Jong_eel	3
216	Maenara	3
216	AuroraSkies	3
216	Babushka0430	3
216	ebanana	3
216	1442	3
216	The_slideV3	3
216	EfficientC52	3
216	GravitySaint	3
216	ItzWqlfy	3
216	Dusk_95	3
216	SexcMf	3
216	lcvezra	3
216	FishisTTV	3
253	k_ce	2
253	Froste131	2
253	fanofbands101	2
253	Cowison	2
253	FujiBS	2
253	Ailmast	2
253	SlowMoNinja1994	2
253	lwyl	2
253	TooManyDuck	2
253	Ryker	2
253	BodaciousCake	2
253	livingdaydreams	2
253	nattybears	2
253	Jahara	2
253	KomputerDude	2
253	ivorico	2
253	ITDV	2
253	Euclidoris	2
253	NieToksikpl	2
253	Ardennes	2
253	_Dean_123	2
253	wiqor	2
253	PegLegPete93	2
253	Mewar	2
253	SpicyMeatballs	2
253	eiC_	2
253	XboxPanda	2
253	Mobstr	2
253	Windo_licker	2
253	PuustaKauasPdnt	2
253	Jackattack53	2
253	Zythose	2
253	Silvo614	2
253	DAD_1996	2
253	CaptainDeadBread	2
253	RobotMinion101	2
253	ooga47	2
253	Kynigito	2
253	jewbacaman	2
253	zToasty69z	2
253	ClemenPine	2
253	LilLizardWizard	2
253	ZA07	2
253	Elastiq	2
253	Toasty_Tom	2
253	MrQuanQuan	2
253	fw3xywashere	2
253	ReSynced	2
