rank	username	minecraft:used/minecraft:chiseled_bookshelf
1	oscminus	145
2	TheWickedBird	119
3	Lez_	84
4	Steelynan	52
5	k_ce	43
6	bl1ss0	35
6	pixelviolin	35
8	MrShojo	33
9	luseis	31
10	Merv__	28
11	KamFurnace	27
12	MattieHD	23
13	pintsizedrogue	22
14	Kowcio_	18
15	Reneedium	14
16	Enderxz3	13
17	Manaateee	11
18	Secret_Canary	10
19	Pumpkin_P_Patch	8
20	Zee_zey	7
20	StarCookiees_	7
22	gabukun_	6
23	hanaryheatwave	5
23	skitzxo	5
25	Napoleonpancake	4
25	Mattesco	4
25	FormulaNewt3627	4
28	PazinGaming	3
28	ECstardust	3
28	Alteriity	3
28	crashomon	3
28	Samificator	3
28	Hahaa_0	3
34	beeperbeeper5	2
34	Moofyman	2
34	ElectricDragon81	2
34	Jimb0nat0r	2
38	Mr_Byzantine	1
38	SOA1RR	1
38	Morgf	1
38	noam464	1
38	WET_WET_WET	1
38	Hyp3rion_	1
38	pretty_pink_reno	1
