rank	username	minecraft:used/minecraft:cherry_door
1	Lez_	60
2	MattieHD	25
3	pretty_pink_reno	22
3	skitzxo	22
5	Mr_Byzantine	14
5	KamFurnace	14
7	RatatJuice	13
8	Moofyman	11
9	OreTheBear	10
10	Merv__	9
10	Reneedium	9
10	Steelynan	9
10	icim	9
14	TheSecondLord	7
14	Mikael_Kuningas	7
16	Mattesco	6
16	StarCookiees_	6
18	Werbe	5
19	shineh10	4
19	Kowcio_	4
21	k_ce	3
21	myaccountwasgone	3
21	Dynamic_wolf_1	3
21	Jimb0nat0r	3
25	Napoleonpancake	2
25	bl1ss0	2
25	XxCookiequeenxX	2
25	luseis	2
25	emreknugrlu	2
25	robonya_	2
31	CLG_Kata	1
31	Tersea_	1
31	crashomon	1
31	Krowuss	1
31	Soplight	1
31	Enderxz3	1
