rank	username	minecraft:used/minecraft:mangrove_boat
1	CLG_Kata	125
2	Mattesco	120
3	pretty_pink_reno	17
4	Yamdalorian	11
5	falcon244	10
5	Ekkie_Catdeer	10
5	Kowcio_	10
8	beeperbeeper5	9
8	Enderxz3	9
10	Merv__	8
11	pintsizedrogue	7
12	Mahoose	5
12	QuiCreans	5
12	crashomon	5
12	TheKingK_	5
16	FiguraDei	4
16	OPTOMA_KING	4
18	Segotep999	3
19	k_ce	2
19	ImpavidArcher	2
19	Secret_Canary	2
19	Touched_Bread	2
19	MrQuanQuan	2
19	BartekB19	2
19	skitzxo	2
26	T045RTY	1
26	SteveCraftBlocks	1
26	Zepsi_Zola_	1
26	bl1ss0	1
26	WET_WET_WET	1
26	luseis	1
26	TheBananaKat	1
