rank	username	minecraft:used/minecraft:red_nether_bricks
1	MilleGrug	8255
2	Legendosh	6951
3	ooga47	2424
4	Freak_Genius	1549
5	TheShyPig	1417
6	YungMaki	955
7	himak1	800
8	m_be9	716
9	kekhon	713
10	rarrq	600
11	12Magner05	571
12	Eraxa	400
13	Xalithia	336
14	ApophisNova	262
14	MyNamaSheff	262
16	Blu3beast	241
17	stavgod	213
18	joethahobo	194
18	Sral7	194
20	beeperbeeper5	188
21	h2p_emrld	160
22	lordpipe	146
23	Bandito_Roamer	126
23	Marbz_	126
25	thewindmillman	119
26	sebastiensaborio	98
27	jnp_gaming	67
28	The_slideV3	52
29	ROY4LE	47
30	livingdaydreams	26
30	Kynigito	26
32	GravitySaint	21
33	Shogunite	17
34	ABUSNA1996	16
35	Fullut	13
36	Merv__	12
37	Vorlice	9
38	Snowflowe	7
39	Kkanot	5
39	Hermanni__	5
41	Groovy_MoonBird	4
41	ProfessorBee	4
41	kinas45y5	4
44	eitanzaki	3
44	AnnieBathory	3
46	Jovaphobic	2
46	ExtraDumb	2
46	Hpdinosaur	2
46	SteveCraftBlocks	2
46	noam464	2
46	Billious	2
46	sammidk	2
46	Frozil12	2
46	Nagasaki_Riku	2
46	jcool7	2
46	mobunni	2
57	JohnnyFyes	1
57	EMC_	1
57	diamondgolem35	1
57	hm947	1
57	_Razar	1
57	Mahoose	1
57	Blackberry1310	1
57	Di_infiri	1
57	Onennon	1
57	Spacewardharpy7	1
57	oxfordschool	1
