rank	username	minecraft:used/minecraft:trapped_chest
1	El_Jalapeno	511
2	Di_infiri	497
3	MattieHD	75
4	Shogunite	71
5	Merv__	54
6	beeperbeeper5	47
7	HellsSponge	22
8	Maenara	17
9	noam464	14
10	SellyZ	13
10	MangoTheFish	13
10	Akoot_	13
10	Eczbek	13
14	bloodbiter	11
15	MyNameIsJobo	10
15	TheShyPig	10
17	EveryonesUncle	9
17	FreakGenius	9
17	Legendosh	9
20	Spacewardharpy7	8
20	Kowcio_	8
20	EcksD	8
23	YungMaki	7
24	livingdaydreams	6
24	Fildyr	6
26	Mr_Byzantine	5
26	Tmb1	5
26	Zythose	5
29	xXTheWolfmanXx	4
29	TheSecondLord	4
29	Wowful	4
29	Fuhrer_Teemo	4
29	Hisiste	4
29	IAmTheWalrus910	4
29	EngagedGrub41	4
36	Houstonion	3
36	H72l9w	3
36	Ssor69	3
36	500am	3
36	Jaka_Saurus_715	3
36	__tomato	3
42	eitanzaki	2
42	Malorn_Aetherius	2
42	Zedducius	2
42	thescout7	2
42	Windo_licker	2
42	DAD_1996	2
42	Skylord_Luke	2
42	RobotMinion101	2
42	ougstur	2
42	Inbefour	2
42	balin55	2
42	Tyrannosplart	2
42	BumbleBeever	2
42	Soplight	2
42	xolstoi	2
57	ImpavidArcher	1
57	Mahoose	1
57	ShedJr_	1
57	joethahobo	1
57	m_be9	1
57	kekhon	1
57	Smashic	1
57	Smussa	1
57	NomadicRobin_	1
57	masskedman	1
57	ReflexCode	1
57	Blu3beast	1
57	Eraxa	1
57	ProbsNotNova	1
57	Smoke____	1
