rank	username	minecraft:used/minecraft:bedrock
1	TheShyPig	796
2	kekhon	395
3	Shogunite	355
4	Akoot_	207
5	Di_infiri	178
6	Eraxa	166
7	Groundler	85
8	beeperbeeper5	54
9	Arceus1975	34
10	ApophisNova	29
10	MyNamaSheff	29
12	Blu3beast	20
13	rarrq	17
14	lordpipe	16
15	Onennon	10
16	ImpavidArcher	8
17	MattieHD	4
18	Incinere	1
18	Euclidoris	1
