rank	username	minecraft:used/minecraft:lime_carpet
1	YungMaki	16861
2	Spacewardharpy7	10186
3	_Virify_	2220
4	Ezekson	1693
5	noam464	1641
6	AlexxO_o	1613
7	Legendosh	1503
8	eitanzaki	1397
9	Hyp3rion_	1069
10	Smoke____	1032
11	stavgod	811
12	FishyBoy3811	671
13	beeperbeeper5	371
14	Racengan	366
15	joethahobo	323
16	HellsSponge	303
17	mwrty	262
18	Inbefour	255
19	Xclax101	217
20	RebelAndroid	206
21	Njensen7	128
22	Kyrum2169	121
23	500am	119
24	jnp_gaming	107
25	Kakolbus	99
26	Swexti	90
27	Blackberry1310	88
28	Huwulling	87
29	PhantomsGhost_	77
29	xxPipperDipperxx	77
31	heckface	64
32	Quotary	63
33	Rumpletaezer	60
34	KingMatthew506	57
35	ConnorDanky_	55
36	Di_infiri	52
36	pixelviolin	52
38	AuroraSkies	49
39	The_slideV3	47
40	CoffeeNoir	46
41	Warlord324	42
42	xolstoi	41
43	CattSoup	38
44	Fullut	36
45	kekhon	33
46	Mahoose	26
46	Sral7	26
48	Enderxz3	24
49	teslawolf38	23
50	RoskobiOne	22
50	Nicserso	22
52	Lez_	21
52	_Dean_123	21
52	LexMakesHistory	21
52	TechnoNinja64	21
56	Skylord_Luke	20
57	M_Patata	18
57	MasterNueve	18
59	I_Am_Mushkin	17
60	HollieDaNugget	15
60	lordpipe	15
62	TheShyPig	12
62	ZA07	12
64	NomadicRobin_	10
65	Rebytre	9
66	SaucyDark	8
66	EveryonesUncle	8
68	Alteriity	7
68	420BreadLizard	7
68	FreakGenius	7
68	Kowcio_	7
68	Soplight	7
73	Eraxa	6
74	Merv__	5
74	Hermanni__	5
76	Akoot_	4
76	WyngGoy	4
78	Ssor69	3
78	Crowman1	3
78	Werbe	3
81	Howertt	2
81	SteveCraftBlocks	2
81	Jackattack53	2
81	NameGenerat0r	2
81	EcksD	2
81	PlasticOtari	2
87	Ailmast	1
87	Sleek_Storm_721	1
87	TheSecondLord	1
87	mimbo1211	1
87	RobotMinion101	1
87	CJPerson	1
87	Lord_Jord	1
87	natajimi	1
87	Universz	1
87	GravitySaint	1
87	Blaiku	1
87	BumbleBeever	1
87	GhostRecon8014	1
87	Burge_r	1
87	lcvezra	1
87	Skippeh	1
