rank	username	minecraft:used/minecraft:magenta_wool
1	AlexxO_o	16575
2	YungMaki	3343
3	beeperbeeper5	1798
4	Werbe	575
5	Hermanni__	559
6	AdmiralSmoke	538
7	Wooptey	496
8	Alteriity	457
9	eitanzaki	441
10	500am	433
11	xolstoi	413
12	ProbsNotNova	266
13	queenalina123	230
14	RebelAndroid	220
15	NomadicRobin_	192
16	Ezekson	189
17	lordpipe	167
18	PlzNoBM	164
19	Xclax101	162
20	Lutres_	157
21	TheEnderMan548	148
22	SoftSix	138
23	_Huge_Male_	132
24	Tyrannosplart	129
25	NameGenerat0r	123
26	Blackberry1310	119
27	ConnorDanky_	117
28	mwrty	100
29	Mattesco	96
30	SpacesickPrism	87
31	Chromary	83
32	PeteO1995	78
33	PlasticOtari	77
34	ROY4LE	72
35	Mahoose	68
36	Crowman1	64
36	JackyKwacky	64
38	Merv__	59
39	TheSecondLord	40
40	Rumpletaezer	32
41	thewindmillman	30
42	CLG_Kata	27
42	InfernalMound	27
42	noam464	27
45	Quotary	26
46	joethahobo	20
46	WET_WET_WET	20
46	Kiki_Majiki	20
49	Lez_	17
49	MakeHistory157	17
51	Zaridey	15
51	HellsSponge	15
53	Covalents	14
53	AJplaysMC_	14
53	pixelviolin	14
53	Legendosh	14
57	WyngGoy	13
58	Sral7	11
59	Inbefour	10
60	SvenskaHugo	9
61	SmashingPump	6
61	lcvezra	6
61	TechnoNinja64	6
64	Kakolbus	5
64	Lord_Jord	5
64	Blaiku	5
64	Groundler	5
68	ImpavidArcher	4
68	titanlax	4
68	RobotMinion101	4
68	Fuhrer_Teemo	4
68	StinkyDiplomat	4
68	El_Jalapeno	4
68	ZoomieZoomie	4
68	EcksD	4
68	Jimb0nat0r	4
77	Kowcio_	3
77	Steelynan	3
79	EMC_	2
79	ZaneABrain	2
79	kekhon	2
79	xxPipperDipperxx	2
79	Jackattack53	2
79	Hyp3rion_	2
79	The11thDoctor	2
79	Manaateee	2
79	FreakGenius	2
79	Spacewardharpy7	2
89	Apollo_993	1
89	Frozil20	1
89	NoHaHeHa	1
89	Prismyst	1
89	Kkanot	1
89	Eraza	1
89	PigDab	1
89	ILoveCarrot	1
89	Fuad_R	1
89	Quaintster	1
89	Blu3beast	1
89	fluddd	1
89	_Mythic____	1
89	Soplight	1
89	Enderxz3	1
89	jnp_gaming	1
89	skrongus	1
