rank	username	minecraft:used/minecraft:ice
1	12Magner05	78130
2	noam464	30972
3	gcaisawesome	21919
4	EcksD	21889
5	Di_infiri	20953
6	Hyp3rion_	16838
7	Jackattack53	10986
8	Krowuss	10625
9	thewindmillman	7045
10	Werbe	5333
11	jnp_gaming	5257
12	Blaiku	4642
13	Spacewardharpy7	4388
14	YungMaki	4337
15	Segotep999	3871
16	IamCL4SSY	3656
17	Frozil20	3384
18	diamondgolem35	3263
19	PlasticOtari	3114
20	Sral7	2597
21	set67	2426
22	m_be9	2174
23	Yamdalorian	2049
24	eitanzaki	1978
25	MightyWertu	1932
26	Skylord_Luke	1478
27	nattybears	1468
28	Jimb0nat0r	1424
29	Ezekson	1226
30	Lez_	1167
31	oscminus	1059
32	skitzxo	1020
33	Elastiq	979
34	Silvo614	971
35	Snowflowe	924
36	censorsheep	921
37	EdGalbraith	867
38	drumine	828
39	k_ce	778
40	joethahobo	752
41	Mahoose	669
42	obzii	653
43	ImpavidArcher	604
44	Apollo_993	545
45	The_slideV3	541
46	lordpipe	520
47	FlashMigma	487
48	emreknugrlu	485
49	Marbz_	465
50	HellsSponge	423
51	AuroraValkyrie	406
52	trexgb	390
53	Secret_Canary	387
54	Kowcio_	362
55	Eraxa	356
56	dartwaffle	330
57	Fuad_R	309
58	NameGenerat0r	290
58	voiding_	290
60	SmashingPump	282
61	SellyZ	277
62	AstreaTSS	266
63	mihimihimihi	263
64	Enderxz3	253
65	Merv__	245
65	wezzzi	245
67	diggydog67	234
68	Historical_Sand	233
69	ReflexCode	229
70	Kakolbus	225
71	pintsizedrogue	207
72	Mattesco	201
73	ECstardust	191
74	RebelAndroid	180
75	TheKingK_	177
76	Spenduh	174
77	Xalithia	171
78	hanaryheatwave	169
79	Crowman1	167
80	sp00ky_ghost977	155
81	luseis	154
82	SvenskaHugo	150
83	Optiprimus	148
84	Groovy_MoonBird	138
85	TheSecondLord	132
86	fr_ser	129
87	Incinere	128
88	AspenLightVT	118
89	Rumpletaezer	114
90	CrateOfBoxes	111
91	Barlycorn	101
92	StinkyDiplomat	91
93	AshleeCW	83
94	PigDab	80
95	RadarHz	77
96	EmrotoL	75
97	Kkanot	73
97	Bobby808	73
99	crashomon	72
100	ShedJr_	69
101	BlankityMcBlank	65
102	LexMakesHistory	61
103	Druid95	56
104	Deathkob	50
105	xxPipperDipperxx	49
106	Myszoaz	48
106	MyNameIsJobo	48
108	CLG_Kata	46
109	beeperbeeper5	45
109	StarCookiees_	45
111	ssleepless	43
111	Arceus1975	43
113	rarrq	41
113	ScootOfBoot	41
113	h2p_emrld	41
116	Steelynan	40
117	Blackberry1310	37
118	SoftSix	36
118	eviltunix	36
118	pappaberg	36
121	thescout7	34
122	Onennon	33
122	pixelviolin	33
124	Fuhrer_Teemo	32
125	Dragonlfw	31
126	NotMeanttoChange	30
127	PlzNoBM	27
128	SingedBread	24
129	claivin	22
130	MattieHD	20
130	himak1	20
132	Smashic	19
132	Soplight	19
132	ConnorDanky_	19
135	Crowvens	18
135	ABUSNA1996	18
137	melono_o	16
138	mwrty	15
138	Winklepicker279	15
138	Bumpy419	15
138	RobotMinion101	15
142	andy_rex	14
142	FelixPSY375	14
144	NieToksikpl	13
145	Smiguli_	12
145	EricAurum	12
145	Njensen7	12
148	_Mythic____	11
149	peachfuzz1267	10
149	legal_tax_evader	10
149	Nicky19	10
149	Nicserso	10
153	teslawolf38	9
153	Fullut	9
153	ROY4LE	9
153	El_Jalapeno	9
153	WyngGoy	9
153	hermmm_	9
159	Mr_Byzantine	8
159	kekhon	8
159	vandmanden	8
162	ewsophie	7
162	Fullbit_	7
162	Hoid_the_Roamer	7
162	HolyVenom	7
162	FreakGenius	7
162	Eczbek	7
162	FishisTTV	7
169	SlayerCrypto	6
169	RebytreGT	6
171	jushykins	5
171	TheShyPig	5
171	Maenara	5
171	Akoot_	5
171	Pumpkin_P_Patch	5
171	ediballbearings	5
177	EMC_	4
177	bloodbiter	4
177	surfinggiraffejp	4
177	JESS_THE_RERE	4
177	_Karmaa	4
182	Bandito_Roamer	3
182	SaucyDark	3
182	Boipl	3
182	F_Uhre	3
182	Hahaa_0	3
182	Groundler	3
182	Warlord324	3
182	kyouma777	3
182	xzvu	3
182	jcool7	3
182	Quotary	3
193	PhantomsGhost_	2
193	stevewithclout	2
193	Gregward_Smith	2
193	teqilas	2
193	FirsTimeGamingTV	2
193	poopybh	2
193	benediktine1	2
193	EveryonesUncle	2
193	Manaateee	2
193	fluddd	2
193	Razzgriz	2
193	Skippeh	2
193	annebolyn	2
206	BPTY4618	1
206	q_wq	1
206	myaccountwasgone	1
206	hm947	1
206	livingdaydreams	1
206	Jahara	1
206	NoHaHeHa	1
206	jimintyy	1
206	MSK__	1
206	skroobiez	1
206	Stynxy	1
206	Auseawesome	1
206	catandmoose	1
206	Nostrom	1
206	SteveCraftBlocks	1
206	500am	1
206	Awyrlas	1
206	olliebollie48	1
206	_8man	1
206	Shiirazu	1
206	zToasty69z	1
206	Rasmanden	1
206	Leyna3	1
206	audiocracked	1
206	Tyrannosplart	1
206	MAns_44	1
206	pretty_pink_reno	1
206	Gus2005	1
206	Ze_BaronKrigler	1
206	_TCARREIRA_	1
206	Luigipunch989	1
206	PortlyPete69	1
206	_Yonk_	1
206	fffMike	1
206	TheOuterCore	1
206	TheBananaKat	1
206	smogfrog	1
206	KamFurnace	1
206	2blox_	1
206	TechnoNinja64	1
206	MandenR1	1
