rank	username	minecraft:used/minecraft:calcite
1	rarrq	3061
2	thewindmillman	2374
3	EMC_	2056
4	Smoke____	1834
5	pintsizedrogue	1165
6	YungMaki	1064
7	diamondgolem35	941
8	MAns_44	789
9	Mahoose	780
10	Enderslayerxz3	759
11	500am	724
12	Marbz_	592
13	PlasticOtari	342
14	MilleGrug	327
15	TheSecondLord	303
16	Legendosh	286
17	hm947	187
18	_NieToksikpl_	154
19	MinttyFressh	147
20	ImpavidArcher	131
21	mobunni	130
22	Kkanot	118
23	GlitchyPlate810	116
24	sebastiensaborio	86
25	EveryonesUncle	78
26	lordpipe	77
27	Spacewardharpy7	73
28	The_Fulgurator	72
29	starbits140	70
30	Winklepicker279	69
31	SvenskaHugo	50
32	RadarHz	47
33	Drlzyy	38
34	SingedBread	32
34	Miko_Fullbuster	32
36	Blackberry1310	30
37	Kakolbus	25
37	SammiWolfGirl	25
39	12Magner05	23
40	Frozil12	21
41	pixelviolin	18
41	WYFYoyo	18
43	NomadicRobin_	16
44	Flores991	13
44	Hyp3rion_	13
46	TheDankPlatypus	10
47	beeperbeeper5	9
48	PigDab	8
49	IdeallyGrey	7
50	ApophisNova	5
50	MyNamaSheff	5
52	noam464	4
52	DarkS0L	4
52	TheOuterCore	4
55	_stets	3
55	MSK__	3
55	SteveCraftBlocks	3
55	Deathkob	3
55	smogfrog	3
60	Dan_Scha	2
60	TheEnderman548	2
62	eitanzaki	1
62	joethahobo	1
62	r123moore	1
62	Jackattack53	1
62	lizardfightclub	1
62	fluddd	1
62	Kowcio_	1
