rank	username	minecraft:used/minecraft:chiseled_nether_bricks
1	jacxhadow	2281
2	PigDab	583
3	YungMaki	163
4	Olib3ar	49
4	_i_ERROR_i_	49
4	Legendosh	49
7	BobDeBouwer1337	44
8	ShedJr_	40
9	Eraza	34
10	diamondgolem35	32
11	SmashingPump	31
12	thewindmillman	28
13	Jindong	26
14	Kakolbus	20
15	F_Uhre	17
16	beeperbeeper5	14
16	Mookle96	14
18	pintsizedrogue	10
19	teslawolf38	8
19	Kowcio_	8
21	TheSecondLord	7
21	Enderxz3	7
23	k_ce	2
23	500am	2
23	Di_infiri	2
23	MankMaestro	2
23	Manaateee	2
23	Druid95	2
29	noam464	1
29	EveryonesUncle	1
29	Spacewardharpy7	1
29	pixelviolin	1
