rank	username	minecraft:used/minecraft:jungle_trapdoor
1	MilleGrug	4519
2	beeperbeeper5	1220
3	Yamdalorian	1187
4	Spacewardharpy7	1182
5	thescout7	1010
6	AuroraValkyrie	969
7	HellsSponge	709
8	Kowcio_	658
9	yulgur1	471
10	Mahoose	460
10	Steelynan	460
12	EveryonesUncle	447
13	himak1	437
14	tuckerdoodle	431
15	fluddd	418
16	PlasticOtari	384
17	CattSoup	295
18	BronkerBrum	265
19	soundad	255
20	Secret_Canary	233
21	TheShyPig	215
22	Shogunite	138
23	SaucyDark	134
24	Deerfoot	128
25	SvenskaHugo	125
26	ShedJr_	121
27	QuesoCrusaderIII	120
28	Mr_Sun15	114
29	jnp_gaming	106
30	Factoroni	105
31	The_slideV3	104
32	Apollo_993	99
33	ATrojansLegend	97
34	JayToe	93
35	ECstardust	92
35	eitanzaki	92
35	DemTechAlpha	92
38	Winklepicker279	90
38	luseis	90
40	CoffeeNoir	79
40	Di_infiri	79
42	MyNameIsJobo	76
42	FreakGenius	76
42	Aezekial	76
45	Shortest_Man	74
46	500am	73
47	__tomato	72
48	Nicserso	68
49	Mr_Byzantine	66
49	FreddyFart	66
51	Deathkob	64
52	_Huge_Male_	62
53	annebolyn	61
54	Soplight	60
55	rarrq	59
56	drunkeeez	56
57	Sleepy_Evelyn	53
57	12Magner05	53
59	titanlax	52
60	Xalithia	51
60	Hyp3rion_	51
60	MightyWertu	51
63	Fullut	50
64	ImpavidArcher	49
65	Merv__	48
66	Fullbit_	44
67	joethahobo	41
68	Mattesco	40
68	Mr_Froxy	40
70	bl1ss0	39
71	QuiCreans	38
72	pintsizedrogue	36
72	taengoos	36
74	Manaateee	35
75	Swexti	34
76	Crizma_	32
77	H0UNDFRMH3LL	31
78	Kukkelikuk	28
79	THEKINGLyric10	27
79	SpacesickPrism	27
81	Gzrdy	26
81	Enderxz3	26
83	Lez_	25
84	Legendosh	24
85	akap47	23
86	txxskx	22
87	4774	21
87	hanaryheatwave	21
87	PigDab	21
87	ItsJunoIGuess	21
91	benediktine1	20
92	_Virify_	18
92	OreTheBear	18
94	Synthoum	17
95	BeardBois	16
96	Eraza	15
97	Crowman1	14
97	legal_tax_evader	14
99	noodlepack	13
99	KeruNatsema	13
101	CLG_Kata	12
101	Inbefour	12
103	Bandito_Roamer	11
103	PazinGaming	11
103	EKUG	11
103	Blackberry1310	11
107	Cryptacity	10
107	M_Patata	10
107	Maenara	10
107	valkam13	10
107	Fuad_R	10
107	MasterNueve	10
113	nocturne78	9
113	xxPipperDipperxx	9
113	iSammael	9
116	NotMeanttoChange	8
116	Druid95	8
118	Prodiginus	7
118	jcool7	7
120	Stiar	6
120	AnnieBathory	6
120	Aangezet	6
120	JESS_THE_RERE	6
124	Ryan_GEMS	5
124	SteveCraftBlocks	5
124	_Dean_123	5
124	noam464	5
124	MAns_44	5
124	censorsheep	5
124	KingMatthew506	5
124	ConnorDanky_	5
132	Gregward_Smith	4
132	TheSecondLord	4
132	kekhon	4
132	PegLegPete93	4
132	Kynigito	4
132	Akoot_	4
132	ese_wn_po	4
132	Airem_Core	4
132	07shiny	4
132	stellarjay	4
142	Ssor69	3
142	fkGrim	3
142	Spenduh	3
142	Quotary	3
146	BlancoFlaco	2
146	Incinere	2
146	Silenttieg	2
146	Cats_Fly	2
146	mwrty	2
146	olliebollie48	2
146	Rocketlaunchers	2
146	Skylord_Luke	2
146	F_Uhre	2
146	AspenLightVT	2
146	weabis	2
146	AssFullaCum	2
146	The_SlideV5	2
146	Jordan_R	2
160	teslawolf38	1
160	CryoInferno_	1
160	the_fireminer	1
160	livingdaydreams	1
160	FirsTimeGamingTV	1
160	_Nuf	1
160	Inchef	1
160	TheWildMateo	1
160	Werbe	1
160	Kim_Jong_eel	1
160	Dabatha	1
160	pk1297	1
160	AstroLightz_	1
160	TechnoNinja64	1
160	TheWickedBird	1
