rank	username	minecraft:used/minecraft:birch_sapling
1	Hyp3rion_	49967
2	Yamdalorian	15305
3	Spacewardharpy7	14219
4	noam464	9544
5	Di_infiri	8213
6	thescout7	4241
7	Huwulling	3134
8	thewindmillman	2158
9	tuckerdoodle	2042
10	Blackberry1310	1803
11	HesDemonPants	1454
12	TheShyPig	1345
13	Snowflowe	1305
14	PortlyPete69	1068
15	sp00ky_ghost977	1046
16	eitanzaki	1008
17	beeperbeeper5	972
18	PlasticOtari	948
19	Mr_Byzantine	829
20	SpacesickPrism	802
21	El_Jalapeno	789
22	MyNameIsJobo	731
23	ee_echo_oo	716
24	lordpipe	699
25	_Nuf	633
26	luseis	563
27	pixelviolin	458
28	MightyWertu	441
29	Legendosh	397
30	EcksD	395
31	Niklas20114552	381
32	Ezekson	346
33	Cowison	338
34	philandr	319
35	EveryonesUncle	317
36	RebelAndroid	311
37	Felenov	307
38	Kryktal	266
39	Malorn_Aetherius	258
40	KarlKaek	232
41	rarrq	229
42	joethahobo	223
42	Zythose	223
44	Iamthejo	221
45	PhantomsGhost_	219
46	nocturne78	211
47	TheWickedBird	207
48	_Virify_	200
49	Zedducius	199
50	FreakGenius	197
51	Rasmanden	191
52	LeeMcGee30	184
53	Studio4x32	164
53	Deerfoot	164
55	Hahaa_0	154
55	Blaiku	154
57	Hoid_the_Roamer	150
58	eiC_	149
59	_Karmaa	142
59	Pumpkin_P_Patch	142
61	PizzaJake	139
62	ZeroAbyssTTV	138
63	NatalieTW	135
63	Simon_Lowell	135
65	KingMatthew506	128
66	Morgf	125
66	kekhon	125
68	diggydog67	118
69	Lord_Jord	117
70	Groundler	116
71	purpolepickle	112
72	BumbleBeever	110
73	SPUDonSTEROIDS	109
74	eviltunix	107
74	grislgrobl	107
76	ShedJr_	102
77	ImpavidArcher	101
77	xxPipperDipperxx	101
79	xPixelRainx	99
80	Blu3beast	96
81	The11thDoctor	93
82	set67	92
82	ooga47	92
82	stuy9	92
85	Lutres_	91
86	Soplight	90
87	SOA1RR	89
87	Meatlaugh	89
89	_Cloverbelle_	87
90	coobert42	86
91	TheThomas69	84
92	hermmm_	82
93	Manaateee	80
94	DTwenty	79
95	wwwwinnebagoooo	76
95	07shiny	76
97	Bumpy419	75
98	ItzYaBoiPicard	74
98	Drewen24	74
100	Ryker	68
100	LeauVox4921	68
102	bigstankyy	66
103	SyntheticSurgeon	64
104	The_slideV3	62
105	TechnoNinja64	61
106	Arceus1975	59
106	ApophisNova	59
106	MyNamaSheff	59
109	BlancoFlaco	58
109	PegLegPete93	58
109	Gamergirl420628	58
109	ReflexCode	58
113	12Magner05	56
114	jaimshae	55
115	ediballbearings	53
116	Ryan_GEMS	51
116	monky_irl	51
118	ori0le	49
118	LordSpeed37	49
120	MisfitsMike	48
121	pintsizedrogue	46
121	SuperPooch06	46
121	SirPiccardo	46
121	LilLizardWizard	46
125	EMC_	45
125	Stiar	45
125	M_Patata	45
125	Winklepicker279	45
125	natajimi	45
125	MasterNueve	45
131	Hormones	44
131	miramyu	44
133	__Fanda__	42
133	Inbefour	42
133	DemTechAlpha	42
133	33sudo	42
133	chiakirice	42
138	LavenderBi1ch	41
138	CattSoup	41
140	HAruSAme14	40
141	Lukeee33	39
142	Zee_zey	36
142	6king6colt6	36
142	QuiCreans	36
142	ADEXTV	36
142	NoChumpChange	36
147	CoffeeNoir	35
147	KeruNatsema	35
147	Russiancat1	35
150	Werbe	34
150	KlausVonStiglitz	34
150	Steelynan	34
150	taengoos	34
154	Ozixar	33
154	CompoundMedic	33
154	parodypatient	33
154	SingedBread	33
158	DermeinUser	31
158	Kynigito	31
158	MAns_44	31
161	djancak	30
162	ashetrays	29
162	stellarjay	29
162	Enderxz3	29
165	Kubelz	28
166	Ravenbie	27
166	Shogunite	27
168	Everette_Bee	26
168	ThePoliteG	26
168	killmeiamtraitor	26
168	Optiprimus	26
172	Merv__	25
172	fkGrim	25
172	NamelessGG	25
175	Dblikstad	24
175	swag_bro2004	24
175	hanaryheatwave	24
175	MustardDrinker	24
175	Zielo2017PL	24
175	Kijiki	24
181	heckface	23
182	Bandito_Roamer	22
182	oscminus	22
182	blimpeey	22
182	_AAZAR	22
182	jnp_gaming	22
182	LuvLuvLove	22
182	MelodyGaysharks	22
189	IWorkAtIkea	21
189	craaaash	21
189	MineCryptian	21
192	PercivalCaduceus	20
192	masskedman	20
194	MC_Gamer_Geek	19
194	picardred	19
194	Nicky_H225	19
194	Kokeech	19
194	E775	19
194	smogfrog	19
200	Atroxes	18
200	bloodbiter	18
200	Fullut	18
200	Giannism	18
200	IAmTheWalrus910	18
200	Vellu21	18
206	himak1	17
206	DSYisDizzy	17
206	Rumpletaezer	17
206	WET_WET_WET	17
206	Rebytre	17
206	Onennon	17
206	FishyBoy3811	17
206	BioKing99	17
206	xorompole	17
206	FelixPSY375	17
206	Powowowow	17
206	DkansK	17
218	Apollo_993	16
218	EkkoTraveler	16
218	titanlax	16
218	_witch_craft_	16
218	NotMeanttoChange	16
218	killerzant	16
218	trixterrx	16
218	AvaRosey	16
226	DrBalloon	15
226	Nadhorion	15
228	YinToYin	14
228	AdvertisingMerc	14
228	Jokerman369	14
228	CarltheCuck	14
228	spellmre	14
228	Typadopoulos	14
234	TheSecondLord	13
234	corvidpartyfor6	13
234	SHAOBADMAN	13
234	Mattesco	13
234	ougstur	13
234	Fuhrer_Teemo	13
234	StinkyDiplomat	13
234	DukBob	13
234	ZoomieZoomie	13
234	Quotary	13
244	shdesolt	12
244	Mewar	12
244	Bolete	12
244	JETrotter	12
244	Leeeegend	12
244	_MeowMix	12
244	UltraZombie	12
244	tompup	12
252	Killercatty78	11
252	2extreeme	11
252	Reneedium	11
252	Sophia_Irene	11
252	xKhoshekh	11
252	MonitorLizards	11
252	Eerini	11
252	YahooScreen9000	11
252	Human_Resource	11
252	LetsDoItLive	11
262	Iagoku	10
262	Wooptey	10
262	Ssor69	10
262	500am	10
262	MindyDooWho	10
262	UncreativeArtist	10
262	Marbz_	10
262	U_Mos_	10
262	CarryLine	10
262	EdGalbraith	10
262	NYJ	10
262	Vorlice	10
262	Spenduh	10
262	Deguns123	10
262	ConnorDanky_	10
262	The_SlideV5	10
278	RoskobiOne	9
278	Mahoose	9
278	dopplexd	9
278	_Dean_123	9
278	skelctal	9
278	DamagedSin	9
278	NiveauSubmarine	9
278	TheKingK_	9
278	CalebDHawk	9
278	es0th	9
288	Groovy_MoonBird	8
288	_Huge_Male_	8
288	KingFaenor	8
288	CliffEmAll	8
288	Xalithia	8
288	ARandomHedge	8
288	Crasswolf	8
288	Windo_licker	8
288	legal_tax_evader	8
288	ChillenChiggen	8
288	Donutt	8
288	Ghemmah	8
288	Maenara	8
