rank	username	minecraft:used/minecraft:cobblestone_slab
1	HellsSponge	79983
2	vandmanden	31043
3	Di_infiri	25978
4	thescout7	24985
5	AstreaTSS	21042
6	SellyZ	13171
7	joethahobo	13087
8	Snowflowe	11835
9	_Nuf	11215
10	YungMaki	10140
11	Shogunite	9593
12	stavgod	9509
13	Mahoose	8051
14	Legendosh	6846
15	ApophisNova	6811
15	MyNamaSheff	6811
17	mwrty	5628
18	Hyp3rion_	5518
19	_8man	4775
20	Jackattack53	4387
21	Frozil20	4320
22	kekhon	4224
23	FirsTimeGamingTV	3998
24	lcvezra	3962
25	luseis	3915
26	AlphaWolfPlaysMC	3874
27	beeperbeeper5	3760
28	burbankbuilder28	3591
29	eitanzaki	3576
30	Blaiku	3399
31	Enderxz3	3020
32	Ailmast	2829
33	obzii	2781
34	Ezekson	2774
35	Leyna3	2751
36	ayamefag	2617
37	DanTheBuilderino	2533
38	Eraxa	2460
39	TheShyPig	2449
40	12Magner05	2444
41	AdmiralSmoke	2319
42	Racengan	2247
43	MovingFish7	2048
44	BumbleBeever	2040
45	PortlyPete69	2023
46	TheSecondLord	1975
47	Groovy_MoonBird	1928
48	Hisiste	1893
49	Swexti	1871
50	Blackberry1310	1740
51	djancak	1732
52	PlasticOtari	1700
53	ColeSnyder	1596
54	Skippeh	1519
55	excelsionprime	1495
56	youhjjhhhjj	1470
57	TooManyDuck	1405
58	ActualPatbaf	1391
59	Jij0	1318
60	TechnoNinja64	1314
61	teslawolf38	1303
62	Covalents	1286
63	rarrq	1205
64	jaimshae	1191
65	SteveCraftBlocks	1188
66	noam464	1183
67	wwwwinnebagoooo	1180
68	pintsizedrogue	1172
69	mawileite	1145
70	pappaberg	1110
71	EMC_	1106
72	weabis	1101
73	Tobinator_007	1096
74	Mr_Byzantine	1095
75	seanitoo	1092
76	_Karmaa	1083
77	T045RTY	1056
78	H72l9w	1052
79	Historical_Sand	1024
80	Winklepicker279	1019
81	QuakerOatsGod	1013
82	MinttyFressh	997
83	Deguns123	925
84	The_slideV3	895
85	Onennon	881
86	Hiryu27	871
87	EveryonesUncle	849
88	Hermanni__	812
89	eiC_	789
90	jcool7	776
91	Werbe	762
92	_i_ERROR_i_	755
93	6king6colt6	745
94	Malorn_Aetherius	709
94	thewindmillman	709
94	AuroraSkies	709
97	Cowison	691
98	Dogcorn69420	676
99	__tomato	666
100	Inbefour	664
101	jacxhadow	661
102	IdeallyGrey	655
103	hanaryheatwave	648
104	Darkgon	636
105	picardred	631
106	Lez_	627
107	Merv__	625
108	himak1	600
109	DepressedCubic	580
110	Sleek_Storm_721	573
111	SamZombie	570
112	Fullut	569
113	Sral7	568
114	Barlycorn	560
115	TheDankPlatypus	550
116	Kyrum2169	524
117	XboxPanda	523
118	CollinMH06	519
119	Kubelz	510
120	Lord_Jord	509
121	Adlair	501
122	4774	497
123	420BreadLizard	492
124	Cortexia	490
125	StinkyDiplomat	488
126	MyNameIsJobo	487
127	Spacewardharpy7	480
128	_Meow_Mix	474
128	MakeHistory157	474
130	Typadopoulos	472
131	Motsaro	467
132	drumine	466
133	SyntheticSurgeon	463
134	radioactv_jelly	460
135	Bumpy419	453
136	Kowcio_	449
137	__Fanda__	447
138	heysushii	428
139	JayToe	425
140	chlorinex	423
141	Donutt	420
142	Incinere	414
143	TheOuterCore	410
144	Ev0luti0nz	409
145	MattieHD	408
146	XxCookiequeenxX	402
147	MightyWertu	401
148	Eczbek	398
149	xxPipperDipperxx	391
150	Megarboh	388
151	GravitySaint	384
152	El_Jalapeno	373
153	CharlieButt	364
154	Soul_Atreus	362
155	EcksD	361
156	Fakiuss	357
157	diggydog67	350
158	TheWildMateo	345
159	Jackster03	340
160	Akoot_	331
161	WET_WET_WET	327
162	Toowny	326
163	Huwulling	319
164	TheMilkerOfCats	317
165	CalebDHawk	313
166	Soplight	311
167	RefluxRatio	309
168	gloryoftherain	302
169	Pickel_Lord	300
170	RyuNeko932000	293
171	ItsAki_	288
172	The_Cruncy	287
173	Ristebraaten	283
173	Rebytre	283
175	MoistMicrowave	268
175	avalan64	268
177	Fast_Turtle	267
178	Juh1s	266
179	nonarso	265
180	Nyxiom_	264
181	Groundler	263
182	SyK7	256
183	Maenara	244
184	q_wq	243
184	Purplehere	243
186	yheece	242
187	Deathkob	241
188	FishyBoy3811	238
189	SpacesickPrism	237
190	dedgt	236
191	SaltineDream	232
191	_Mythic____	232
193	CACTUSLAD	231
194	Chayula	230
195	fr0stss	223
196	Kkanot	222
196	ItsDeltaMC	222
198	I_Am_Mushkin	219
198	cichy096	219
200	Scags	218
200	legal_tax_evader	218
202	Airem_Core	216
203	_Dean_123	215
204	Smaldo	214
205	wezzzi	213
206	gcaisawesome	205
207	xolstoi	204
208	SvenskaHugo	202
209	Russiancat1	199
209	jnp_gaming	199
211	The_Quack_Dealer	194
211	Blu3beast	194
213	AngalexikCZ	193
213	funnyblitz123	193
215	thebaddruid	190
216	Kamflame10	188
217	PigDab	187
217	WyngGoy	187
219	ssleepless	186
219	Shiirazu	186
221	YairZaki	181
222	CattSoup	179
223	CrateOfBoxes	176
224	Saucepeh	175
224	PegLegPete93	175
226	Paleshield	174
226	ShedJr_	174
226	Eczbox	174
226	Zoeyfortnite	174
230	shineh10	170
231	FennYuzuna	169
232	Kakolbus	168
233	nattybears	166
233	SammiWolfGirl	166
235	oreee	165
235	yoyoYoloMonke	165
235	UrbanPlanningEx	165
238	IWorkAtIkea	164
239	Chromary	163
240	monky_irl	162
241	_Bguette_	161
242	JETrotter	160
243	Nicserso	159
244	_Tilariel_	158
245	Prodiginus	154
245	bitsplease	154
247	sarahlynn00	152
248	lordpipe	146
249	DkansK	145
250	redikul	143
250	censorsheep	143
252	Manaateee	142
253	ReyTheLegend	141
254	MineMaster0012	132
255	Dragonlfw	130
255	rotten_mango	130
257	_stets	129
258	Wowful	128
259	Dakar_	127
259	Bloo2406	127
261	Lukeee33	126
262	tortillatitan	125
262	slkiey	125
262	ewpunk	125
265	MrExplorer	124
266	underscore_2	123
267	tobinwilliams	122
267	BronkerBrum	122
267	Seindi	122
270	Alteriity	120
271	monolu	117
272	ElectricDragon81	116
273	Luuk2909	114
274	OfficerAnvil	112
275	brickman241	111
276	hollowww	107
276	Skylord_Luke	107
276	RobotMinion101	107
279	Notta	103
279	Smiguli_	103
281	Comma__	102
281	NomadicRobin_	102
283	MangoSalad316	100
284	ImpavidArcher	99
285	oscminus	98
285	Meepcraft	98
287	ROY4LE	97
287	fffMike	97
287	561cool	97
290	F_Uhre	96
290	claivin	96
292	Houstonion	94
293	KeruNatsema	93
293	Ripzch	93
293	BreadBacon	93
296	Tropiicant	90
297	platinumzero	89
298	Silvo614	88
299	Tyrannosplart	87
299	Matorz	87
