rank	username	minecraft:used/minecraft:crimson_trapdoor
1	beeperbeeper5	3078
2	Di_infiri	1513
3	xxPipperDipperxx	910
4	Yamdalorian	741
5	noam464	659
6	12Magner05	394
7	ShedJr_	359
8	FreakGenius	269
9	Marbz_	248
10	Winklepicker279	237
11	Enderxz3	234
12	Fullut	205
13	Sleepy_Evelyn	198
14	PlasticOtari	191
15	Mahoose	164
15	joethahobo	164
17	Dakar_	163
18	Legendosh	134
19	Steelynan	132
20	luseis	121
21	WET_WET_WET	103
22	thewindmillman	95
23	Luigipunch989	87
24	PigDab	85
25	shadowthemonkey	80
26	pintsizedrogue	76
27	taengoos	75
28	TheSecondLord	72
29	RebelAndroid	69
30	Lord_Jord	66
31	RebytreGT	63
32	Optiprimus	61
32	Kowcio_	61
34	Jackattack53	57
35	Manaateee	53
36	pixelviolin	49
37	Hyp3rion_	45
38	kekhon	41
39	SvenskaHugo	40
39	SpacesickPrism	40
41	Werbe	39
42	Mr_Byzantine	38
43	EveryonesUncle	35
44	k_ce	33
45	jnp_gaming	32
46	livingdaydreams	30
46	rarrq	30
46	Spacewardharpy7	30
49	brofrickcheaters	27
50	lorpus	23
51	fluddd	21
52	eitanzaki	20
53	emreknugrlu	19
53	mihimihimihi	19
53	YungMaki	19
53	ConnorDanky_	19
57	Awyrlas	17
58	Alteriity	16
58	Chromary	16
58	AstreaTSS	16
61	Lez_	14
61	skroobiez	14
63	weabis	13
63	mobunni	13
65	JitteryJared2	12
65	skitzxo	12
67	Merv__	11
68	soundad	10
69	Ze_BaronKrigler	9
70	diamondgolem35	8
70	hm947	8
70	500am	8
70	LexMakesHistory	8
70	Eon_57	8
75	chipklip	7
75	Snowflowe	7
75	NomadicRobin_	7
78	SteveCraftBlocks	6
78	zToasty69z	6
78	Pumpkin_P_Patch	6
81	_Virify_	5
81	_Mythic____	5
81	djancak	5
84	Frozil20	4
84	Hpdinosaur	4
84	Blaiku	4
87	Elastiq	3
87	Blasterboy54	3
87	BiggieDawg	3
90	Napoleonpancake	2
90	Huwulling	2
90	oscminus	2
90	TheKingK_	2
90	MissCeleste7	2
95	PazinGaming	1
95	Gundam_Steven	1
95	Blackberry1310	1
95	r123moore	1
95	SingedBread	1
95	EcksD	1
