rank	username	minecraft:used/minecraft:red_banner
1	Lez_	341
2	EveryonesUncle	334
3	beeperbeeper5	289
4	TheShyPig	258
5	Merv__	236
6	Soplight	162
7	Mahoose	153
8	ImpavidArcher	143
9	Lord_Jord	133
9	Steelynan	133
11	Kowcio_	118
12	kekhon	93
12	Legendosh	93
14	Mattesco	80
15	Gundam_Steven	72
16	TheSecondLord	62
17	luseis	61
18	PlasticOtari	57
19	IamCL4SSY	49
20	rarrq	45
21	Fuad_R	44
22	Frozil20	43
22	Blackberry1310	43
24	SteveCraftBlocks	41
24	500am	41
26	Skylord_Luke	37
27	2Stout	36
28	xxPipperDipperxx	34
29	ShedJr_	33
30	TechnoNinja64	31
31	MattieHD	30
32	YungMaki	27
32	Sral7	27
34	Huwulling	25
35	DinoDoctor_	24
35	Hpdinosaur	24
35	xzvu	24
35	h2p_emrld	24
39	Enderxz3	20
40	Eraxa	19
41	Inchef	18
41	NameGenerat0r	18
43	eitanzaki	17
44	thgrocks	16
45	pintsizedrogue	15
45	k_ce	15
45	PhantomsGhost_	15
45	corpsecity	15
45	epiksk8erduck	15
50	Ryan_GEMS	14
50	joethahobo	14
50	ApophisNova	14
50	_3Stump_	14
50	Hermanni__	14
50	MyNamaSheff	14
56	MAns_44	13
56	FreakGenius	13
56	SexcMf	13
59	SaucyDark	12
59	SuperPooch06	12
59	LeonelSalamanca	12
59	ConnorDanky_	12
63	Mr_Byzantine	11
63	_stets	11
63	AnnieBathory	11
63	SirPiccardo	11
63	xolstoi	11
63	AdmiralSmoke	11
69	ABUSNA1996	10
69	Fullut	10
69	PegLegPete93	10
69	pappaberg	10
69	Dakar_	10
69	Jimb0nat0r	10
75	_Virify_	9
75	Euclidoris	9
75	Crowman1	9
78	Creativebuilder2	8
78	_Dean_123	8
78	hanaryheatwave	8
78	DAD_1996	8
78	Onennon	8
78	Akoot_	8
78	jnp_gaming	8
85	Jovaphobic	7
85	Snowflowe	7
85	F_Uhre	7
85	Segotep999	7
85	WYFYoyo	7
90	nattybears	6
90	CoffeeNoir	6
90	Smashic	6
90	lorpus	6
90	orxngejuice	6
90	LeauVox4921	6
90	Doom_melon	6
90	CarryLine	6
90	_Bguette_	6
90	fluddd	6
90	CheifJumbo	6
101	shineh10	5
101	KarlKaek	5
101	hm947	5
101	youhjjhhhjj	5
101	jessewegottacook	5
101	Jakobo1337	5
101	burbankbuilder28	5
101	Werbe	5
101	Mr_Sun15	5
101	Manaateee	5
101	HellsSponge	5
101	Shogunite	5
101	Kyrum2169	5
101	MilleGrug	5
115	m_be9	4
115	Kakolbus	4
115	fkGrim	4
115	Blaiku	4
115	pixelviolin	4
115	pablopickle	4
115	UCP_TheKingK	4
115	SammiWolfGirl	4
115	FelixPSY375	4
124	Cowison	3
124	thescout7	3
124	noam464	3
124	drompje	3
124	Bumpy419	3
124	oscminus	3
124	NomadicRobin_	3
124	claivin	3
124	Groundler	3
124	lordpipe	3
124	__tomato	3
135	MixerDixer	2
135	Jo_Jo_Bear	2
135	Sleek_Storm_721	2
135	Da_Boss_Rani	2
135	Prodiginus	2
135	titanlax	2
135	shdesolt	2
135	excelsionprime	2
135	mwrty	2
135	Karetoko	2
135	BigMoneyH	2
135	Winklepicker279	2
135	Norrhede	2
135	Rumpletaezer	2
135	andy_rex	2
135	Kondzik2008	2
135	Krowuss	2
135	Hoid_the_Roamer	2
135	JETrotter	2
135	MustardDrinker	2
135	Wowful	2
135	duqboy	2
135	lillips	2
135	DarlaMeow	2
135	Xclax101	2
135	iSammael	2
135	MineMaster0012	2
135	LeeMcGee30	2
135	alderban107	2
135	EcksD	2
165	CLG_Kata	1
165	Flegneh	1
165	SmashingPump	1
165	ECstardust	1
165	q_wq	1
165	I_Am_Mushkin	1
165	_Razaria	1
165	MoistMicrowave	1
165	bloodbiter	1
165	noodlepack	1
165	Pelbo	1
165	AJbeast01	1
165	groggregg42	1
165	ROY4LE	1
165	Jackattack53	1
165	Misty_Breeze	1
165	0Vyp_	1
165	TheTrueClipse	1
165	Veillax135	1
165	Nycteus_	1
165	noahlemonman	1
165	moolerbooler	1
165	ZoomieZoomie	1
165	skrongus	1
