rank	username	minecraft:used/minecraft:red_nether_brick_stairs
1	k_ce	6808
2	Legendosh	1341
3	kekhon	1178
4	FreakGenius	623
5	himak1	510
6	m_be9	357
7	Yamdalorian	223
8	skitzxo	213
9	rarrq	192
10	beeperbeeper5	145
11	ooga47	140
12	TheShyPig	125
13	YungMaki	107
14	thewindmillman	79
15	noam464	73
16	Kowcio_	66
17	ApophisNova	65
17	MyNamaSheff	65
19	_Dean_123	50
20	Merv__	49
21	The_slideV3	46
22	Sral7	44
23	Blu3beast	42
23	Soplight	42
25	Lez_	38
26	hanaryheatwave	34
27	h2p_emrld	33
28	Eraxa	22
29	Vorlice	20
30	Fullut	19
31	Bandito_Roamer	18
31	Marbz_	18
31	jnp_gaming	18
34	Manaateee	15
35	livingdaydreams	13
36	stavgod	12
37	Snowflowe	10
37	master9067	10
39	Shogunite	7
40	Billious	4
40	wwwwinnebagoooo	4
42	pintsizedrogue	3
42	joethahobo	3
44	2Stout	2
44	AnnieBathory	2
44	annebolyn	2
47	heckface	1
47	Di_infiri	1
47	Spacewardharpy7	1
47	SammiWolfGirl	1
