rank	username	minecraft:used/minecraft:ominous_bottle
1	MyMawgDonaldsGon	9
2	oscminus	7
3	CLG_Kata	5
3	Spaghettatron	5
5	Secret_Canary	4
5	thewindmillman	4
7	net_flex	3
8	Buuck_	2
8	TheKingK_	2
10	k_ce	1
10	lpinfinity	1
10	Steelynan	1
10	Eczbek	1
