rank	username	minecraft:used/minecraft:acacia_boat
1	M_Patata	245
2	MasterNueve	243
3	beeperbeeper5	211
4	SteveCraftBlocks	156
5	MineMaster0012	132
6	youhjjhhhjj	105
7	TechnoNinja64	91
8	Merv__	89
9	Mahoose	84
9	CalebDHawk	84
11	AdmiralSmoke	72
12	Blu3beast	70
13	Lord_Zacler	58
14	eitanzaki	56
15	Di_infiri	55
16	ROY4LE	52
17	Frozil20	50
18	himak1	47
19	Blackberry1310	46
19	kekhon	46
21	TheShyPig	41
21	Deathkob	41
23	wwwwinnebagoooo	40
24	underscore_2	39
24	Steelynan	39
26	Apollo_993	38
27	yulgur1	37
27	EcksD	37
29	OPTOMA_KING	35
29	Sral7	35
31	Kamflame10	34
31	h2p_emrld	34
33	_Dean_123	33
34	Powowowow	32
35	xolstoi	31
36	SammiWolfGirl	30
37	Groovy_MoonBird	29
37	joethahobo	29
39	Soplight	27
40	the__Reaper4999	26
41	Raspberry_Sodas	25
41	thescout7	25
41	SuperPooch06	25
41	Ezekson	25
45	rarrq	24
46	PhantomsGhost_	23
46	KarlKaek	23
46	blockgamer_69	23
46	Jackattack53	23
46	jnp_gaming	23
51	Werbe	22
51	Akoot_	22
53	ECstardust	21
53	MyNameIsJobo	21
53	XxCookiequeenxX	21
53	Meatlaugh	21
53	Daedalus342	21
53	UCP_TheKingK	21
53	PncakeUniverse	21
53	Ir0npack	21
61	TheSecondLord	20
61	lillips	20
61	IAmTheWalrus910	20
64	paranoid_plant	19
64	r123moore	19
64	buttsandcats	19
67	pintsizedrogue	18
67	Euclidoris	18
67	mariominejedi	18
67	Eraxa	18
67	starbits140	18
67	PortlyPete69	18
73	legal_tax_evader	17
74	SvenskaHugo	16
74	Spenduh	16
74	Dreamdbr14	16
74	SpaceTurtleOX	16
74	Zoeyfortnite	16
79	ImpavidArcher	15
79	Incinere	15
79	Rorrofighter	15
79	Hyp3rion_	15
79	Mattesco	15
79	FishyBoy3811	15
79	DarlaMeow	15
79	FreakGenius	15
79	lordpipe	15
79	MakeHistory157	15
79	YungMaki	15
90	Franco093	14
90	Wowful	14
90	HellsSponge	14
90	Enderxz3	14
94	6king6colt6	13
94	CranialBlowout	13
94	MustardDrinker	13
94	EveryonesUncle	13
94	censorsheep	13
94	MovingFish7	13
94	PlzNoBM	13
94	ConnorDanky_	13
94	CrazyPotater	13
103	_Razaria	12
103	Rich_Kat	12
103	Leyna3	12
103	ProfessorDiaper	12
103	Kowcio_	12
103	_3Stump_	12
103	Legendosh	12
110	No_u4	11
110	Myszoaz	11
110	BreadCatFan5400	11
110	Pelbo	11
110	WET_WET_WET	11
110	King_Pancake1	11
110	AnnieBathory	11
110	TheSeismicDuck	11
110	iSammael	11
110	Nicserso	11
110	MasterOwen1	11
121	Froste131	10
121	SmashingPump	10
121	Natty	10
121	Chickenchaser2	10
121	Tiberonus	10
121	500am	10
121	gcaisawesome	10
121	Vellu21	10
129	I_Am_Mushkin	9
129	Wooptey	9
129	bmac2718	9
129	rpmm	9
129	Fullut	9
129	noam464	9
129	oscminus	9
129	claivin	9
129	Quaintster	9
129	C0oOK13M0N5T3R	9
129	csendeslol	9
129	Soul_Atreus	9
129	diggydog67	9
142	k_ce	8
142	Hpdinosaur	8
142	Swexti	8
142	Shazzyling	8
142	dopplexd	8
142	Touched_Bread	8
142	Russiancat1	8
142	Deodorante	8
