rank	username	minecraft:used/minecraft:brown_stained_glass
1	Onennon	639
2	Snowflowe	381
3	m_be9	214
4	Historical_Sand	206
5	Skylord_Luke	171
6	Rumpletaezer	124
7	bloodbiter	104
8	Shogunite	90
9	Hyp3rion_	55
9	oxfordschool	55
11	Zythose	37
12	Werbe	36
13	Ezekson	30
14	Mahoose	25
15	beeperbeeper5	22
16	Groundler	19
17	MattieHD	13
18	pintsizedrogue	12
19	kekhon	10
19	Lord_Jord	10
21	joethahobo	9
21	Jiminbub	9
23	Euclidoris	8
23	ROY4LE	8
23	KingMatthew506	8
26	_Virify_	6
26	Quotary	6
28	lcvezra	5
29	AuroraValkyrie	4
30	RodSerlingCringe	3
31	500am	2
31	Dusk_95	2
31	IAmTheWalrus910	2
31	Kowcio_	2
35	eitanzaki	1
35	mwrty	1
35	noam464	1
35	Jackattack53	1
35	lillips	1
35	Spacewardharpy7	1
35	lordpipe	1
35	stahouo	1
35	PortlyPete69	1
