rank	username	minecraft:used/minecraft:stripped_jungle_log
1	Stiar	147
2	PlasticOtari	127
3	PigDab	104
4	joethahobo	51
4	MightyWertu	51
6	Jiminie	42
7	TheShyPig	37
8	kekhon	28
9	Mahoose	26
10	Winklepicker279	24
10	Airem_Core	24
12	SvenskaHugo	19
13	noam464	11
14	eiC_	9
14	MyNameIsJobo	9
14	jnp_gaming	9
17	Factoroni	8
18	Fullut	7
19	Rebytre	6
20	BronkerBrum	5
21	lillips	3
21	Toiton	3
21	Steelynan	3
24	Prodiginus	2
24	Blackberry1310	2
24	Werbe	2
24	fkGrim	2
24	Deathkob	2
24	KingMatthew506	2
30	Cryptacity	1
30	MattieHD	1
30	Di_infiri	1
30	HolyVenom	1
30	Shogunite	1
