rank	username	minecraft:used/minecraft:bamboo_raft
1	Mr_Sun15	66
2	lordpipe	20
3	robonya_	19
4	bl1ss0	14
5	Reneedium	11
6	TheWickedBird	8
7	crashomon	6
8	alanbleachdemon	5
8	FormulaNewt3627	5
10	lorywithay	4
10	Hahaa_0	4
10	HugTed	4
10	Cache3	4
10	Enderxz3	4
15	Napoleonpancake	3
15	myaccountwasgone	3
15	TheBeardForest	3
15	Mattesco	3
15	Buuck_	3
15	StarCookiees_	3
21	pintsizedrogue	2
21	k_ce	2
21	Lez_	2
21	gamerlord1324	2
21	toastfetchd	2
21	pretty_pink_reno	2
21	Synthoum	2
28	powercas_gamer	1
28	Hydro___________	1
28	MattieHD	1
28	Smashic	1
28	_witch_craft_	1
28	Fullbit_	1
28	Roenfire	1
28	U_Mos_	1
28	IMicha_	1
28	TheRealAndrin	1
28	Kowcio_	1
28	Yamdalorian	1
28	00000000-0000-0000-0009-01fe065167f0	1
