rank	username	minecraft:used/minecraft:polished_blackstone_stairs
1	Mattesco	6865
2	TheSecondLord	2258
3	Lord_Jord	1639
4	Manaateee	1400
5	500am	1290
6	EveryonesUncle	1248
7	Jimb0nat0r	1016
8	Lez_	861
9	rarrq	701
10	Creativebuilder2	633
11	Nycteus_	511
12	k_ce	506
13	teslawolf38	479
14	Solar_Power	435
15	Hyp3rion_	434
16	PlasticOtari	422
17	pintsizedrogue	377
18	joethahobo	340
19	FreakGenius	336
20	lillips	281
21	Cowison	269
22	Legendosh	248
23	Optiprimus	246
24	burbankbuilder28	242
25	Lutres_	235
26	r123moore	224
27	TheShyPig	181
28	luseis	175
29	beeperbeeper5	169
30	Rebytre	137
31	set67	135
32	YungMaki	121
33	SmashingPump	116
34	AdmiralSmoke	114
35	Biites	111
36	Mahoose	109
37	FishyBoy3811	99
38	PigDab	95
39	Fullut	86
40	Huwulling	76
41	hanaryheatwave	66
41	Skylord_Luke	66
41	CalebDHawk	66
44	ShedJr_	61
44	bloodbiter	61
46	XboxPanda	59
47	UCP_TheKingK	57
48	T045RTY	56
48	Blackberry1310	56
48	Spacewardharpy7	56
51	diamondgolem35	52
51	SkateboardR6	52
53	NieToksikpl	47
53	noam464	47
55	ImpavidArcher	46
56	anbbang	42
57	4774	41
58	NameGenerat0r	40
59	Jakobo1337	39
60	eitanzaki	38
60	ITDV	38
62	Kowcio_	35
63	xxPipperDipperxx	34
64	Eraxa	32
64	Enderxz3	32
66	Minimize501	31
67	Mr_Byzantine	30
67	ApophisNova	30
67	MyNamaSheff	30
70	lordpipe	27
71	MAns_44	25
72	Deathkob	22
72	weabis	22
74	fffMike	19
75	kekhon	18
75	Jackattack53	18
77	EcksD	17
78	TheTommyGun63	15
79	Gundam_Steven	14
79	Elastiq	14
81	Fuad_R	13
81	Druid95	13
83	BobDeBouwer1337	9
84	livingdaydreams	8
84	jessewegottacook	8
84	Arceus1975	8
84	Winston_Ingram	8
88	_Mythic____	7
89	Paint	6
89	Snowflowe	6
89	bearlystraight	6
92	PazinGaming	5
92	titanlax	5
92	drunkeeez	5
95	ECstardust	4
95	MinttyFressh	4
95	SteveCraftBlocks	4
98	Ryan_GEMS	3
98	Smashic	3
98	Shogunite	3
101	catandmoose	2
101	himak1	2
101	longappendage	2
101	MineMaster0012	2
101	Eczbek	2
101	Kubeusz2010	2
107	Apollo_993	1
107	Frozil20	1
107	_Razaria	1
107	ROY4LE	1
107	fReE_bAtWiNg	1
107	Di_infiri	1
107	Cordicus	1
107	Spenduh	1
107	jnp_gaming	1
