rank	username	minecraft:used/minecraft:quartz_bricks
1	Lord_Jord	8445
2	beeperbeeper5	8397
3	Yamdalorian	6531
4	RebelAndroid	6230
5	Manaateee	2948
6	paranoid_plant	2283
7	Lutres_	2077
8	NomadicRobin_	1902
9	Rocco_Lane	1872
10	shineh10	1569
11	luseis	1363
12	SingedBread	1348
13	himak1	1119
14	Alteriity	1112
15	Frozil20	1085
16	set67	1021
17	FreakGenius	1014
18	Mr_Byzantine	1001
19	fade_emerge78823	960
20	Huwulling	918
21	EngagedGrub41	806
22	blackeemperor	651
23	joethahobo	593
24	Mattesco	580
25	SammiWolfGirl	573
26	Ezekson	483
27	Snowflowe	451
27	Buuck_	451
29	Optiprimus	446
30	Mahoose	415
31	nstuartwilliams1	414
32	Merv__	393
33	k_ce	383
34	ActualPatbaf	351
35	Cowison	336
36	Druid95	333
37	lordpipe	326
38	wwwwinnebagoooo	320
39	FishyBoy3811	304
40	Fuad_R	286
41	xxPipperDipperxx	283
42	TheSandwhich_	274
43	Napoleonpancake	269
44	eitanzaki	265
45	EveryonesUncle	259
46	Legendosh	257
47	Lez_	247
48	Blackberry1310	202
49	PlasticOtari	191
50	Steelynan	175
51	kekhon	170
52	noodlepack	161
53	EcksD	151
54	GooseWithin	137
55	Hyp3rion_	135
56	Jonafrog99	134
57	Winklepicker279	123
58	Kowcio_	118
59	BobDeBouwer1337	113
60	Olib3ar	104
61	Whiterooster001	103
62	Akoot_	101
63	nattybears	97
64	mobunni	95
65	Quotary	93
66	Marbz_	87
67	hanaryheatwave	86
68	MAns_44	73
69	rarrq	71
70	noam464	69
71	Krowuss	61
71	Spacewardharpy7	61
73	Werbe	60
74	alanbleachdemon	58
75	jcool7	52
76	skitzxo	50
77	ImpavidArcher	49
78	MSK__	46
79	HAIRYCLOUD626	43
80	Myszoaz	39
81	Segotep999	37
82	SkateboardR6	36
83	KarlKaek	35
84	TheSecondLord	34
84	mattybeewrapss	34
84	camerade	34
87	pintsizedrogue	32
88	PigDab	29
88	Luigipunch989	29
90	Pumpkin_P_Patch	26
91	Awyrlas	20
92	shadowthemonkey	17
93	LoboTheLobster	15
94	Jackattack53	14
94	YungMaki	14
94	Eczbek	14
97	Chromary	13
97	Arceus1975	13
97	Blaiku	13
97	Enderxz3	13
101	Deu_Stew	12
101	ShedJr_	12
103	Spenduh	11
103	Kubeusz2010	11
105	Historical_Sand	10
105	burbankbuilder28	10
105	hermmm_	10
108	oscminus	9
109	CoffeeNoir	8
109	Archsam	8
109	Smashic	8
109	ApophisNova	8
109	Cruncy_	8
109	fluddd	8
109	MyNamaSheff	8
116	myaccountwasgone	7
116	500am	7
116	Z3braYTIL	7
116	windex0	7
116	U_Mos_	7
116	AlexxO_o	7
116	Luminad3	7
116	Nicky19	7
116	emreknugrlu	7
116	SlinkyPinky	7
126	Hpdinosaur	6
126	Inchef	6
126	Soplight	6
126	obzii	6
126	ConnorDanky_	6
131	ECstardust	5
131	WarHammer3	5
131	bloodbiter	5
131	MattieHD	5
131	lorpus	5
131	CaptainBadKid	5
131	Di_infiri	5
131	RebytreGT	5
131	fw3xy74	5
131	lunkuku	5
131	TheEnderMan548	5
131	MrShojo	5
131	truonggojo777	5
131	HesDemonPants	5
131	annebolyn	5
146	JohnnyFyes	4
146	soundad	4
146	PazinGaming	4
146	skroobiez	4
146	blevster	4
146	hasnpetal	4
146	thescout7	4
146	mimbo1211	4
146	Moofyman	4
146	Wowful	4
146	Syropatathe	4
146	claivin	4
146	pretty_pink_reno	4
146	Gus2005	4
146	Racengan	4
146	Eraxa	4
146	_Mythic____	4
146	pixelviolin	4
146	00000000-0000-0000-0009-01ff0c3e5e4f	4
165	12Magner05	3
165	ROY4LE	3
165	crashomon	3
165	xambsam	3
165	thewindmillman	3
165	tartanboy	3
165	trexgb	3
172	NatalieTW	2
172	Apollo_993	2
172	BPTY4618	2
172	Yatitay	2
172	Ryan_GEMS	2
172	SpaceGrenadier	2
172	_Dean_123	2
172	Mookle96	2
172	SBean737	2
172	Gzrdy	2
172	LAVA129	2
172	pappaberg	2
172	KartivGal	2
172	TJawesome09	2
172	Mr_Gulle_	2
172	ThatMan_Dave	2
172	TheKingK_	2
172	SpacesickPrism	2
172	UltraZombie	2
172	MilleGrug	2
172	Aryamanee	2
172	Nicserso	2
172	Jimb0nat0r	2
195	Flegneh	1
195	SmashingPump	1
195	teslawolf38	1
195	q_wq	1
195	EMC_	1
195	IronArshXS	1
195	Gundam_Steven	1
195	Leyraxos	1
195	T045RTY	1
195	ZaneABrain	1
195	Axel_Foley	1
195	CliffEmAll	1
195	Chickenchaser2	1
195	rpmm	1
195	Lumien_	1
195	4774	1
195	Xalithia	1
195	imcombxt	1
195	Yuvl	1
195	Kakolbus	1
195	0nly_sn1per	1
195	Antek_Kicek	1
195	SlayerCrypto	1
195	Norrhede	1
195	WET_WET_WET	1
195	Boipl	1
195	OreTheBear	1
195	BronkerBrum	1
195	SlothInASuit	1
195	Skylord_Luke	1
195	Tou3bann	1
195	EdGalbraith	1
195	masskedman	1
195	Deathkob	1
195	jake314810	1
195	HellsSponge	1
195	Shogunite	1
195	Jahbouris	1
195	monky_irl	1
195	TheTommyGun63	1
195	mr_crabs761	1
195	Ze_BaronKrigler	1
195	StarCookiees_	1
195	djancak	1
195	brofrickcheaters	1
195	y0shik	1
195	88Hazza88	1
195	jnp_gaming	1
195	PA_Tech_Gaming	1
195	FishisTTV	1
