rank	username	minecraft:used/minecraft:lime_dye
1	Hyp3rion_	70
2	Jackattack53	40
3	Kowcio_	15
4	PlasticOtari	11
5	TheSecondLord	10
6	Mattesco	9
7	_witch_craft_	8
8	fragrantmonke444	7
9	pintsizedrogue	5
9	skroobiez	5
11	12Magner05	4
11	Olib3ar	4
11	sp00ky_ghost977	4
14	Mr_Byzantine	3
14	thewindmillman	3
14	Skylord_Luke	3
14	EveryonesUncle	3
14	pixelviolin	3
19	Manaateee	2
20	Merv__	1
20	crashomon	1
20	Hoid_the_Roamer	1
20	SingedBread	1
20	lordpipe	1
20	_Mythic____	1
20	Pumpkin_P_Patch	1
20	robonya_	1
20	TheWickedBird	1
