rank	username	minecraft:used/minecraft:terracotta
1	Frozil20	8751
2	mariominejedi	7033
3	MirielThePastor	4552
4	Deerfoot	4141
5	Sral7	3814
6	PlasticOtari	3620
7	RatatJuice	3452
8	TheSecondLord	3402
9	joethahobo	2956
10	Hermanni__	2483
11	Nycteus_	2426
12	Onennon	2374
13	ROY4LE	1591
14	TheShyPig	1547
15	MilleGrug	1397
16	EveryonesUncle	1264
17	Mahoose	1076
18	Steelynan	913
19	diggydog67	875
20	FreakGenius	844
21	ConnorDanky_	834
22	Legendosh	806
23	Smoke____	781
24	Skylord_Luke	780
25	gabriels543	752
26	_8man	713
27	ImpavidArcher	678
28	thgrocks	668
29	Lord_Jord	641
30	KingMatthew506	592
31	Rebytre	580
32	_Karmaa	553
33	Spacewardharpy7	548
34	Parcc	513
35	Enderxz3	492
36	Alteriity	486
37	Merv__	476
38	wirelesstree	436
39	Awyrlas	428
40	ooga47	407
41	Blackberry1310	376
42	pintsizedrogue	372
43	natajimi	360
44	the_russell1611	353
45	RohnJosin	350
46	Hiryu27	348
47	beeperbeeper5	320
48	trexgb	312
49	wobn	299
50	Mattesco	296
51	EMC_	275
51	dedgt	275
53	MovingFish7	267
54	Cyntrical	266
55	lcvezra	230
56	Hyp3rion_	229
57	NomadicRobin_	214
58	PortlyPete69	211
59	RobotMinion101	209
60	The_SlideV5	208
61	BobDeBouwer1337	205
62	Rumpletaezer	192
63	lordpipe	188
64	Wooptey	177
64	CarltheCuck	177
66	Jackattack53	176
67	chipklip	173
68	Eraza	172
69	AgressiveEggdog	171
70	TooManyDuck	166
71	PhantomsGhost_	163
72	_Bguette_	160
73	XxCookiequeenxX	159
74	RebelAndroid	157
75	Quincannon	154
76	lillips	150
77	TheEnderMan548	137
78	Ezekson	134
79	NameGenerat0r	133
80	Werbe	121
81	Kim_Jong_eel	116
81	Blu3beast	116
83	titanlax	114
84	ApophisNova	103
84	Inbefour	103
84	Kowcio_	103
84	MyNamaSheff	103
84	xolstoi	103
89	thescout7	101
90	Optiprimus	99
91	YungMaki	94
92	The_slideV3	90
93	Mr_Byzantine	89
93	bloodbiter	89
95	Fullut	86
95	Kakolbus	86
97	kekhon	84
98	TechnoNinja64	81
99	Blaiku	80
100	ShedJr_	78
100	Soplight	78
102	fade_emerge78823	75
102	theonlymagikarp	75
104	Vellu21	73
105	Vizzoid	70
106	CoffeeNoir	69
107	Snowflowe	67
107	NNikitas	67
107	Nicserso	67
110	Di_infiri	65
111	tuckerdoodle	63
112	StylesK	62
112	thewindmillman	62
114	DepressedCubic	61
115	Hyugo	60
116	Hpdinosaur	54
116	SexcMf	54
118	DarlaMeow	51
118	SpaceTurtleOX	51
120	yulgur1	50
121	Myszoaz	49
121	epiksk8erduck	49
123	ProfessorBee	48
124	Xalithia	47
125	SDMNAEK	45
125	500am	45
127	Iagoku	43
128	rarrq	42
129	groofles	40
130	MonitorLizards	38
130	audiocracked	38
130	Ze_BaronKrigler	38
130	Sheldor097	38
134	Dogbound	36
135	GoofySilly	35
135	yatsuta	35
137	MyNameIsJobo	30
138	xXTheWolfmanXx	29
138	Nyxiom_	29
140	QuiCreans	27
140	JESS_THE_RERE	27
142	ProbablyNick	25
143	SteveCraftBlocks	23
143	drompje	23
145	bmac2718	22
145	jcool7	22
147	WarMachina	20
148	mwrty	19
148	claivin	19
150	Notta	18
151	ColeSnyder	16
152	SaintJosie	15
152	Tyrannosplart	15
154	imthatpikachu	14
154	fxiryglitch	14
156	Akoot_	13
157	Jovaphobic	12
157	Groovy_MoonBird	12
157	Comma__	12
157	noam464	12
161	ougstur	11
161	Eraxa	11
161	Njensen7	11
164	_Huge_Male_	10
164	iHuBlack	10
164	SwooshBoi	10
167	Valoth	9
167	Jakobo1337	9
167	MattieHD	9
167	Arceus1975	9
167	Dusk_95	9
172	_Virify_	7
172	ratglock	7
172	Kamflame10	7
172	J4ko8_	7
172	Weepingbiel	7
177	dabloons	6
177	wrinkledpiglet	6
177	00000000-0000-0000-0009-01ff0c3e5e4f	6
180	SmashingPump	5
180	homeofmew	5
180	LeDuctTape	5
180	eitanzaki	5
180	Reamdin	5
180	himak1	5
180	Hoid_the_Roamer	5
180	AlexxO_o	5
180	Karbl	5
180	Shogunite	5
180	ItsDeltaMC	5
191	Thaumatarge	4
191	teslawolf38	4
191	KarlKaek	4
191	Historical_Sand	4
191	MrExplorer	4
191	Arsinic7	4
191	F_Uhre	4
191	Deathkob	4
191	MustaLoordi	4
191	cog	4
