rank	username	minecraft:used/minecraft:stripped_mangrove_wood
1	Manaateee	239
2	Jimb0nat0r	41
3	xxPipperDipperxx	34
4	luseis	15
5	Merv__	13
6	Steelynan	8
7	Mr_Byzantine	4
8	PazinGaming	1
8	shadowthemonkey	1
