rank	username	minecraft:used/minecraft:orange_banner
1	beeperbeeper5	434
2	Lez_	176
3	LuvLuvLove	163
4	Mattesco	118
5	FreakGenius	106
6	Mr_Byzantine	71
7	Skylord_Luke	69
8	Werbe	50
9	luseis	45
10	EveryonesUncle	39
11	KamFurnace	35
12	Mahoose	34
13	RebelAndroid	32
14	Shogunite	31
15	MixerDixer	29
16	_Dean_123	27
17	Yamdalorian	25
18	ShedJr_	24
19	r123moore	23
19	Onennon	23
21	cuddlyMonster	21
22	StarCookiees_	20
23	QuiCreans	19
24	pixelviolin	17
24	Pumpkin_P_Patch	17
26	rarrq	16
26	Kowcio_	16
26	Nicserso	16
29	craaaash	15
29	Legendosh	15
31	12Magner05	14
32	Cowison	11
32	eitanzaki	11
32	Hoid_the_Roamer	11
32	KliBeast21	11
32	VentiHilton	11
37	Merv__	10
37	_witch_craft_	10
37	bl1ss0	10
37	audiocracked	10
37	AspenLightVT	10
37	jnp_gaming	10
43	Blackberry1310	9
44	pintsizedrogue	8
44	00000000-0000-0000-0009-01ff0c3e5e4f	8
46	Akoot_	7
46	HellsSponge	7
46	blackeemperor	7
49	EatUrPancreas	6
49	kekhon	6
49	luvphan	6
49	Myntsys	6
53	funeralhome	5
53	zcrk	5
53	lordpipe	5
53	MakeHistory157	5
57	500am	4
57	Snowflowe	4
57	TheShyPig	4
60	theonlymagikarp	3
60	Chromary	3
60	ApophisNova	3
60	Ender_Souls	3
60	Deerfoot	3
60	Eraxa	3
60	miramyu	3
60	Luigipunch989	3
60	ConnorDanky_	3
60	MyNamaSheff	3
70	tuckerdoodle	2
70	TheSecondLord	2
70	noam464	2
70	milltesco	2
70	burbankbuilder28	2
70	Ghemmah	2
70	wezzzi	2
70	NomadicRobin_	2
70	avalan64	2
70	Xclax101	2
70	Blaiku	2
70	Groundler	2
70	kyouma777	2
70	Soplight	2
70	Enderxz3	2
70	TechnoNinja64	2
70	JayToe	2
87	teslawolf38	1
87	WarHammer3	1
87	Kirrow	1
87	joethahobo	1
87	FlackoJonah	1
87	bloodbiter	1
87	m_be9	1
87	SteveCraftBlocks	1
87	Uzbeki_John	1
87	oscminus	1
87	Buuck_	1
87	Spacewardharpy7	1
87	IdeallyGrey	1
87	stellarjay	1
87	Eczbek	1
87	h2p_emrld	1
