rank	username	minecraft:used/minecraft:magma_block
1	thewindmillman	13160
2	MilleGrug	11117
3	HellsSponge	10738
4	Smoke____	9911
5	FirsTimeGamingTV	9333
6	Spacewardharpy7	8796
7	noam464	8581
8	Freak_Genius	7000
9	Lord_Jord	6910
10	Werbe	6310
11	_Virify_	5587
12	MightyWertu	5184
13	Hisiste	4763
14	Frozil12	4707
15	2blox	4013
16	LexMakesHistory	3669
17	beeperbeeper5	3497
18	Weepingbiel	3360
19	Kakolbus	3330
20	diggydog67	3184
21	WyngGoy	3067
22	EMC_	2741
23	AuroraValkyrie	2578
24	DanTheBuilderino	2241
25	Snowflowe	2189
26	Da_Boss_Rani	1981
27	Wowful	1771
28	Ezekson	1598
29	Nycteus_	1175
30	lordpipe	1171
31	vandmanden	1124
32	TheSecondLord	1108
33	YungMaki	872
34	eitanzaki	778
35	H72l9w	717
36	ExtraDumb	676
37	Covalents	618
38	MyNameIsJobo	565
39	Mewar	556
40	Di_infiri	550
41	Soplight	546
42	IvarEXE	540
43	Maenara	520
44	TheShyPig	519
45	Hyp3rion_	499
46	thescout7	478
47	Onennon	456
48	JESS_THE_RERE	441
49	mariominejedi	381
50	h2p_emrld	365
51	m_be9	346
52	joethahobo	339
53	Mahoose	320
54	BobDeBouwer1337	310
55	500am	278
56	XeroByMyth	271
57	Historical_Sand	265
58	12Magner05	262
59	ooga47	244
60	ProfessorBee	233
61	MustaLoordi	226
62	Hiryu27	204
63	jewbacaman	203
64	ROY4LE	201
65	SSytex_X	198
66	DTwenty	191
67	PigDab	184
68	MattieHD	182
69	Fullut	179
70	ImpavidArcher	178
71	TheDankPlatypus	174
72	Cryptacity	171
73	fred870d	154
74	Blackberry1310	151
75	Bandito_Roamer	150
76	ayamefag	149
77	EcksD	135
78	cedric72	133
79	monky_irl	132
80	djancak	126
81	Rasmanden	120
82	fr0stss	116
83	Racengan	113
84	tuckerdoodle	110
84	The_slideV3	110
86	Scathra	99
87	Barlycorn	92
88	livingdaydreams	88
89	Bloo2406	83
89	Nargotah	83
91	Cowison	81
91	Njensen7	81
93	MSK__	80
94	bloodbiter	79
95	theofiel	77
96	xxPipperDipperxx	75
97	Seyaboy	73
98	Winklepicker279	71
99	SkateboardR6	70
100	Sky_light_KING	68
100	Hermanni__	68
100	Northernrabbit	68
103	Ssor69	65
103	PlzNoBM	65
105	Jovaphobic	62
105	SuperPooch06	62
107	NomadicRobin_	60
107	adiccting01	60
109	gcaisawesome	58
110	pintsizedrogue	57
111	SyK7	56
112	kekhon	55
113	NotMeowMix	54
114	Steelynan	53
115	awesomeoneme	52
115	Xclax101	52
117	Ryker	51
118	_NieToksikpl_	49
118	Blu3beast	49
118	__tomato	49
121	Firecracker320	48
122	CoffeeNoir	46
123	RoskobiOne	45
123	dendydoom	45
125	lizardfightclub	43
125	Optiprimus	43
127	ToastedGamingYT	42
128	RocketRidge	41
129	SammiWolfGirl	38
130	Sheldor097	37
131	RyuNeko932000	36
131	Pickel_Lord	36
131	Nicserso	36
134	Akoot_	35
134	rotten_mango	35
136	MakeHistory157	34
137	EveryonesUncle	33
138	ApophisNova	32
138	Truckoss	32
138	wezzzi	32
138	MyNamaSheff	32
142	El_Jalapeno	31
142	GravitySaint	31
142	Enderslayerxz3	31
142	MelodyGaysharks	31
146	zmpeg	30
147	Chromary	29
147	Rumpletaezer	29
149	Freeman666	27
149	Jackattack53	27
149	DAD_1996	27
152	Groovy_MoonBird	26
152	Dabatha	26
152	Miko_Fullbuster	26
155	ShedJr_	25
156	Tmb1	24
156	censorsheep	24
156	Ze_BaronKrigler	24
156	obzii	24
160	wylify	23
160	Inbefour	23
160	MAns_44	23
163	Enigma0251	22
163	_Karmaa	22
163	Shogunite	22
163	UltraZombie	22
167	Rebytre	21
167	TJawesome09	21
167	TheTrueClipse	21
167	jcool7	21
171	T045RTY	20
171	Candad_	20
171	LilcoinXX	20
174	nataliecool	19
174	Arceus1975	19
174	Meatlaugh	19
174	Skippeh	19
178	Reamdin	18
179	Comma__	17
179	CollinMH06	17
179	The_Fulgurator	17
179	Soap_Bender	17
179	Blaiku	17
179	oxfordschool	17
185	Awyrlas	16
185	aec9	16
185	brofrickcheaters	16
185	Dogcorn69420	16
185	CalebDHawk	16
185	EcksDofficial	16
191	XboxPanda	15
191	Marbz_	15
191	burbankbuilder28	15
191	_Boipl_	15
191	ItsAki_	15
191	madderfall	15
191	Lutres_Torane	15
191	Warlord324	15
