rank	username	minecraft:used/minecraft:spruce_sign
1	Skippeh	2216
2	HellsSponge	1398
3	Frozil12	1235
4	12Magner05	1164
5	Mahoose	867
6	beeperbeeper5	857
7	Di_infiri	812
8	ROY4LE	769
9	obzii	746
10	500am	683
11	pappaberg	629
12	Eraxa	442
13	TheSecondLord	412
14	eitanzaki	360
15	kekhon	354
16	EcksDofficial	346
17	Soplight	306
18	joethahobo	303
19	Blackberry1310	268
19	thescout7	268
21	Chromary	263
22	TechnoNinja64	261
23	Dedalus36	240
24	Arceus1975	221
25	Fullut	219
26	Blu3beast	206
27	Enderslayerxz3	200
28	EveryonesUncle	188
29	YungMaki	185
30	anbbang	180
31	Ezekson	172
32	ApophisNova	170
32	MyNamaSheff	170
34	Skylord_Luke	164
35	Jackattack53	163
36	selectrix	157
37	Onennon	149
38	set67	148
39	Cryptacity	140
39	OtariCharlie	140
41	ImpavidArcher	138
42	oxfordschool	126
43	m_be9	124
44	Smoke____	119
45	sebastiensaborio	110
46	pixelviolin	108
47	Hyp3rion_	106
48	Legendosh	105
49	SDMNAEK	103
50	fr_ser	99
50	lcvezra	99
52	chipklip	97
53	rarrq	95
54	Dusk_95	91
55	q_wq	90
56	Inchef	84
57	Lord_Jord	82
58	TheShyPig	81
59	Kakolbus	79
60	Shogunite	78
61	6king6colt6	77
61	PigDab	77
63	kinas45y5	76
64	Teebone15	74
65	Deathkob	73
66	Freak_Genius	72
67	KarlKaek	70
67	RodSerlingCringe	70
69	Warlord324	69
70	claivin	68
70	ayamefag	68
72	Jackster03	66
72	lordpipe	66
74	Xalithia	65
74	_Boipl_	65
76	_Bguette_	64
77	gabriels543	63
78	Guillemet	62
78	NotMeowMix	62
78	CalebDHawk	62
81	Merv__	61
81	_Dean_123	61
83	pintsizedrogue	60
83	Swexti	60
83	SammiWolfGirl	60
86	Snowflowe	59
86	Meatlaugh	59
86	_Karmaa	59
89	Groundler	57
90	H72l9w	56
91	MyNameIsJobo	55
92	drumine	54
93	Tolhart	53
94	ewpunk	52
95	Akoot_	51
95	MovingFish7	51
97	Groovy_MoonBird	50
97	soundad	50
97	awesomeoneme	50
97	Rumpletaezer	50
97	Xclax101	50
97	fluddd	50
97	stahouo	50
104	Malorn_Aetherius	49
104	Comma__	49
104	SuperPooch06	49
104	MyNameIsDakar	49
104	Ze_BaronKrigler	49
109	RobotMinion101	47
109	Negriuke	47
111	mwrty	46
112	seramalen	45
112	NomadicRobin_	45
114	OG_Songsee	43
115	Ssor69	41
115	xxPipperDipperxx	41
115	SlayerCrypto	41
115	Kowcio_	41
119	BlancoFlaco	39
119	Powowowow	39
121	noam464	38
121	The_slideV3	38
123	Natty	37
123	DarlaMeow	37
125	Dragonlfw	36
125	RedcatVII	36
125	Slapface522	36
125	jcool7	36
125	_3Stump_	36
130	FlashMigma	34
130	Racengan	34
132	Myszoaz	33
132	Covalents	33
132	M_Patata	33
132	CruncyIsTaken	33
132	IAmTheWalrus910	33
132	LetsDoItLive	33
132	PortlyPete69	33
139	_stets	32
139	YungJakobo	32
139	ProfessorBee	32
142	CoffeeNoir	31
142	MasterNueve	31
142	__tomato	31
142	Hermanni__	31
146	buss081	30
146	HyperCave	30
146	Sky_light_KING	30
146	ediballbearings	30
146	Nicserso	30
151	Quotary	29
152	The_Quack_Dealer	28
152	brofrickcheaters	28
154	Natofthese	27
154	IWorkAtIkea	27
154	Werbe	27
154	AssEatrAndLicker	27
154	MineMaster0012	27
159	hdtpm	25
159	KingMatthew506	25
161	jspwn	24
161	Yatitay	24
161	Tommhh	24
161	chimpmunker	24
161	bloodbiter	24
161	JESS_THE_RERE	24
161	BreadBacon	24
168	fallingemma	23
168	SingedBread	23
168	Soul_Atreus	23
168	MeetTheWollo	23
172	Crowvens	22
172	UncleDanDan	22
172	Zythose	22
172	Vetral1	22
172	Spenduh	22
172	_TCARREIRA_	22
172	Miko_Fullbuster	22
172	WYFYoyo	22
180	squigglybones	21
180	_naturell	21
180	jambvds	21
180	CheifJumbo	21
180	SvenskaHugo	21
180	BlankityMcBlank	21
180	Poppy235	21
187	SaucyDark	20
187	Lukeee33	20
187	fr0stss	20
187	shdesolt	20
187	AlexStrange	20
187	AssFullaCum	20
187	alderban107	20
187	scarletwarrior1	20
187	HesDemonPants	20
187	Zoeyfortnite	20
197	Sleek_Storm_721	19
197	DirtyDalle	19
197	gcaisawesome	19
197	Winklepicker279	19
197	kars0n	19
197	thgrocks	19
197	Jiminie	19
197	Quincannon	19
197	YoshikageBites	19
206	hm947	18
206	TooManyDuck	18
206	slkiey	18
206	LotusProject	18
206	xo_Marren_xo	18
206	rotten_mango	18
206	robotemo	18
206	VentiHilton	18
214	Paint	17
214	Incinere	17
214	surfinggiraffejp	17
214	thewindmillman	17
214	KevinLikesPie	17
214	TheRoboSock	17
214	Kiki_Majiki	17
221	Harotio	16
221	Cambo5000	16
221	CollinMH06	16
221	TheSeismicDuck	16
221	Winston_Ingram	16
221	jnp_gaming	16
227	roxycherry	15
227	r123moore	15
227	FishyBoy3811	15
227	NameGenerat0r	15
227	Sheldor097	15
232	diamondgolem35	14
232	ShedJr_	14
232	Septemb3r	14
232	RocketRidge	14
232	Fizznut909	14
232	2blox	14
238	titanlax	13
238	SteveCraftBlocks	13
238	Paintz	13
238	GravitySaint	13
238	cytotoxaint	13
238	Omar_Alone	13
238	Njensen7	13
245	CyrusIsTired	12
245	G1ldor	12
245	SpicyMeatballs	12
245	Windo_licker	12
245	vampgey	12
245	420BreadLizard	12
245	natajimi	12
245	Deodorante	12
245	LexMakesHistory	12
245	Bloo2406	12
245	Jordan_R	12
256	Jovaphobic	11
256	PhantomsGhost_	11
256	2Stout	11
256	loveseeker	11
256	Armattillo	11
256	MangoTheFish	11
256	Rocco_Lane	11
256	wrinkledpiglet	11
256	MangoSalad316	11
256	lolpoottoot	11
256	Spacewardharpy7	11
256	MakeHistory157	11
256	Optiprimus	11
256	IdeallyGrey	11
256	yatsuta	11
256	Lowjinx	11
272	Drlzyy	10
272	Wooptey	10
272	Historical_Sand	10
272	jushykins	10
272	redikul	10
272	whoaluv	10
272	andy_rex	10
272	The11thDoctor	10
272	KartivGal	10
272	Maenara	10
272	ogoa	10
272	Inbefour	10
272	Deerfoot	10
272	Blaiku	10
272	Matorz	10
272	Strangemonkey71	10
288	Hpdinosaur	9
288	ChampPog_	9
288	SirMinza	9
288	MattieHD	9
288	UncreativeArtist	9
288	TakeThis2UrGrave	9
288	Bumpy419	9
288	ooga47	9
288	Shiirazuku	9
288	Lord_Zacler	9
288	Jiminbub	9
288	BigCronkin	9
288	CSG_Haru	9
