rank	username	minecraft:used/minecraft:sculk_vein
1	thewindmillman	1455
2	Smoke____	215
3	Luminad3	147
4	Wowful	106
5	Mahoose	84
6	RoofTyler	52
7	joethahobo	50
8	pintsizedrogue	35
9	beeperbeeper5	30
9	Jackattack53	30
11	12Magner05	29
12	_Boipl_	20
13	hanaryheatwave	14
14	DinoDoctor_	13
15	RealGroot	10
16	eitanzaki	8
17	MineMaster0012	7
18	luseis	4
18	00000000-0000-0000-0009-01ff0c3e5e4f	4
20	binman420	3
21	FazeObama69	2
21	noam464	2
21	Soplight	2
24	ImpavidArcher	1
24	Kakolbus	1
24	shadowthemonkey	1
24	Snowflowe	1
24	EcksD	1
24	Enderxz3	1
