rank	username	minecraft:used/minecraft:red_candle
1	Kakolbus	280
2	k_ce	178
3	Luminad3	158
4	xxPipperDipperxx	92
5	AdmiralSmoke	58
6	excelsionprime	53
7	Lez_	36
7	YungMaki	36
9	Snowflowe	28
9	Legendosh	28
11	Mahoose	26
12	Jimb0nat0r	19
13	pintsizedrogue	16
13	beeperbeeper5	16
15	kekhon	13
16	MineMaster0012	12
16	Soplight	12
18	PosPsycher	8
19	Merv__	7
19	Marbz_	7
21	500am	6
21	PlasticOtari	6
23	Enderxz3	5
24	Myntsys	4
25	_Huge_Male_	2
25	thewindmillman	2
25	Racengan	2
28	Crowman1	1
28	thatbeanyboi	1
28	PaperCanvas	1
28	Spacewardharpy7	1
28	Eraxa	1
28	pixelviolin	1
