rank	username	minecraft:used/minecraft:lime_terracotta
1	joethahobo	9889
2	Kakolbus	3123
3	Kowcio_	3091
4	doublemaki	1890
5	thewindmillman	1869
6	pintsizedrogue	1607
7	Skylord_Luke	1595
8	rarrq	1254
9	SuperPooch06	1187
10	Merv__	964
11	EveryonesUncle	845
12	Inbefour	816
13	Eraxa	758
14	Manaateee	629
15	Steelynan	573
16	Rumpletaezer	524
17	Frozil20	505
18	Huwulling	486
19	Werbe	482
20	Yamdalorian	442
21	_Huge_Male_	419
22	ConnorDanky_	404
23	lordpipe	382
24	Jimb0nat0r	361
25	Buuck_	347
26	Hoid_the_Roamer	317
27	Alteriity	316
28	epiksk8erduck	229
29	GravitySaint	221
30	Mr_Byzantine	186
31	milltesco	176
32	CattSoup	143
33	shineh10	137
34	Mahoose	136
34	noam464	136
36	kekhon	128
37	SteveCraftBlocks	122
38	AlexxO_o	120
39	ZoomieZoomie	108
40	Soplight	104
41	mwrty	103
42	luseis	93
43	Myszoaz	92
44	pixelviolin	91
45	SvenskaHugo	87
46	LuvLuvLove	85
47	_Karmaa	84
48	EcksD	74
49	TheEnderMan548	66
50	Paint	65
51	bloodbiter	63
52	beeperbeeper5	58
53	lorpus	53
54	cog	48
55	The_slideV3	46
56	Akoot_	45
57	Legendosh	43
58	bl1ss0	34
59	Wooptey	31
60	Cruncy_	29
61	ImpavidArcher	28
62	theonlymagikarp	24
63	MustardSquid	22
63	Enderxz3	22
65	Di_infiri	16
66	TruestTurnip	14
67	Blu3beast	13
68	Mattesco	12
69	Arceus1975	9
70	PlasticOtari	8
71	Hyp3rion_	7
72	MattieHD	5
73	Lez_	4
73	Jonafrog99	4
73	The_SlideV5	4
76	Hyugo	3
76	eitanzaki	3
78	Inchef	2
78	gcaisawesome	2
78	craaaash	2
78	Krowuss	2
78	ApophisNova	2
78	The11thDoctor	2
78	Gryglu583	2
78	NameGenerat0r	2
78	FreakGenius	2
78	ItsDeltaMC	2
78	MyNamaSheff	2
78	TechnoNinja64	2
78	h2p_emrld	2
91	Napoleonpancake	1
91	TheSecondLord	1
91	Smashic	1
91	CarltheCuck	1
91	Onennon	1
91	TheShyPig	1
91	Spacewardharpy7	1
91	MakeHistory157	1
91	SammiWolfGirl	1
91	Quotary	1
