rank	username	minecraft:used/minecraft:brown_stained_glass_pane
1	lcvezra	758
2	BreadBacon	625
3	diamondgolem35	541
4	MattieHD	460
5	Shogunite	134
6	oreee	106
7	Snowflowe	75
8	jnp_gaming	66
9	6king6colt6	62
10	_Virify_	57
11	Lez_	49
12	EMC_	48
13	pintsizedrogue	44
14	oxfordschool	38
15	Rumpletaezer	36
16	m_be9	22
17	Onennon	10
18	El_Jalapeno	9
19	MyNameIsJobo	8
20	Blackberry1310	6
21	noam464	5
22	Jiminie	4
22	Kowcio_	4
24	ImpavidArcher	2
24	ZaneABrain	2
26	Akoot_	1
26	claivin	1
26	Spacewardharpy7	1
